# event_ticker=KXATPMATCH-25AUG20BAEVAN
# final_score=0-6 6-1 6-4
# match_winner=Botic van de Zandschulp
# fav_player=Botic Van de Zandschulp
# dog_player=Sebastian Baez
# kalshi_date=2025-08-20
timestamp,Botic Van de Zandschulp,Sebastian Baez
2025-08-20T14:09:00Z,,31.00
2025-08-20T14:16:00Z,,32.00
2025-08-20T14:18:00Z,,32.00
2025-08-20T14:23:00Z,69.00,32.00
2025-08-20T14:29:00Z,69.00,34.00
2025-08-20T14:44:00Z,69.00,34.00
2025-08-20T14:51:00Z,69.00,34.00
2025-08-20T15:48:00Z,69.00,34.00
2025-08-20T15:57:00Z,67.00,33.00
2025-08-20T16:11:00Z,67.00,33.00
2025-08-20T17:11:00Z,69.40,33.00
2025-08-20T17:50:00Z,69.40,32.00
2025-08-20T18:26:00Z,69.40,32.00
2025-08-20T18:28:00Z,69.40,32.00
2025-08-20T19:55:00Z,67.00,32.00
2025-08-20T20:48:00Z,67.00,32.00
2025-08-20T21:21:00Z,67.00,33.00
2025-08-20T21:27:00Z,67.00,34.00
2025-08-20T22:02:00Z,67.00,34.00
2025-08-20T22:14:00Z,67.00,34.00
2025-08-20T22:15:00Z,67.00,33.80
2025-08-20T22:48:00Z,67.00,34.00
2025-08-20T22:50:00Z,67.00,34.00
2025-08-20T22:51:00Z,67.00,34.00
2025-08-20T22:57:00Z,67.00,33.00
2025-08-20T23:03:00Z,67.00,33.00
2025-08-20T23:16:00Z,67.00,33.00
2025-08-20T23:22:00Z,67.00,33.00
2025-08-20T23:25:00Z,67.00,33.00
2025-08-20T23:41:00Z,66.00,33.00
2025-08-21T00:24:00Z,66.00,34.60
2025-08-21T00:25:00Z,67.00,34.60
2025-08-21T00:36:00Z,68.53,34.84
2025-08-21T00:37:00Z,68.53,36.00
2025-08-21T00:38:00Z,68.53,34.00
2025-08-21T00:42:00Z,57.28,43.18
2025-08-21T00:43:00Z,57.28,45.19
2025-08-21T00:44:00Z,57.28,53.01
2025-08-21T00:45:00Z,46.00,59.60
2025-08-21T00:46:00Z,45.64,59.68
2025-08-21T00:47:00Z,45.64,61.00
2025-08-21T00:49:00Z,45.64,63.00
2025-08-21T00:50:00Z,45.64,55.70
2025-08-21T00:51:00Z,45.64,58.90
2025-08-21T00:52:00Z,38.26,62.00
2025-08-21T00:53:00Z,38.26,66.34
2025-08-21T00:54:00Z,37.14,66.56
2025-08-21T00:55:00Z,34.00,74.09
2025-08-21T00:56:00Z,34.00,77.37
2025-08-21T00:57:00Z,34.00,78.00
2025-08-21T00:58:00Z,34.00,83.73
2025-08-21T00:59:00Z,19.60,79.00
2025-08-21T01:00:00Z,24.00,81.27
2025-08-21T01:01:00Z,22.00,83.82
