# event_ticker=KXATPCHALLENGERMATCH-26MAR19ARNMOR
# final_score=7-5 6-7(5) 6-2
# score_resolution=5-7 7-6 2-6
# match_winner=Gilles Arnaud Bailly
# fav_player=Alejandro Moro Canas
# dog_player=Gilles Arnaud Bailly
# kalshi_date=2026-03-19
timestamp,Alejandro Moro Canas,Gilles Arnaud Bailly
2026-03-19T00:30:00Z,,41.00
2026-03-19T00:32:00Z,62.00,41.00
2026-03-19T03:12:00Z,62.00,41.00
2026-03-19T03:13:00Z,63.00,41.00
2026-03-19T04:52:00Z,63.00,41.00
2026-03-19T04:58:00Z,63.00,41.00
2026-03-19T05:01:00Z,62.00,41.00
2026-03-19T05:06:00Z,62.00,41.00
2026-03-19T05:11:00Z,62.00,41.00
2026-03-19T05:23:00Z,62.00,40.00
2026-03-19T05:31:00Z,62.00,37.00
2026-03-19T05:35:00Z,62.00,37.00
2026-03-19T05:50:00Z,62.00,39.00
2026-03-19T06:16:00Z,62.00,39.64
2026-03-19T06:19:00Z,62.00,39.64
2026-03-19T06:38:00Z,62.00,39.64
2026-03-19T06:42:00Z,62.00,40.00
2026-03-19T06:59:00Z,62.00,40.00
2026-03-19T09:15:00Z,61.00,40.00
2026-03-19T09:28:00Z,61.00,40.00
2026-03-19T09:31:00Z,61.00,40.00
2026-03-19T10:14:00Z,61.00,40.00
2026-03-19T10:26:00Z,61.00,40.00
2026-03-19T10:27:00Z,61.00,40.00
2026-03-19T10:29:00Z,61.00,40.00
2026-03-19T10:36:00Z,61.00,40.00
2026-03-19T10:39:00Z,61.00,40.00
2026-03-19T10:41:00Z,61.00,40.00
2026-03-19T10:43:00Z,61.00,40.00
2026-03-19T10:46:00Z,61.00,40.00
2026-03-19T10:53:00Z,61.00,40.00
2026-03-19T11:01:00Z,61.00,40.00
2026-03-19T11:02:00Z,60.00,40.08
2026-03-19T11:07:00Z,61.00,40.08
2026-03-19T11:10:00Z,61.00,42.00
2026-03-19T11:11:00Z,61.00,42.00
2026-03-19T11:12:00Z,61.00,42.00
2026-03-19T11:15:00Z,60.00,42.00
2026-03-19T11:16:00Z,60.71,41.00
2026-03-19T11:18:00Z,60.71,41.00
2026-03-19T11:27:00Z,61.00,41.00
2026-03-19T11:28:00Z,61.00,41.00
2026-03-19T11:29:00Z,61.00,41.00
2026-03-19T11:32:00Z,61.00,40.45
2026-03-19T11:34:00Z,61.00,40.45
2026-03-19T11:38:00Z,61.00,40.45
2026-03-19T11:39:00Z,61.00,41.00
2026-03-19T11:40:00Z,61.00,41.00
