# event_ticker=KXATPCHALLENGERMATCH-26MAY01JORSAF
# final_score=6-3 3-6 6-1
# score_resolution=3-6 6-3 1-6
# match_winner=Roman Safiullin
# fav_player=David Jorda Sanchis
# dog_player=Roman Safiullin
# kalshi_date=2026-05-01
timestamp,David Jorda Sanchis,Roman Safiullin
2026-05-01T03:15:00Z,,85.00
2026-05-01T03:22:00Z,17.00,85.00
2026-05-01T03:32:00Z,17.00,85.00
2026-05-01T03:43:00Z,17.00,84.00
2026-05-01T04:23:00Z,17.00,84.00
2026-05-01T04:27:00Z,17.00,85.00
2026-05-01T04:52:00Z,17.00,85.00
2026-05-01T05:18:00Z,17.00,85.00
2026-05-01T05:28:00Z,18.00,85.00
2026-05-01T05:43:00Z,17.00,84.00
2026-05-01T06:19:00Z,17.00,85.00
2026-05-01T06:49:00Z,17.00,85.00
2026-05-01T07:05:00Z,17.00,84.00
2026-05-01T07:40:00Z,16.00,85.00
2026-05-01T07:42:00Z,15.00,86.00
2026-05-01T07:55:00Z,16.00,86.00
2026-05-01T08:02:00Z,16.00,86.00
2026-05-01T08:43:00Z,15.00,86.00
2026-05-01T09:16:00Z,15.00,86.00
2026-05-01T09:17:00Z,15.00,86.00
2026-05-01T09:35:00Z,15.00,86.00
2026-05-01T09:36:00Z,15.00,86.00
2026-05-01T09:48:00Z,15.00,86.00
2026-05-01T09:53:00Z,15.00,86.00
2026-05-01T09:54:00Z,15.00,86.00
2026-05-01T10:28:00Z,15.00,86.00
2026-05-01T10:41:00Z,15.00,86.00
2026-05-01T10:42:00Z,15.00,86.00
2026-05-01T10:54:00Z,15.00,86.00
2026-05-01T11:16:00Z,15.00,86.00
2026-05-01T11:18:00Z,15.00,86.00
2026-05-01T11:22:00Z,15.00,86.00
2026-05-01T11:47:00Z,15.00,86.00
2026-05-01T11:49:00Z,15.00,86.00
2026-05-01T11:52:00Z,15.00,85.00
2026-05-01T11:53:00Z,15.00,85.00
2026-05-01T12:10:00Z,15.00,85.00
2026-05-01T12:21:00Z,15.00,85.00
2026-05-01T12:26:00Z,15.00,86.00
2026-05-01T12:29:00Z,15.00,86.00
2026-05-01T12:44:00Z,15.00,86.00
2026-05-01T12:46:00Z,14.00,85.00
2026-05-01T12:47:00Z,15.00,85.00
2026-05-01T12:50:00Z,15.00,85.00
2026-05-01T12:51:00Z,15.00,85.00
2026-05-01T12:55:00Z,15.00,85.00
2026-05-01T12:57:00Z,15.00,85.00
2026-05-01T13:02:00Z,15.00,86.00
2026-05-01T13:03:00Z,15.00,86.00
2026-05-01T13:07:00Z,15.00,86.00
2026-05-01T13:14:00Z,13.00,86.00
2026-05-01T13:15:00Z,13.00,87.00
2026-05-01T13:16:00Z,13.00,87.00
2026-05-01T13:26:00Z,14.00,87.00
2026-05-01T13:27:00Z,14.00,87.00
2026-05-01T13:32:00Z,14.00,87.00
2026-05-01T13:38:00Z,14.00,87.00
2026-05-01T13:40:00Z,14.00,87.00
2026-05-01T13:41:00Z,14.78,87.00
2026-05-01T13:42:00Z,12.00,87.00
2026-05-01T13:44:00Z,12.00,88.00
2026-05-01T13:45:00Z,14.24,88.00
2026-05-01T13:46:00Z,14.24,88.00
2026-05-01T13:47:00Z,14.98,88.00
2026-05-01T13:48:00Z,14.93,87.00
2026-05-01T13:49:00Z,15.00,87.00
2026-05-01T13:51:00Z,15.00,87.00
2026-05-01T13:54:00Z,15.00,88.00
2026-05-01T13:57:00Z,15.00,88.00
2026-05-01T14:00:00Z,14.00,88.00
2026-05-01T14:03:00Z,15.00,88.00
2026-05-01T14:07:00Z,14.24,88.00
2026-05-01T14:08:00Z,14.04,86.00
2026-05-01T14:09:00Z,14.00,86.00
2026-05-01T14:11:00Z,14.61,86.00
2026-05-01T14:12:00Z,15.00,86.00
2026-05-01T14:13:00Z,13.74,86.00
2026-05-01T14:14:00Z,15.98,84.02
2026-05-01T14:15:00Z,19.44,84.02
2026-05-01T14:16:00Z,20.98,79.08
2026-05-01T14:17:00Z,17.86,83.00
2026-05-01T14:18:00Z,17.17,83.84
2026-05-01T14:19:00Z,16.96,82.80
2026-05-01T14:20:00Z,16.00,84.00
2026-05-01T14:21:00Z,15.96,83.10
2026-05-01T14:22:00Z,19.50,80.11
2026-05-01T14:23:00Z,21.42,79.02
2026-05-01T14:24:00Z,21.72,78.38
2026-05-01T14:25:00Z,20.00,80.95
