# event_ticker=KXATPCHALLENGERMATCH-26APR14KESSOT
# final_score=7-5 6-1
# score_resolution=5-7 1-6
# match_winner=Matias Soto
# fav_player=Mariano Kestelboim
# dog_player=Matias Soto
# kalshi_date=2026-04-14
timestamp,Mariano Kestelboim,Matias Soto
2026-04-14T10:58:00Z,,82.00
2026-04-14T12:27:00Z,,82.00
2026-04-14T12:54:00Z,,75.00
2026-04-14T13:09:00Z,,83.00
2026-04-14T14:02:00Z,,83.00
2026-04-14T14:11:00Z,,84.00
2026-04-14T15:26:00Z,,84.00
2026-04-14T15:29:00Z,,85.00
2026-04-14T15:42:00Z,,85.00
2026-04-14T16:11:00Z,,85.00
2026-04-14T16:19:00Z,,85.00
2026-04-14T16:45:00Z,16.00,85.00
2026-04-14T16:46:00Z,15.50,85.00
2026-04-14T16:47:00Z,16.00,85.00
2026-04-14T16:52:00Z,16.00,85.00
2026-04-14T17:05:00Z,16.00,86.00
2026-04-14T17:15:00Z,16.00,86.00
2026-04-14T17:39:00Z,16.00,86.00
2026-04-14T17:46:00Z,16.00,86.00
2026-04-14T18:07:00Z,16.00,87.00
2026-04-14T18:08:00Z,16.00,87.00
2026-04-14T18:10:00Z,15.66,87.00
2026-04-14T18:11:00Z,15.54,87.00
2026-04-14T18:12:00Z,16.34,87.00
2026-04-14T18:15:00Z,11.88,89.19
2026-04-14T18:16:00Z,9.94,90.25
2026-04-14T18:17:00Z,13.00,88.95
2026-04-14T18:18:00Z,11.20,88.31
2026-04-14T18:19:00Z,13.01,86.00
2026-04-14T18:20:00Z,15.43,85.67
2026-04-14T18:21:00Z,15.43,87.93
2026-04-14T18:22:00Z,11.00,89.00
2026-04-14T18:23:00Z,12.00,88.00
2026-04-14T18:24:00Z,12.00,88.00
2026-04-14T18:25:00Z,12.00,88.00
2026-04-14T18:26:00Z,14.00,88.00
2026-04-14T18:27:00Z,14.11,88.00
2026-04-14T18:28:00Z,15.98,85.00
2026-04-14T18:29:00Z,13.00,86.00
2026-04-14T18:30:00Z,13.00,86.00
2026-04-14T18:31:00Z,13.00,86.00
2026-04-14T18:32:00Z,13.00,88.00
2026-04-14T18:33:00Z,13.96,86.00
2026-04-14T18:34:00Z,9.37,86.00
2026-04-14T18:35:00Z,10.85,90.04
2026-04-14T18:36:00Z,12.60,86.00
2026-04-14T18:37:00Z,15.00,85.00
2026-04-14T18:38:00Z,18.17,81.46
2026-04-14T18:39:00Z,25.80,78.88
2026-04-14T18:40:00Z,19.51,80.02
2026-04-14T18:41:00Z,19.64,78.63
2026-04-14T18:42:00Z,16.56,83.97
2026-04-14T18:43:00Z,18.98,81.02
2026-04-14T18:44:00Z,14.41,83.14
2026-04-14T18:45:00Z,13.92,87.00
2026-04-14T18:46:00Z,12.89,87.28
2026-04-14T18:47:00Z,13.99,84.89
2026-04-14T18:48:00Z,15.95,85.29
2026-04-14T18:49:00Z,17.00,85.53
2026-04-14T18:50:00Z,14.17,89.69
2026-04-14T18:51:00Z,11.03,91.06
2026-04-14T18:52:00Z,13.97,85.10
2026-04-14T18:53:00Z,15.15,82.00
2026-04-14T18:54:00Z,16.33,85.36
2026-04-14T18:55:00Z,13.00,87.31
2026-04-14T18:56:00Z,13.24,88.00
2026-04-14T18:57:00Z,14.00,88.00
2026-04-14T18:58:00Z,14.00,88.00
2026-04-14T18:59:00Z,14.30,86.56
2026-04-14T19:00:00Z,12.31,87.88
2026-04-14T19:01:00Z,13.53,87.88
2026-04-14T19:02:00Z,17.13,85.81
2026-04-14T19:03:00Z,16.21,84.67
2026-04-14T19:04:00Z,18.05,79.10
2026-04-14T19:05:00Z,19.48,81.85
2026-04-14T19:06:00Z,17.33,82.02
2026-04-14T19:07:00Z,23.13,77.07
2026-04-14T19:08:00Z,19.28,79.24
2026-04-14T19:09:00Z,15.00,84.64
2026-04-14T19:10:00Z,15.00,86.00
2026-04-14T19:11:00Z,13.74,86.00
2026-04-14T19:12:00Z,14.65,84.90
2026-04-14T19:13:00Z,12.10,88.02
2026-04-14T19:14:00Z,11.32,89.02
2026-04-14T19:15:00Z,15.44,84.57
2026-04-14T19:16:00Z,15.36,84.08
2026-04-14T19:17:00Z,10.84,90.45
2026-04-14T19:18:00Z,6.46,93.08
2026-04-14T19:19:00Z,7.00,93.27
2026-04-14T19:20:00Z,6.84,93.77
2026-04-14T19:21:00Z,6.98,94.00
2026-04-14T19:22:00Z,7.00,93.02
2026-04-14T19:23:00Z,7.15,93.86
2026-04-14T19:24:00Z,7.00,94.13
2026-04-14T19:25:00Z,7.00,94.13
2026-04-14T19:26:00Z,6.14,94.00
2026-04-14T19:27:00Z,5.99,95.09
2026-04-14T19:28:00Z,5.18,95.92
2026-04-14T19:29:00Z,4.67,95.92
2026-04-14T19:30:00Z,5.00,95.17
2026-04-14T19:31:00Z,5.88,95.00
2026-04-14T19:32:00Z,4.14,95.49
2026-04-14T19:33:00Z,2.77,97.54
2026-04-14T19:34:00Z,3.06,97.00
2026-04-14T19:35:00Z,2.17,98.64
2026-04-14T19:36:00Z,3.47,98.00
2026-04-14T19:37:00Z,4.69,95.37
2026-04-14T19:38:00Z,4.55,95.00
2026-04-14T19:39:00Z,5.11,96.56
2026-04-14T19:40:00Z,2.71,94.66
2026-04-14T19:41:00Z,2.23,98.00
2026-04-14T19:42:00Z,1.14,98.98
2026-04-14T19:43:00Z,1.90,99.00
2026-04-14T19:44:00Z,1.36,99.00
2026-04-14T19:45:00Z,1.97,98.77
2026-04-14T19:46:00Z,1.97,98.77
2026-04-14T19:47:00Z,1.58,98.28
2026-04-14T19:48:00Z,1.00,98.28
