# event_ticker=KXATPCHALLENGERMATCH-26MAY19LOMHER
# final_score=6-4 7-6(6)
# score_resolution=6-4 7-6
# match_winner=Alex Hernandez
# fav_player=Alex Hernandez
# dog_player=Grigoriy Lomakin
# kalshi_date=2026-05-19
timestamp,Grigoriy Lomakin,Alex Hernandez
2026-05-18T19:34:00Z,34.00,74.00
2026-05-18T20:48:00Z,34.00,74.55
2026-05-18T21:01:00Z,35.00,73.53
2026-05-18T22:43:00Z,35.00,78.00
2026-05-18T23:17:00Z,12.00,78.00
2026-05-18T23:18:00Z,12.00,88.00
2026-05-18T23:22:00Z,13.00,87.00
2026-05-18T23:25:00Z,13.00,90.00
2026-05-18T23:31:00Z,13.00,88.00
2026-05-18T23:59:00Z,13.00,87.00
2026-05-19T00:41:00Z,14.00,87.00
2026-05-19T00:51:00Z,11.00,87.00
2026-05-19T01:42:00Z,14.00,87.00
2026-05-19T01:43:00Z,14.00,87.00
2026-05-19T02:12:00Z,14.00,87.00
2026-05-19T02:50:00Z,14.00,89.00
2026-05-19T03:18:00Z,13.00,89.00
2026-05-19T03:22:00Z,13.00,89.00
2026-05-19T03:56:00Z,13.00,89.00
2026-05-19T04:14:00Z,13.00,89.00
2026-05-19T04:22:00Z,13.00,89.00
2026-05-19T04:27:00Z,13.77,89.00
2026-05-19T04:32:00Z,14.00,89.00
2026-05-19T04:47:00Z,14.00,88.00
2026-05-19T04:48:00Z,14.14,88.00
2026-05-19T04:57:00Z,15.00,88.00
2026-05-19T05:02:00Z,15.00,88.00
2026-05-19T05:05:00Z,15.00,88.00
2026-05-19T05:12:00Z,14.00,88.00
2026-05-19T05:15:00Z,14.00,88.00
2026-05-19T05:23:00Z,14.00,88.00
2026-05-19T05:32:00Z,14.00,88.00
2026-05-19T05:44:00Z,14.00,88.00
2026-05-19T05:45:00Z,14.00,88.00
2026-05-19T05:48:00Z,14.00,88.00
2026-05-19T06:03:00Z,14.00,88.00
2026-05-19T06:07:00Z,14.00,88.00
2026-05-19T06:13:00Z,14.00,88.00
2026-05-19T06:25:00Z,13.00,88.00
2026-05-19T06:33:00Z,14.00,88.00
2026-05-19T06:36:00Z,14.00,88.00
2026-05-19T06:39:00Z,14.44,88.00
2026-05-19T06:43:00Z,14.44,87.00
2026-05-19T06:50:00Z,14.91,87.00
2026-05-19T06:55:00Z,15.00,87.00
2026-05-19T06:56:00Z,15.00,87.00
2026-05-19T06:57:00Z,15.00,87.00
2026-05-19T06:58:00Z,15.00,88.00
2026-05-19T06:59:00Z,15.00,85.00
2026-05-19T07:00:00Z,15.75,86.00
