# event_ticker=KXATPCHALLENGERMATCH-26MAY12PDACAS
# final_score=6-3 4-2 RET
# match_winner=Matheus Pucinelli De Almeida
# fav_player=Hernan Casanova
# dog_player=Matheus Pucinelli de Almeida
# kalshi_date=2026-05-12
timestamp,Matheus Pucinelli de Almeida,Hernan Casanova
2026-05-12T10:36:00Z,60.00,
2026-05-12T10:51:00Z,60.00,
2026-05-12T10:57:00Z,60.00,
2026-05-12T15:15:00Z,62.00,
2026-05-12T15:57:00Z,63.00,
2026-05-12T16:30:00Z,63.00,38.00
2026-05-12T16:42:00Z,63.00,38.00
2026-05-12T16:53:00Z,63.00,38.00
2026-05-12T17:10:00Z,63.00,38.00
2026-05-12T17:34:00Z,63.00,38.00
2026-05-12T18:02:00Z,63.00,38.00
2026-05-12T18:32:00Z,63.00,38.00
2026-05-12T18:40:00Z,63.00,38.00
2026-05-12T18:45:00Z,63.00,38.00
2026-05-12T19:06:00Z,63.00,38.00
2026-05-12T19:09:00Z,63.00,38.00
2026-05-12T19:22:00Z,63.00,38.00
2026-05-12T19:23:00Z,63.00,38.00
2026-05-12T19:26:00Z,63.00,38.00
2026-05-12T19:36:00Z,63.00,38.00
2026-05-12T19:39:00Z,63.00,38.00
2026-05-12T19:40:00Z,63.00,38.00
2026-05-12T19:42:00Z,63.00,38.00
2026-05-12T19:43:00Z,64.00,38.00
2026-05-12T19:48:00Z,64.00,38.00
2026-05-12T19:52:00Z,64.00,38.00
2026-05-12T19:53:00Z,64.00,38.00
2026-05-12T19:55:00Z,64.00,38.00
2026-05-12T19:56:00Z,64.00,38.00
2026-05-12T19:58:00Z,64.00,38.00
2026-05-12T20:00:00Z,64.00,38.00
2026-05-12T20:02:00Z,64.00,38.00
2026-05-12T20:03:00Z,64.00,38.00
2026-05-12T20:09:00Z,64.00,38.00
2026-05-12T20:14:00Z,64.00,38.00
2026-05-12T20:18:00Z,64.00,38.00
2026-05-12T20:22:00Z,64.00,38.00
2026-05-12T20:24:00Z,64.00,38.00
2026-05-12T20:25:00Z,65.00,38.00
2026-05-12T20:31:00Z,64.00,38.00
2026-05-12T20:34:00Z,64.00,38.00
2026-05-12T20:40:00Z,64.00,38.00
2026-05-12T20:43:00Z,64.00,38.00
2026-05-12T20:44:00Z,64.00,38.00
2026-05-12T20:46:00Z,64.00,38.00
