# event_ticker=KXATPCHALLENGERMATCH-26MAY03ONCMMO
# final_score=6-3 6-4
# match_winner=Gauthier Onclin
# fav_player=Gauthier Onclin
# dog_player=Michael Mmoh
# kalshi_date=2026-05-03
timestamp,Gauthier Onclin,Michael Mmoh
2026-05-03T07:42:00Z,,49.00
2026-05-03T07:49:00Z,,49.00
2026-05-03T07:50:00Z,53.00,49.00
2026-05-03T08:09:00Z,53.00,49.00
2026-05-03T08:13:00Z,54.00,49.00
2026-05-03T08:16:00Z,54.00,49.00
2026-05-03T08:17:00Z,54.00,49.00
2026-05-03T08:24:00Z,53.00,49.00
2026-05-03T08:46:00Z,53.00,49.00
2026-05-03T08:47:00Z,53.00,49.00
2026-05-03T08:48:00Z,54.00,49.00
2026-05-03T09:32:00Z,51.17,49.00
2026-05-03T09:35:00Z,51.00,49.00
2026-05-03T10:24:00Z,51.00,49.00
2026-05-03T10:30:00Z,51.00,49.00
2026-05-03T10:58:00Z,51.00,49.00
2026-05-03T11:00:00Z,53.00,49.00
2026-05-03T11:29:00Z,53.00,49.00
2026-05-03T11:39:00Z,53.00,49.00
2026-05-03T11:51:00Z,53.00,49.00
2026-05-03T11:53:00Z,53.00,49.00
2026-05-03T12:04:00Z,53.00,48.00
2026-05-03T12:11:00Z,53.00,47.00
2026-05-03T12:19:00Z,53.00,47.00
2026-05-03T12:22:00Z,54.00,47.00
2026-05-03T12:27:00Z,54.00,47.00
2026-05-03T12:33:00Z,54.00,47.00
2026-05-03T12:45:00Z,55.00,47.00
2026-05-03T12:48:00Z,55.00,47.00
2026-05-03T12:56:00Z,55.00,47.00
2026-05-03T12:58:00Z,55.00,47.00
2026-05-03T13:12:00Z,55.00,47.00
2026-05-03T13:14:00Z,55.00,47.00
2026-05-03T13:40:00Z,55.00,47.00
2026-05-03T13:44:00Z,53.00,47.00
2026-05-03T13:45:00Z,55.00,47.00
2026-05-03T13:46:00Z,55.00,47.00
2026-05-03T13:51:00Z,55.00,47.00
2026-05-03T13:52:00Z,55.00,47.00
2026-05-03T13:54:00Z,55.00,47.00
2026-05-03T14:01:00Z,55.00,47.00
2026-05-03T14:02:00Z,55.00,47.00
2026-05-03T14:34:00Z,58.70,43.44
2026-05-03T14:41:00Z,55.41,43.44
2026-05-03T14:43:00Z,55.00,43.44
2026-05-03T14:45:00Z,55.00,43.44
2026-05-03T14:49:00Z,55.00,45.00
2026-05-03T14:55:00Z,56.00,45.00
2026-05-03T15:00:00Z,56.00,45.00
2026-05-03T15:01:00Z,56.00,45.00
2026-05-03T15:02:00Z,56.00,45.00
2026-05-03T15:05:00Z,56.00,45.00
