# event_ticker=KXATPMATCH-26MAY19PAUETC
# final_score=6-7(5) 7-6(5) 7-6(7)
# score_resolution=7-6 6-7 6-7
# match_winner=Tommy Paul
# fav_player=Tomas Martin Etcheverry
# dog_player=Tommy Paul
# kalshi_date=2026-05-19
timestamp,Tommy Paul,Tomas Martin Etcheverry
2026-05-19T22:32:00Z,53.33,45.83
2026-05-19T22:33:00Z,53.01,45.20
2026-05-19T22:34:00Z,54.88,45.20
2026-05-19T22:35:00Z,54.01,45.20
2026-05-19T22:36:00Z,54.25,46.00
2026-05-19T22:37:00Z,54.41,46.00
2026-05-19T22:38:00Z,54.44,45.00
2026-05-19T22:39:00Z,54.93,45.00
2026-05-19T22:40:00Z,53.46,45.00
2026-05-19T22:41:00Z,54.00,45.00
2026-05-19T22:42:00Z,53.77,46.00
2026-05-19T22:43:00Z,53.02,45.00
2026-05-19T22:44:00Z,53.09,45.39
2026-05-19T22:45:00Z,53.14,45.39
2026-05-19T22:46:00Z,54.30,46.00
2026-05-19T22:47:00Z,54.53,45.00
2026-05-19T22:48:00Z,53.26,45.00
2026-05-19T22:49:00Z,53.24,46.00
2026-05-19T22:50:00Z,53.92,46.00
2026-05-19T22:51:00Z,53.82,45.03
2026-05-19T22:52:00Z,53.31,45.03
2026-05-19T22:53:00Z,53.06,45.00
2026-05-19T22:54:00Z,53.47,45.46
2026-05-19T22:55:00Z,53.17,45.46
2026-05-19T22:56:00Z,53.08,45.02
2026-05-19T22:57:00Z,53.24,45.02
2026-05-19T22:58:00Z,53.04,45.99
2026-05-19T22:59:00Z,53.37,46.00
2026-05-19T23:00:00Z,54.02,45.00
2026-05-19T23:01:00Z,54.50,46.00
2026-05-19T23:02:00Z,54.63,46.00
2026-05-19T23:03:00Z,54.11,45.05
2026-05-19T23:04:00Z,54.50,45.09
2026-05-19T23:05:00Z,54.45,45.30
2026-05-19T23:06:00Z,54.12,45.22
2026-05-19T23:07:00Z,54.94,45.17
2026-05-19T23:08:00Z,54.89,46.00
2026-05-19T23:09:00Z,55.00,45.25
2026-05-19T23:10:00Z,54.43,46.00
2026-05-19T23:11:00Z,55.00,46.00
2026-05-19T23:12:00Z,54.21,45.00
2026-05-19T23:13:00Z,54.53,45.06
2026-05-19T23:14:00Z,54.94,45.06
2026-05-19T23:15:00Z,54.79,46.00
2026-05-19T23:16:00Z,54.08,45.85
2026-05-19T23:17:00Z,54.03,46.00
2026-05-19T23:18:00Z,54.38,45.26
2026-05-19T23:19:00Z,54.26,45.00
2026-05-19T23:20:00Z,54.95,45.00
2026-05-19T23:21:00Z,54.68,46.00
2026-05-19T23:22:00Z,53.44,46.00
2026-05-19T23:23:00Z,54.00,45.20
2026-05-19T23:24:00Z,53.00,46.00
2026-05-19T23:25:00Z,53.67,45.00
2026-05-19T23:26:00Z,53.77,45.00
2026-05-19T23:27:00Z,53.15,45.05
2026-05-19T23:28:00Z,53.64,46.00
2026-05-19T23:29:00Z,53.02,45.13
2026-05-19T23:30:00Z,52.56,45.00
2026-05-19T23:31:00Z,54.00,46.00
2026-05-19T23:32:00Z,54.19,46.00
2026-05-19T23:33:00Z,53.00,45.48
2026-05-19T23:34:00Z,54.70,45.00
2026-05-19T23:35:00Z,53.66,45.00
2026-05-19T23:36:00Z,53.07,45.40
2026-05-19T23:37:00Z,52.53,45.09
2026-05-19T23:38:00Z,52.29,45.00
2026-05-19T23:39:00Z,53.51,45.00
2026-05-19T23:40:00Z,52.88,45.00
2026-05-19T23:41:00Z,52.41,46.00
2026-05-19T23:42:00Z,52.22,45.45
2026-05-19T23:43:00Z,53.20,45.92
2026-05-19T23:44:00Z,52.85,45.33
2026-05-19T23:45:00Z,52.26,46.00
2026-05-19T23:46:00Z,54.00,45.58
2026-05-19T23:47:00Z,54.00,45.90
2026-05-19T23:48:00Z,53.09,46.00
2026-05-19T23:49:00Z,53.93,45.00
