# event_ticker=KXATPCHALLENGERMATCH-26APR21KICMAY
# final_score=7-6(3) 6-1
# score_resolution=6-7 1-6
# match_winner=Aidan Mayo
# fav_player=Nicolas Kicker
# dog_player=Aidan Mayo
# kalshi_date=2026-04-21
timestamp,Nicolas Kicker,Aidan Mayo
2026-04-21T06:33:00Z,56.00,
2026-04-21T06:34:00Z,56.00,
2026-04-21T06:35:00Z,56.00,
2026-04-21T06:45:00Z,61.00,
2026-04-21T11:01:00Z,61.00,39.00
2026-04-21T11:09:00Z,61.00,38.00
2026-04-21T12:13:00Z,65.04,38.00
2026-04-21T12:30:00Z,65.04,38.00
2026-04-21T12:54:00Z,65.04,37.00
2026-04-21T13:06:00Z,65.00,37.00
2026-04-21T13:43:00Z,65.00,37.00
2026-04-21T13:45:00Z,65.00,37.00
2026-04-21T13:48:00Z,65.00,37.00
2026-04-21T13:57:00Z,65.00,37.00
2026-04-21T13:58:00Z,65.00,37.00
2026-04-21T14:03:00Z,65.00,37.00
2026-04-21T14:06:00Z,65.00,37.00
2026-04-21T14:07:00Z,65.00,37.00
2026-04-21T14:08:00Z,65.00,37.00
2026-04-21T14:09:00Z,65.00,37.98
2026-04-21T14:10:00Z,69.89,27.40
2026-04-21T14:11:00Z,67.45,32.43
2026-04-21T14:12:00Z,65.95,34.14
2026-04-21T14:13:00Z,68.00,32.00
2026-04-21T14:14:00Z,69.93,32.00
2026-04-21T14:15:00Z,67.05,35.31
2026-04-21T14:16:00Z,65.00,36.40
2026-04-21T14:17:00Z,64.00,38.00
2026-04-21T14:18:00Z,62.95,37.56
2026-04-21T14:19:00Z,67.12,36.00
2026-04-21T14:20:00Z,68.00,33.00
2026-04-21T14:21:00Z,65.91,33.45
2026-04-21T14:22:00Z,65.00,33.45
2026-04-21T14:23:00Z,70.91,31.99
2026-04-21T14:24:00Z,78.34,20.08
2026-04-21T14:25:00Z,80.99,20.00
2026-04-21T14:26:00Z,81.10,21.00
2026-04-21T14:27:00Z,80.60,19.80
2026-04-21T14:28:00Z,82.00,18.00
2026-04-21T14:29:00Z,82.00,19.00
2026-04-21T14:30:00Z,80.51,21.00
2026-04-21T14:31:00Z,81.98,20.00
2026-04-21T14:32:00Z,80.29,20.00
2026-04-21T14:33:00Z,78.19,21.86
2026-04-21T14:34:00Z,79.92,21.75
2026-04-21T14:35:00Z,76.11,24.92
2026-04-21T14:36:00Z,80.99,23.00
2026-04-21T14:37:00Z,82.00,17.10
2026-04-21T14:38:00Z,83.00,18.00
2026-04-21T14:39:00Z,83.00,18.12
2026-04-21T14:40:00Z,83.00,19.00
2026-04-21T14:41:00Z,81.04,20.00
2026-04-21T14:42:00Z,78.00,22.00
2026-04-21T14:43:00Z,77.00,27.30
2026-04-21T14:44:00Z,72.74,29.35
2026-04-21T14:45:00Z,75.05,20.19
2026-04-21T14:46:00Z,79.24,20.00
2026-04-21T14:47:00Z,76.41,24.43
2026-04-21T14:48:00Z,74.57,29.34
2026-04-21T14:49:00Z,76.00,25.27
2026-04-21T14:50:00Z,72.46,30.95
2026-04-21T14:51:00Z,65.00,35.00
2026-04-21T14:52:00Z,65.45,33.09
2026-04-21T14:53:00Z,67.22,35.32
2026-04-21T14:54:00Z,60.00,38.89
2026-04-21T14:55:00Z,57.91,44.63
2026-04-21T14:56:00Z,61.00,40.00
2026-04-21T14:57:00Z,60.34,40.89
2026-04-21T14:58:00Z,59.96,43.19
2026-04-21T14:59:00Z,61.13,36.92
2026-04-21T15:00:00Z,65.03,35.63
2026-04-21T15:01:00Z,65.03,38.50
2026-04-21T15:02:00Z,60.01,39.00
2026-04-21T15:03:00Z,57.84,41.92
2026-04-21T15:04:00Z,53.10,45.02
2026-04-21T15:05:00Z,44.86,53.52
2026-04-21T15:06:00Z,38.63,60.08
2026-04-21T15:07:00Z,35.92,63.61
2026-04-21T15:08:00Z,41.84,60.02
2026-04-21T15:09:00Z,35.49,65.03
2026-04-21T15:10:00Z,29.97,69.42
2026-04-21T15:11:00Z,30.00,71.00
2026-04-21T15:12:00Z,29.23,69.83
2026-04-21T15:13:00Z,30.00,70.00
2026-04-21T15:14:00Z,30.00,71.00
2026-04-21T15:15:00Z,31.18,71.00
2026-04-21T15:16:00Z,32.72,70.58
2026-04-21T15:17:00Z,29.04,69.92
2026-04-21T15:18:00Z,30.45,70.54
2026-04-21T15:19:00Z,26.03,74.04
2026-04-21T15:20:00Z,26.31,73.10
2026-04-21T15:21:00Z,22.51,77.68
2026-04-21T15:22:00Z,17.56,83.41
2026-04-21T15:23:00Z,11.52,87.35
2026-04-21T15:24:00Z,7.54,92.44
2026-04-21T15:25:00Z,6.24,92.86
2026-04-21T15:26:00Z,7.00,92.91
2026-04-21T15:27:00Z,4.04,95.71
2026-04-21T15:28:00Z,4.49,95.08
2026-04-21T15:29:00Z,6.50,95.85
2026-04-21T15:30:00Z,7.05,93.00
2026-04-21T15:31:00Z,6.35,94.82
2026-04-21T15:32:00Z,5.60,95.00
2026-04-21T15:33:00Z,1.41,98.29
2026-04-21T15:34:00Z,1.79,98.99
2026-04-21T15:35:00Z,1.08,98.74
2026-04-21T15:36:00Z,1.00,98.74
2026-04-21T15:37:00Z,1.00,99.00
2026-04-21T15:38:00Z,1.00,99.00
2026-04-21T15:39:00Z,1.00,99.00
2026-04-21T15:40:00Z,1.00,99.00
2026-04-21T15:41:00Z,1.00,99.00
2026-04-21T15:43:00Z,1.00,99.00
