# event_ticker=KXATPCHALLENGERMATCH-26MAR24HERAND
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Andres Andrade
# fav_player=Alex Hernandez
# dog_player=Andres Andrade
# kalshi_date=2026-03-24
timestamp,Alex Hernandez,Andres Andrade
2026-03-24T14:57:00Z,,78.00
2026-03-24T14:58:00Z,,77.00
2026-03-24T15:09:00Z,,78.00
2026-03-24T17:55:00Z,,78.00
2026-03-24T19:04:00Z,,80.00
2026-03-24T19:27:00Z,,79.00
2026-03-24T21:01:00Z,,79.00
2026-03-24T21:10:00Z,,79.00
2026-03-24T21:31:00Z,,79.00
2026-03-24T21:37:00Z,,79.00
2026-03-24T22:01:00Z,23.00,79.00
2026-03-24T22:03:00Z,23.00,79.00
2026-03-24T22:11:00Z,23.00,79.00
2026-03-24T22:15:00Z,23.00,79.00
2026-03-24T22:16:00Z,21.00,79.00
2026-03-24T22:17:00Z,21.00,79.00
2026-03-24T22:27:00Z,21.00,79.00
2026-03-24T22:49:00Z,21.00,79.00
2026-03-24T22:55:00Z,23.00,79.00
2026-03-24T22:56:00Z,23.00,79.00
2026-03-24T22:59:00Z,23.00,79.00
2026-03-24T23:08:00Z,23.00,79.00
2026-03-24T23:29:00Z,22.00,79.00
2026-03-24T23:30:00Z,20.00,79.00
2026-03-24T23:36:00Z,21.00,79.00
2026-03-24T23:46:00Z,20.00,79.00
2026-03-24T23:49:00Z,21.00,79.00
2026-03-25T00:07:00Z,22.00,79.00
2026-03-25T00:26:00Z,22.00,79.00
2026-03-25T00:28:00Z,22.00,79.00
2026-03-25T00:31:00Z,22.00,79.00
2026-03-25T00:37:00Z,22.00,79.00
2026-03-25T00:38:00Z,22.00,79.00
2026-03-25T00:52:00Z,22.00,78.00
2026-03-25T00:53:00Z,22.00,78.00
2026-03-25T01:11:00Z,23.00,78.00
2026-03-25T01:31:00Z,23.00,78.00
2026-03-25T01:32:00Z,23.00,78.00
2026-03-25T01:33:00Z,23.83,78.00
2026-03-25T01:35:00Z,24.00,78.00
2026-03-25T01:39:00Z,24.00,78.00
2026-03-25T01:45:00Z,24.00,78.00
2026-03-25T01:47:00Z,23.00,78.00
2026-03-25T01:48:00Z,23.00,78.00
2026-03-25T01:49:00Z,21.43,81.00
2026-03-25T01:50:00Z,21.09,80.00
2026-03-25T01:51:00Z,25.84,77.93
2026-03-25T01:52:00Z,21.91,79.93
2026-03-25T01:53:00Z,16.85,87.92
2026-03-25T01:54:00Z,15.00,87.00
2026-03-25T01:55:00Z,16.52,83.41
2026-03-25T01:56:00Z,16.06,84.22
2026-03-25T01:57:00Z,14.43,84.00
2026-03-25T01:58:00Z,15.00,84.83
2026-03-25T01:59:00Z,14.19,87.00
2026-03-25T02:00:00Z,20.04,82.00
2026-03-25T02:01:00Z,23.17,78.66
2026-03-25T02:02:00Z,26.69,75.56
2026-03-25T02:03:00Z,31.76,69.00
2026-03-25T02:04:00Z,31.87,70.82
2026-03-25T02:05:00Z,31.47,69.91
2026-03-25T02:06:00Z,32.51,69.64
2026-03-25T02:07:00Z,32.94,69.64
2026-03-25T02:08:00Z,27.04,74.00
2026-03-25T02:09:00Z,21.74,79.00
2026-03-25T02:10:00Z,19.81,81.06
2026-03-25T02:11:00Z,21.47,83.69
2026-03-25T02:12:00Z,16.00,82.58
