# event_ticker=KXATPMATCH-25JUL19TABHER
# final_score=6-4 7-6(1)
# score_resolution=6-4 7-6
# match_winner=Carlos Taberner
# fav_player=Carlos Taberner
# dog_player=Pierre-Hugues Herbert
# kalshi_date=2025-07-19
timestamp,Carlos Taberner,Pierre-Hugues Herbert
2025-07-21T03:16:00Z,63.00,
2025-07-21T04:27:00Z,62.00,
2025-07-21T13:11:00Z,62.00,37.00
2025-07-21T13:58:00Z,63.00,37.00
2025-07-21T14:07:00Z,62.38,37.00
2025-07-21T14:36:00Z,67.00,37.00
2025-07-21T14:37:00Z,67.00,35.00
2025-07-21T14:39:00Z,68.74,36.00
2025-07-21T14:40:00Z,67.00,33.00
2025-07-21T14:41:00Z,67.00,33.00
2025-07-21T14:42:00Z,67.00,34.00
2025-07-21T14:43:00Z,67.00,31.00
2025-07-21T14:46:00Z,77.43,31.00
2025-07-21T14:47:00Z,81.88,31.00
2025-07-21T14:48:00Z,84.24,31.00
2025-07-21T14:50:00Z,87.86,31.00
2025-07-21T14:51:00Z,78.00,31.00
2025-07-21T14:53:00Z,78.00,31.00
2025-07-21T14:54:00Z,77.00,31.00
2025-07-21T14:56:00Z,80.00,31.00
2025-07-21T14:57:00Z,82.00,31.00
2025-07-21T15:00:00Z,82.00,31.00
2025-07-21T15:01:00Z,82.00,20.00
2025-07-21T15:02:00Z,80.00,22.00
2025-07-21T15:04:00Z,80.00,22.00
2025-07-21T15:05:00Z,80.00,19.00
2025-07-21T15:07:00Z,80.00,16.00
2025-07-21T15:08:00Z,89.33,16.00
2025-07-21T15:13:00Z,89.33,16.00
2025-07-21T15:23:00Z,85.00,28.00
2025-07-21T15:25:00Z,85.00,15.00
2025-07-21T15:26:00Z,85.00,18.00
2025-07-21T15:34:00Z,85.00,28.00
2025-07-21T15:37:00Z,86.00,15.20
2025-07-21T15:38:00Z,90.00,15.20
2025-07-21T15:40:00Z,90.00,15.00
2025-07-21T15:41:00Z,87.00,15.00
2025-07-21T15:42:00Z,87.00,12.00
2025-07-21T15:43:00Z,87.00,14.00
2025-07-21T15:47:00Z,87.00,16.56
2025-07-21T15:48:00Z,87.00,16.56
2025-07-21T15:51:00Z,87.00,14.96
2025-07-21T15:52:00Z,87.00,27.09
2025-07-21T15:53:00Z,85.00,17.94
2025-07-21T15:55:00Z,86.00,17.94
2025-07-21T15:56:00Z,86.00,15.00
2025-07-21T15:57:00Z,87.00,15.00
2025-07-21T15:59:00Z,88.00,15.00
2025-07-21T16:00:00Z,86.00,15.00
2025-07-21T16:01:00Z,85.00,18.00
2025-07-21T16:02:00Z,85.00,18.00
2025-07-21T16:03:00Z,85.00,15.82
2025-07-21T16:04:00Z,85.00,14.00
2025-07-21T16:07:00Z,86.00,14.00
2025-07-21T16:08:00Z,86.00,15.00
2025-07-21T16:09:00Z,92.62,9.00
2025-07-21T16:10:00Z,97.91,4.00
2025-07-21T16:11:00Z,96.00,4.00
2025-07-21T16:12:00Z,98.00,4.00
2025-07-21T16:13:00Z,98.00,2.95
2025-07-21T16:14:00Z,98.00,3.00
2025-07-21T16:15:00Z,86.00,3.00
2025-07-21T16:16:00Z,86.00,11.51
2025-07-21T16:17:00Z,89.00,12.00
2025-07-21T16:18:00Z,88.00,12.00
2025-07-21T16:19:00Z,88.00,13.00
2025-07-21T16:21:00Z,91.00,9.08
2025-07-21T16:22:00Z,86.61,19.47
2025-07-21T16:23:00Z,86.61,19.00
2025-07-21T16:24:00Z,86.61,29.00
2025-07-21T16:26:00Z,86.00,14.00
2025-07-21T16:27:00Z,89.85,11.00
2025-07-21T16:28:00Z,89.85,12.76
2025-07-21T16:31:00Z,97.00,2.81
2025-07-21T16:32:00Z,99.00,1.00
2025-07-21T16:33:00Z,99.00,1.00
2025-07-21T16:35:00Z,99.00,1.00
