# event_ticker=KXATPCHALLENGERMATCH-26MAY01MARCOP
# final_score=7-6(7) 6-4
# score_resolution=7-6 6-4
# match_winner=Pol Martin Tiffon
# fav_player=Pol Martin Tiffon
# dog_player=Kimmer Coppejans
# kalshi_date=2026-05-01
timestamp,Pol Martin Tiffon,Kimmer Coppejans
2026-05-01T00:19:00Z,,46.00
2026-05-01T00:20:00Z,,48.00
2026-05-01T00:25:00Z,52.00,48.00
2026-05-01T00:32:00Z,54.00,48.00
2026-05-01T00:58:00Z,54.00,48.00
2026-05-01T01:17:00Z,54.00,48.26
2026-05-01T02:07:00Z,54.00,48.26
2026-05-01T02:10:00Z,54.00,48.26
2026-05-01T02:13:00Z,54.00,49.00
2026-05-01T02:15:00Z,54.00,49.00
2026-05-01T02:28:00Z,54.00,49.00
2026-05-01T02:31:00Z,54.00,49.00
2026-05-01T03:00:00Z,54.00,49.00
2026-05-01T03:06:00Z,54.00,49.00
2026-05-01T03:14:00Z,54.00,49.00
2026-05-01T03:31:00Z,54.00,49.00
2026-05-01T03:41:00Z,54.00,49.00
2026-05-01T03:43:00Z,54.00,49.00
2026-05-01T03:53:00Z,54.00,49.00
2026-05-01T04:01:00Z,54.00,49.00
2026-05-01T04:04:00Z,54.00,49.00
2026-05-01T04:17:00Z,54.00,49.00
2026-05-01T04:25:00Z,54.00,48.00
2026-05-01T04:27:00Z,54.00,46.13
2026-05-01T04:49:00Z,54.00,46.13
2026-05-01T04:50:00Z,54.00,48.00
2026-05-01T04:52:00Z,54.00,48.00
2026-05-01T04:57:00Z,54.00,48.00
2026-05-01T04:58:00Z,54.00,48.00
2026-05-01T05:00:00Z,54.00,48.00
2026-05-01T05:04:00Z,54.00,48.00
2026-05-01T05:06:00Z,54.24,48.00
2026-05-01T05:18:00Z,55.00,48.00
2026-05-01T05:21:00Z,55.00,48.00
2026-05-01T05:22:00Z,55.00,48.00
2026-05-01T05:24:00Z,55.00,48.00
2026-05-01T05:27:00Z,55.00,48.00
2026-05-01T05:38:00Z,55.00,48.00
2026-05-01T05:43:00Z,55.00,48.00
2026-05-01T05:51:00Z,55.56,48.00
2026-05-01T06:03:00Z,55.56,44.12
2026-05-01T06:20:00Z,56.00,44.12
2026-05-01T06:22:00Z,56.00,44.12
