# event_ticker=KXATPCHALLENGERMATCH-26MAR16SELJAC
# final_score=6-0 4-6 6-0
# match_winner=Kyrian Jacquet
# fav_player=Kyrian Jacquet
# dog_player=Jelle Sels
# kalshi_date=2026-03-16
timestamp,Kyrian Jacquet,Jelle Sels
2026-03-16T04:09:00Z,84.00,
2026-03-16T04:28:00Z,84.00,17.00
2026-03-16T04:59:00Z,84.00,17.00
2026-03-16T05:33:00Z,84.00,17.00
2026-03-16T05:38:00Z,84.00,17.00
2026-03-16T05:40:00Z,84.00,17.00
2026-03-16T05:52:00Z,84.00,17.00
2026-03-16T06:51:00Z,84.00,17.00
2026-03-16T07:24:00Z,84.00,18.00
2026-03-16T08:05:00Z,84.00,17.00
2026-03-16T08:06:00Z,84.00,17.00
2026-03-16T09:30:00Z,84.00,16.00
2026-03-16T10:27:00Z,85.00,15.00
2026-03-16T10:28:00Z,85.00,12.00
2026-03-16T10:54:00Z,85.00,15.00
2026-03-16T11:32:00Z,87.00,15.00
2026-03-16T12:25:00Z,87.00,14.00
2026-03-16T13:17:00Z,87.00,15.00
2026-03-16T13:19:00Z,87.00,15.00
2026-03-16T13:52:00Z,87.00,15.00
2026-03-16T14:02:00Z,87.00,15.00
2026-03-16T14:06:00Z,88.00,15.00
2026-03-16T14:14:00Z,88.00,15.00
2026-03-16T14:19:00Z,88.00,15.00
2026-03-16T14:20:00Z,88.00,15.00
2026-03-16T14:23:00Z,88.00,15.00
2026-03-16T14:35:00Z,88.00,14.00
2026-03-16T14:36:00Z,87.56,14.00
2026-03-16T14:37:00Z,87.56,15.00
2026-03-16T14:39:00Z,87.56,15.00
2026-03-16T14:41:00Z,87.56,15.00
2026-03-16T14:42:00Z,88.00,15.00
2026-03-16T14:43:00Z,88.00,13.97
2026-03-16T14:44:00Z,88.00,14.00
2026-03-16T14:45:00Z,88.00,14.00
2026-03-16T14:46:00Z,88.00,14.22
2026-03-16T14:47:00Z,88.00,14.00
2026-03-16T14:48:00Z,87.00,14.61
2026-03-16T14:49:00Z,88.00,12.96
2026-03-16T14:50:00Z,86.26,13.58
2026-03-16T14:51:00Z,85.54,15.91
2026-03-16T14:52:00Z,86.52,15.75
2026-03-16T14:53:00Z,87.00,14.00
2026-03-16T14:54:00Z,87.00,12.90
2026-03-16T14:55:00Z,86.02,14.05
2026-03-16T14:56:00Z,86.35,14.99
2026-03-16T14:57:00Z,85.36,15.28
2026-03-16T14:58:00Z,87.00,13.09
2026-03-16T14:59:00Z,89.72,11.29
2026-03-16T15:00:00Z,92.00,7.80
2026-03-16T15:01:00Z,90.66,8.76
2026-03-16T15:02:00Z,89.21,11.00
2026-03-16T15:03:00Z,89.97,10.55
2026-03-16T15:04:00Z,93.00,9.83
2026-03-16T15:05:00Z,94.00,5.65
2026-03-16T15:06:00Z,94.00,7.00
2026-03-16T15:07:00Z,94.00,6.97
2026-03-16T15:08:00Z,94.00,5.59
2026-03-16T15:09:00Z,96.00,4.74
2026-03-16T15:10:00Z,96.59,3.08
2026-03-16T15:11:00Z,96.59,4.00
2026-03-16T15:12:00Z,95.50,4.03
2026-03-16T15:13:00Z,97.00,4.03
2026-03-16T15:14:00Z,97.00,4.10
2026-03-16T15:15:00Z,97.00,2.78
2026-03-16T15:16:00Z,97.00,3.15
2026-03-16T15:17:00Z,97.92,3.19
2026-03-16T15:18:00Z,97.00,4.00
2026-03-16T15:19:00Z,97.00,4.03
2026-03-16T15:20:00Z,96.00,3.20
2026-03-16T15:21:00Z,96.00,3.19
2026-03-16T15:22:00Z,98.00,3.46
2026-03-16T15:23:00Z,98.00,4.00
2026-03-16T15:24:00Z,98.00,3.22
2026-03-16T15:26:00Z,97.00,3.50
2026-03-16T15:27:00Z,98.00,3.00
2026-03-16T15:28:00Z,98.00,2.88
2026-03-16T15:29:00Z,98.00,3.00
2026-03-16T15:30:00Z,96.00,4.00
2026-03-16T15:31:00Z,97.00,2.96
2026-03-16T15:32:00Z,97.00,2.96
2026-03-16T15:33:00Z,97.00,3.97
2026-03-16T15:34:00Z,96.00,5.85
2026-03-16T15:35:00Z,95.00,6.14
2026-03-16T15:36:00Z,95.00,6.00
2026-03-16T15:37:00Z,96.50,4.92
2026-03-16T15:38:00Z,96.50,4.00
2026-03-16T15:39:00Z,96.00,4.69
2026-03-16T15:40:00Z,96.72,3.07
2026-03-16T15:41:00Z,97.15,3.69
2026-03-16T15:42:00Z,98.00,4.10
2026-03-16T15:43:00Z,96.00,3.45
2026-03-16T15:44:00Z,97.00,3.56
2026-03-16T15:45:00Z,97.00,2.98
2026-03-16T15:46:00Z,97.00,2.72
2026-03-16T15:47:00Z,97.00,3.00
2026-03-16T15:48:00Z,96.00,4.74
2026-03-16T15:49:00Z,96.00,4.79
2026-03-16T15:50:00Z,96.63,3.88
2026-03-16T15:51:00Z,97.00,3.55
2026-03-16T15:52:00Z,97.00,3.07
2026-03-16T15:53:00Z,97.00,3.39
