# event_ticker=KXATPCHALLENGERMATCH-26APR30HIJOFN
# final_score=6-4 2-6 7-6(5)
# score_resolution=4-6 6-2 6-7
# match_winner=Rinky Hijikata
# fav_player=Sebastian Ofner
# dog_player=Rinky Hijikata
# kalshi_date=2026-04-30
timestamp,Rinky Hijikata,Sebastian Ofner
2026-04-29T21:18:00Z,,66.00
2026-04-29T21:51:00Z,,72.00
2026-04-29T21:54:00Z,,72.00
2026-04-29T23:04:00Z,,72.00
2026-04-29T23:38:00Z,,72.00
2026-04-30T00:27:00Z,,72.00
2026-04-30T00:30:00Z,,72.00
2026-04-30T00:47:00Z,,72.00
2026-04-30T01:28:00Z,,72.00
2026-04-30T01:30:00Z,28.00,72.00
2026-04-30T02:29:00Z,29.00,72.00
2026-04-30T02:31:00Z,29.00,72.00
2026-04-30T02:50:00Z,29.00,72.00
2026-04-30T03:03:00Z,29.00,72.00
2026-04-30T03:24:00Z,29.00,72.00
2026-04-30T03:31:00Z,29.00,72.00
2026-04-30T03:37:00Z,29.00,72.00
2026-04-30T03:43:00Z,29.00,72.00
2026-04-30T04:17:00Z,29.00,72.00
2026-04-30T04:54:00Z,29.00,72.00
2026-04-30T04:58:00Z,29.00,72.00
2026-04-30T05:09:00Z,29.90,73.00
2026-04-30T05:12:00Z,28.00,73.00
2026-04-30T05:24:00Z,29.00,73.00
2026-04-30T05:28:00Z,29.00,73.00
2026-04-30T05:34:00Z,29.00,73.00
2026-04-30T06:13:00Z,29.00,73.00
2026-04-30T06:18:00Z,29.00,73.00
2026-04-30T06:21:00Z,29.00,73.00
2026-04-30T06:28:00Z,29.00,73.00
2026-04-30T06:30:00Z,29.00,73.00
2026-04-30T06:37:00Z,29.00,73.00
2026-04-30T09:02:00Z,29.00,71.65
2026-04-30T09:03:00Z,28.00,74.00
2026-04-30T09:04:00Z,30.00,73.55
2026-04-30T09:05:00Z,30.00,73.00
2026-04-30T09:06:00Z,28.15,73.00
2026-04-30T09:07:00Z,25.90,74.49
2026-04-30T09:08:00Z,25.90,77.00
2026-04-30T09:09:00Z,26.73,75.00
2026-04-30T09:10:00Z,27.45,74.00
2026-04-30T09:11:00Z,25.15,76.78
2026-04-30T09:12:00Z,24.32,76.78
2026-04-30T09:13:00Z,27.77,76.78
2026-04-30T09:14:00Z,28.00,76.05
2026-04-30T09:15:00Z,26.00,76.48
2026-04-30T09:16:00Z,23.07,78.00
2026-04-30T09:17:00Z,23.00,79.00
2026-04-30T09:18:00Z,23.84,78.50
2026-04-30T09:19:00Z,23.00,77.54
2026-04-30T09:20:00Z,25.00,77.33
2026-04-30T09:22:00Z,23.05,78.06
2026-04-30T09:23:00Z,24.00,77.95
2026-04-30T09:25:00Z,27.06,73.36
2026-04-30T09:26:00Z,29.57,67.54
2026-04-30T09:27:00Z,37.53,62.71
2026-04-30T09:28:00Z,38.81,61.61
2026-04-30T09:29:00Z,40.20,58.00
2026-04-30T09:30:00Z,41.45,55.00
2026-04-30T09:31:00Z,45.90,56.88
2026-04-30T09:32:00Z,44.00,55.98
2026-04-30T09:33:00Z,43.42,58.00
2026-04-30T09:34:00Z,39.36,58.00
2026-04-30T09:36:00Z,43.00,58.00
2026-04-30T09:37:00Z,45.00,58.00
2026-04-30T09:38:00Z,44.89,54.00
2026-04-30T09:39:00Z,47.83,53.16
2026-04-30T09:41:00Z,47.83,53.00
2026-04-30T09:42:00Z,49.00,53.00
