# event_ticker=KXATPCHALLENGERMATCH-26MAR31SQUPOL
# final_score=6-4 6-3
# match_winner=Mili Poljicak
# fav_player=Mili Poljicak
# dog_player=Henri Squire
# kalshi_date=2026-03-31
timestamp,Mili Poljicak,Henri Squire
2026-04-02T04:33:00Z,39.00,
2026-04-02T05:17:00Z,39.00,63.00
2026-04-02T09:47:00Z,40.00,63.00
2026-04-02T09:51:00Z,40.00,60.00
2026-04-02T10:20:00Z,40.00,61.00
2026-04-02T10:31:00Z,41.00,61.00
2026-04-02T10:37:00Z,41.00,61.00
2026-04-02T10:42:00Z,41.00,61.00
2026-04-02T11:59:00Z,41.00,61.00
2026-04-02T12:10:00Z,41.00,61.00
2026-04-02T12:16:00Z,41.00,61.00
2026-04-02T13:13:00Z,41.00,61.00
2026-04-02T13:22:00Z,41.00,60.00
2026-04-02T13:33:00Z,43.00,60.00
2026-04-02T13:34:00Z,43.00,59.00
2026-04-02T13:46:00Z,43.00,59.00
2026-04-02T14:07:00Z,43.00,59.00
2026-04-02T14:34:00Z,43.00,59.00
2026-04-02T14:45:00Z,43.00,59.00
2026-04-02T15:00:00Z,43.00,59.00
2026-04-02T15:01:00Z,43.00,59.00
2026-04-02T15:05:00Z,43.00,59.10
2026-04-02T15:08:00Z,43.00,60.00
2026-04-02T15:09:00Z,43.00,60.00
2026-04-02T15:11:00Z,44.00,60.00
2026-04-02T15:16:00Z,44.00,60.00
2026-04-02T15:17:00Z,44.00,60.00
2026-04-02T15:22:00Z,44.00,60.00
2026-04-02T15:28:00Z,44.00,60.00
2026-04-02T15:34:00Z,44.00,60.00
2026-04-02T15:38:00Z,42.00,60.00
2026-04-02T15:40:00Z,42.97,60.00
2026-04-02T15:47:00Z,42.97,58.00
2026-04-02T15:49:00Z,43.97,58.00
2026-04-02T15:53:00Z,43.97,58.00
2026-04-02T15:57:00Z,43.97,58.00
2026-04-02T15:58:00Z,43.97,58.00
2026-04-02T15:59:00Z,43.41,58.00
2026-04-02T16:01:00Z,43.41,58.00
2026-04-02T16:02:00Z,43.00,58.00
2026-04-02T16:03:00Z,43.00,58.00
2026-04-02T16:04:00Z,43.00,58.00
2026-04-02T16:05:00Z,43.00,58.00
2026-04-02T16:06:00Z,43.00,58.00
2026-04-02T16:07:00Z,42.79,57.02
2026-04-02T16:08:00Z,43.90,55.92
2026-04-02T16:09:00Z,55.76,42.16
2026-04-02T16:10:00Z,58.86,41.00
