# event_ticker=KXATPCHALLENGERMATCH-26APR21VASFER
# final_score=4-6 6-3 6-2
# match_winner=Jacopo Vasami
# fav_player=Jacopo Vasami
# dog_player=Frederico Ferreira Silva
# kalshi_date=2026-04-21
timestamp,Jacopo Vasami,Frederico Ferreira Silva
2026-04-21T01:20:00Z,,59.00
2026-04-21T01:32:00Z,44.00,59.00
2026-04-21T02:03:00Z,44.00,59.00
2026-04-21T02:07:00Z,44.00,59.00
2026-04-21T02:10:00Z,44.00,59.00
2026-04-21T03:36:00Z,44.00,58.00
2026-04-21T04:36:00Z,44.00,58.00
2026-04-21T05:48:00Z,42.00,58.00
2026-04-21T06:34:00Z,45.00,58.00
2026-04-21T06:36:00Z,45.00,57.00
2026-04-21T07:04:00Z,45.00,57.00
2026-04-21T07:19:00Z,45.00,55.90
2026-04-21T07:20:00Z,45.00,56.00
2026-04-21T07:51:00Z,45.00,56.00
2026-04-21T08:04:00Z,45.00,54.15
2026-04-21T08:31:00Z,45.00,54.00
2026-04-21T08:53:00Z,45.00,54.00
2026-04-21T08:58:00Z,45.00,54.00
2026-04-21T09:03:00Z,45.00,55.00
2026-04-21T09:06:00Z,47.00,55.00
2026-04-21T09:07:00Z,44.00,56.00
2026-04-21T09:14:00Z,44.00,56.00
2026-04-21T09:20:00Z,48.00,56.00
2026-04-21T09:23:00Z,48.00,56.00
2026-04-21T09:29:00Z,48.00,56.07
2026-04-21T09:30:00Z,48.00,57.00
2026-04-21T09:37:00Z,47.98,57.00
2026-04-21T09:44:00Z,48.15,57.00
2026-04-21T09:46:00Z,48.15,56.00
2026-04-21T09:47:00Z,48.15,56.00
2026-04-21T09:52:00Z,48.15,56.00
2026-04-21T09:54:00Z,44.00,56.00
2026-04-21T09:57:00Z,44.00,52.00
2026-04-21T09:58:00Z,51.00,49.44
2026-04-21T09:59:00Z,54.00,47.00
2026-04-21T10:00:00Z,54.00,42.80
2026-04-21T10:01:00Z,54.00,50.00
2026-04-21T10:02:00Z,54.00,43.00
2026-04-21T10:03:00Z,54.00,44.29
2026-04-21T10:06:00Z,54.00,48.61
2026-04-21T10:09:00Z,54.00,55.00
2026-04-21T10:10:00Z,47.00,54.00
2026-04-21T10:11:00Z,48.84,54.00
2026-04-21T10:13:00Z,48.84,48.00
2026-04-21T10:15:00Z,48.84,48.00
2026-04-21T10:16:00Z,55.13,48.00
2026-04-21T10:17:00Z,62.95,37.49
2026-04-21T10:18:00Z,63.08,35.25
2026-04-21T10:20:00Z,63.08,46.04
2026-04-21T10:21:00Z,63.08,48.00
2026-04-21T10:24:00Z,63.08,48.46
2026-04-21T10:25:00Z,52.12,48.46
2026-04-21T10:26:00Z,60.18,46.00
2026-04-21T10:28:00Z,56.00,48.00
2026-04-21T10:29:00Z,57.00,48.00
2026-04-21T10:30:00Z,58.00,43.00
2026-04-21T10:31:00Z,58.00,41.00
2026-04-21T10:32:00Z,61.07,39.70
2026-04-21T10:33:00Z,57.00,43.61
2026-04-21T10:34:00Z,63.42,38.65
2026-04-21T10:35:00Z,61.00,37.42
2026-04-21T10:36:00Z,61.00,36.87
2026-04-21T10:37:00Z,61.00,46.00
2026-04-21T10:40:00Z,49.88,54.79
2026-04-21T10:41:00Z,38.16,62.99
2026-04-21T10:42:00Z,31.00,70.00
2026-04-21T10:43:00Z,31.00,71.00
2026-04-21T10:44:00Z,28.50,71.00
2026-04-21T10:45:00Z,32.00,69.41
2026-04-21T10:46:00Z,32.00,73.54
2026-04-21T10:47:00Z,32.00,74.00
2026-04-21T10:48:00Z,27.95,67.92
2026-04-21T10:49:00Z,35.70,59.95
2026-04-21T10:50:00Z,38.00,63.12
2026-04-21T10:51:00Z,35.00,63.83
2026-04-21T10:52:00Z,35.00,69.26
