# event_ticker=KXATPCHALLENGERMATCH-26MAR10MRVKUZ
# final_score=6-2 6-4
# score_resolution=2-6 4-6
# match_winner=Maxim Mrva
# fav_player=Dimitar Kuzmanov
# dog_player=Maxim Mrva
# kalshi_date=2026-03-10
timestamp,Dimitar Kuzmanov,Maxim Mrva
2026-03-10T05:11:00Z,56.00,
2026-03-10T06:42:00Z,56.00,45.00
2026-03-10T08:47:00Z,58.00,45.00
2026-03-10T08:50:00Z,58.00,44.00
2026-03-10T09:13:00Z,58.00,44.00
2026-03-10T09:19:00Z,58.00,44.00
2026-03-10T09:27:00Z,58.00,45.00
2026-03-10T09:39:00Z,58.00,44.00
2026-03-10T09:42:00Z,58.00,44.00
2026-03-10T09:55:00Z,58.00,44.00
2026-03-10T09:57:00Z,58.00,44.00
2026-03-10T09:59:00Z,58.00,44.00
2026-03-10T10:01:00Z,58.00,44.00
2026-03-10T10:19:00Z,58.00,44.00
2026-03-10T11:04:00Z,62.00,44.00
2026-03-10T11:36:00Z,62.00,44.00
2026-03-10T11:39:00Z,61.86,44.00
2026-03-10T12:12:00Z,61.86,42.82
2026-03-10T13:09:00Z,61.86,40.93
2026-03-10T13:40:00Z,60.00,40.93
2026-03-10T13:45:00Z,60.00,42.00
2026-03-10T13:57:00Z,60.00,42.00
2026-03-10T14:01:00Z,60.00,42.00
2026-03-10T14:05:00Z,60.00,42.00
2026-03-10T14:07:00Z,60.00,42.00
2026-03-10T14:13:00Z,60.24,42.00
2026-03-10T14:23:00Z,61.00,42.00
2026-03-10T14:31:00Z,61.00,42.00
2026-03-10T14:34:00Z,58.00,42.00
2026-03-10T14:35:00Z,58.00,42.00
2026-03-10T14:36:00Z,58.00,42.00
2026-03-10T14:39:00Z,58.00,42.58
2026-03-10T14:41:00Z,58.00,43.00
2026-03-10T14:45:00Z,60.00,43.00
2026-03-10T14:47:00Z,60.00,40.00
2026-03-10T14:48:00Z,60.00,40.00
2026-03-10T14:57:00Z,60.00,40.00
2026-03-10T14:59:00Z,60.00,40.00
2026-03-10T15:05:00Z,58.00,40.00
2026-03-10T15:06:00Z,60.93,40.00
2026-03-10T15:07:00Z,61.00,40.00
2026-03-10T15:13:00Z,60.00,40.00
2026-03-10T15:14:00Z,60.00,40.00
2026-03-10T15:15:00Z,60.00,40.00
2026-03-10T15:18:00Z,58.00,43.42
2026-03-10T15:19:00Z,54.00,49.00
2026-03-10T15:20:00Z,47.00,53.00
2026-03-10T15:21:00Z,46.88,55.00
2026-03-10T15:22:00Z,46.00,55.00
2026-03-10T15:23:00Z,46.60,55.00
2026-03-10T15:24:00Z,40.11,57.04
2026-03-10T15:25:00Z,40.50,61.00
2026-03-10T15:26:00Z,43.89,61.00
2026-03-10T15:27:00Z,43.17,61.00
2026-03-10T15:28:00Z,45.70,56.00
2026-03-10T15:29:00Z,48.79,55.00
2026-03-10T15:30:00Z,38.19,63.42
2026-03-10T15:31:00Z,34.00,65.43
2026-03-10T15:32:00Z,34.38,68.50
2026-03-10T15:33:00Z,32.00,70.42
2026-03-10T15:34:00Z,35.77,62.10
2026-03-10T15:35:00Z,33.08,62.10
2026-03-10T15:36:00Z,36.00,67.50
2026-03-10T15:37:00Z,36.00,66.00
