# event_ticker=KXATPMATCH-26MAR20UGOKOR
# final_score=6-0 6-3
# score_resolution=0-6 3-6
# match_winner=Sebastian Korda
# fav_player=Camilo Ugo Carabelli
# dog_player=Sebastian Korda
# kalshi_date=2026-03-20
timestamp,Camilo Ugo Carabelli,Sebastian Korda
2026-03-20T12:29:00Z,,86.00
2026-03-20T12:41:00Z,12.00,86.00
2026-03-20T12:48:00Z,14.00,86.00
2026-03-20T12:54:00Z,14.00,86.00
2026-03-20T12:57:00Z,14.00,86.00
2026-03-20T13:02:00Z,14.00,87.00
2026-03-20T13:15:00Z,14.00,87.00
2026-03-20T13:26:00Z,14.00,87.00
2026-03-20T13:35:00Z,14.00,87.00
2026-03-20T13:57:00Z,14.00,87.00
2026-03-20T13:58:00Z,15.00,87.00
2026-03-20T13:59:00Z,15.00,87.00
2026-03-20T14:52:00Z,15.00,87.00
2026-03-20T14:55:00Z,15.00,87.00
2026-03-20T15:19:00Z,15.00,87.00
2026-03-20T15:36:00Z,15.00,87.00
2026-03-20T15:57:00Z,15.00,87.00
2026-03-20T16:43:00Z,15.00,87.00
2026-03-20T16:46:00Z,15.00,87.00
2026-03-20T16:51:00Z,15.00,87.00
2026-03-20T16:54:00Z,13.00,87.00
2026-03-20T16:55:00Z,15.00,87.00
2026-03-20T17:03:00Z,15.00,87.00
2026-03-20T18:01:00Z,15.00,87.00
2026-03-20T18:24:00Z,15.00,87.00
2026-03-20T18:25:00Z,15.00,87.00
2026-03-20T19:07:00Z,13.07,87.00
2026-03-20T19:31:00Z,15.00,87.00
2026-03-20T19:32:00Z,15.00,87.00
2026-03-20T20:11:00Z,15.00,87.00
2026-03-20T20:45:00Z,15.00,87.00
2026-03-20T21:01:00Z,15.00,87.00
2026-03-20T21:13:00Z,13.00,87.00
2026-03-20T21:23:00Z,13.00,87.00
2026-03-20T21:25:00Z,13.00,87.00
2026-03-20T21:26:00Z,13.00,87.00
2026-03-20T21:39:00Z,13.00,87.00
2026-03-20T21:48:00Z,13.00,86.00
2026-03-20T22:04:00Z,13.00,86.00
2026-03-20T22:11:00Z,13.00,87.00
2026-03-20T22:28:00Z,15.00,87.00
2026-03-20T22:58:00Z,15.00,87.00
2026-03-20T23:16:00Z,15.00,87.00
2026-03-20T23:18:00Z,15.00,87.00
2026-03-20T23:25:00Z,15.00,87.00
2026-03-20T23:30:00Z,15.00,87.00
2026-03-20T23:32:00Z,15.00,87.00
2026-03-20T23:40:00Z,15.00,87.00
2026-03-20T23:42:00Z,14.00,87.00
2026-03-20T23:47:00Z,14.00,87.00
2026-03-20T23:48:00Z,14.00,87.00
