# event_ticker=KXATPCHALLENGERMATCH-26APR02ENGMON
# final_score=7-5 1-6 6-3
# score_resolution=5-7 6-1 3-6
# match_winner=Justin Engel
# fav_player=Inaki Montes-de la Torre
# dog_player=Justin Engel
# kalshi_date=2026-04-02
timestamp,Inaki Montes-de la Torre,Justin Engel
2026-04-02T02:40:00Z,58.00,
2026-04-02T04:36:00Z,58.00,44.00
2026-04-02T04:44:00Z,58.00,44.00
2026-04-02T05:05:00Z,58.00,44.00
2026-04-02T05:09:00Z,58.00,44.00
2026-04-02T05:24:00Z,58.00,44.00
2026-04-02T05:35:00Z,55.00,44.00
2026-04-02T05:40:00Z,58.00,44.00
2026-04-02T06:37:00Z,57.00,44.00
2026-04-02T09:07:00Z,58.00,44.00
2026-04-02T10:08:00Z,58.00,44.00
2026-04-02T10:29:00Z,58.00,44.00
2026-04-02T10:45:00Z,58.00,44.00
2026-04-02T11:24:00Z,58.00,44.00
2026-04-02T11:29:00Z,58.00,44.00
2026-04-02T12:01:00Z,58.00,44.91
2026-04-02T12:18:00Z,57.88,44.91
2026-04-02T12:31:00Z,57.82,44.91
2026-04-02T12:39:00Z,57.82,44.96
2026-04-02T12:49:00Z,57.82,44.00
2026-04-02T12:55:00Z,57.00,44.00
2026-04-02T12:58:00Z,57.00,44.00
2026-04-02T13:00:00Z,57.81,44.00
2026-04-02T13:01:00Z,57.67,44.00
2026-04-02T13:07:00Z,58.00,45.00
2026-04-02T13:08:00Z,58.00,45.00
2026-04-02T13:09:00Z,58.00,45.00
2026-04-02T13:11:00Z,58.39,44.00
2026-04-02T13:12:00Z,59.00,44.00
2026-04-02T13:14:00Z,59.00,44.00
2026-04-02T13:15:00Z,58.00,43.79
2026-04-02T13:19:00Z,58.00,43.79
2026-04-02T13:23:00Z,58.00,44.00
2026-04-02T13:24:00Z,59.00,44.00
2026-04-02T13:27:00Z,59.00,44.00
2026-04-02T13:28:00Z,59.00,44.00
2026-04-02T13:29:00Z,59.00,44.86
2026-04-02T13:33:00Z,59.00,44.76
2026-04-02T13:34:00Z,59.00,44.98
2026-04-02T13:36:00Z,59.00,44.71
2026-04-02T13:37:00Z,59.00,45.00
2026-04-02T13:41:00Z,58.00,45.00
2026-04-02T13:42:00Z,59.19,45.00
2026-04-02T13:44:00Z,59.19,45.00
2026-04-02T13:47:00Z,59.00,45.00
2026-04-02T13:48:00Z,59.00,45.00
2026-04-02T13:49:00Z,59.00,45.00
2026-04-02T13:58:00Z,59.00,45.00
2026-04-02T14:00:00Z,59.00,44.00
2026-04-02T14:02:00Z,59.00,43.00
2026-04-02T14:03:00Z,58.63,42.38
2026-04-02T14:04:00Z,61.72,40.41
2026-04-02T14:05:00Z,64.23,36.28
2026-04-02T14:06:00Z,69.15,33.57
2026-04-02T14:07:00Z,69.96,31.59
2026-04-02T14:08:00Z,68.49,30.97
2026-04-02T14:09:00Z,61.21,38.21
2026-04-02T14:10:00Z,63.72,39.11
2026-04-02T14:11:00Z,61.80,39.57
2026-04-02T14:12:00Z,64.71,36.41
2026-04-02T14:13:00Z,65.00,36.00
2026-04-02T14:14:00Z,62.11,36.32
2026-04-02T14:15:00Z,67.24,35.96
2026-04-02T14:16:00Z,61.27,38.94
2026-04-02T14:17:00Z,56.78,44.66
2026-04-02T14:18:00Z,56.75,49.98
2026-04-02T14:19:00Z,57.11,44.97
2026-04-02T14:20:00Z,59.32,40.45
2026-04-02T14:21:00Z,57.67,43.55
2026-04-02T14:22:00Z,61.28,37.26
2026-04-02T14:23:00Z,60.53,37.20
2026-04-02T14:24:00Z,62.13,37.73
2026-04-02T14:25:00Z,67.95,35.03
2026-04-02T14:26:00Z,63.18,38.74
2026-04-02T14:27:00Z,60.00,41.05
2026-04-02T14:28:00Z,54.92,46.65
2026-04-02T14:29:00Z,50.65,49.84
2026-04-02T14:30:00Z,56.85,49.38
2026-04-02T14:31:00Z,61.38,39.09
2026-04-02T14:32:00Z,64.94,36.26
2026-04-02T14:33:00Z,64.24,39.68
2026-04-02T14:34:00Z,56.52,44.23
2026-04-02T14:35:00Z,56.74,44.11
2026-04-02T14:36:00Z,54.64,44.97
2026-04-02T14:37:00Z,56.02,45.55
2026-04-02T14:38:00Z,57.52,45.95
2026-04-02T14:39:00Z,49.75,55.06
2026-04-02T14:40:00Z,40.21,62.29
2026-04-02T14:41:00Z,35.37,64.62
2026-04-02T14:42:00Z,31.61,66.26
2026-04-02T14:43:00Z,30.82,68.51
2026-04-02T14:44:00Z,37.74,63.55
2026-04-02T14:45:00Z,44.19,59.46
2026-04-02T14:46:00Z,54.75,51.76
2026-04-02T14:47:00Z,59.24,42.75
2026-04-02T14:48:00Z,47.54,51.45
2026-04-02T14:49:00Z,39.19,62.05
2026-04-02T14:50:00Z,35.01,65.26
2026-04-02T14:51:00Z,29.25,67.56
2026-04-02T14:52:00Z,27.58,71.83
2026-04-02T14:53:00Z,27.99,71.95
2026-04-02T14:54:00Z,27.77,71.34
2026-04-02T14:55:00Z,29.00,72.85
2026-04-02T14:56:00Z,31.47,68.68
2026-04-02T14:57:00Z,33.18,68.28
2026-04-02T14:58:00Z,33.14,70.29
2026-04-02T14:59:00Z,34.76,66.02
2026-04-02T15:00:00Z,37.03,66.55
2026-04-02T15:01:00Z,40.17,64.27
2026-04-02T15:02:00Z,47.08,54.12
2026-04-02T15:03:00Z,48.62,50.87
2026-04-02T15:04:00Z,45.97,56.47
2026-04-02T15:05:00Z,47.74,53.90
2026-04-02T15:06:00Z,50.43,49.97
2026-04-02T15:07:00Z,51.37,50.15
2026-04-02T15:08:00Z,52.73,47.35
2026-04-02T15:09:00Z,53.44,45.22
2026-04-02T15:10:00Z,53.60,45.60
