# event_ticker=KXATPCHALLENGERMATCH-26MAY29HENNAP
# final_score=6-3 7-5
# match_winner=Stefano Napolitano
# fav_player=Stefano Napolitano
# dog_player=Philip Henning
# kalshi_date=2026-05-29
timestamp,Philip Henning,Stefano Napolitano
2026-05-29T01:28:00Z,,50.00
2026-05-29T01:48:00Z,55.00,50.00
2026-05-29T02:49:00Z,55.00,47.00
2026-05-29T03:00:00Z,55.00,46.00
2026-05-29T03:14:00Z,55.00,46.67
2026-05-29T03:32:00Z,55.00,46.67
2026-05-29T04:19:00Z,55.00,47.00
2026-05-29T04:34:00Z,55.00,47.00
2026-05-29T04:40:00Z,55.00,47.00
2026-05-29T04:58:00Z,53.66,47.00
2026-05-29T05:25:00Z,53.66,45.54
2026-05-29T05:28:00Z,53.66,43.66
2026-05-29T05:30:00Z,56.00,43.66
2026-05-29T05:35:00Z,56.00,47.00
2026-05-29T05:42:00Z,56.00,47.00
2026-05-29T05:43:00Z,56.00,47.00
2026-05-29T05:44:00Z,56.00,47.00
2026-05-29T06:04:00Z,56.00,47.00
2026-05-29T06:24:00Z,56.00,47.00
2026-05-29T06:36:00Z,56.00,47.00
2026-05-29T06:53:00Z,56.00,46.00
2026-05-29T06:57:00Z,56.00,46.00
2026-05-29T07:06:00Z,56.00,46.00
2026-05-29T07:10:00Z,56.00,46.00
2026-05-29T07:34:00Z,56.00,46.00
2026-05-29T08:49:00Z,56.00,46.00
2026-05-29T09:27:00Z,56.00,46.00
2026-05-29T09:33:00Z,55.00,46.00
2026-05-29T10:01:00Z,55.00,47.00
2026-05-29T10:35:00Z,55.00,47.00
2026-05-29T10:38:00Z,55.71,47.00
2026-05-29T10:49:00Z,55.71,49.00
2026-05-29T10:51:00Z,55.71,49.00
2026-05-29T10:56:00Z,55.71,48.00
2026-05-29T11:03:00Z,55.71,54.00
2026-05-29T11:04:00Z,55.71,54.00
2026-05-29T11:05:00Z,50.00,54.00
2026-05-29T11:06:00Z,51.80,51.39
2026-05-29T11:07:00Z,57.00,45.82
2026-05-29T11:08:00Z,56.00,48.85
2026-05-29T11:09:00Z,56.00,48.99
2026-05-29T11:10:00Z,53.00,52.55
2026-05-29T11:11:00Z,47.66,51.81
2026-05-29T11:12:00Z,48.00,55.00
2026-05-29T11:13:00Z,47.35,57.73
2026-05-29T11:14:00Z,45.23,57.09
2026-05-29T11:15:00Z,44.05,55.84
2026-05-29T11:16:00Z,44.00,58.09
2026-05-29T11:17:00Z,44.73,60.49
2026-05-29T11:18:00Z,34.17,66.13
2026-05-29T11:19:00Z,32.04,69.89
2026-05-29T11:20:00Z,30.74,72.09
2026-05-29T11:21:00Z,30.74,72.00
2026-05-29T11:22:00Z,30.74,72.56
2026-05-29T11:24:00Z,29.23,72.02
2026-05-29T11:25:00Z,29.23,69.60
2026-05-29T11:26:00Z,33.24,67.54
2026-05-29T11:27:00Z,35.73,65.23
2026-05-29T11:28:00Z,38.55,62.72
2026-05-29T11:29:00Z,43.95,63.86
2026-05-29T11:30:00Z,47.21,55.93
2026-05-29T11:31:00Z,49.10,53.13
2026-05-29T11:32:00Z,40.29,56.12
2026-05-29T11:33:00Z,35.64,64.03
2026-05-29T11:34:00Z,39.73,59.17
2026-05-29T11:35:00Z,32.73,66.50
2026-05-29T11:36:00Z,31.00,72.07
2026-05-29T11:37:00Z,35.73,65.83
2026-05-29T11:38:00Z,39.00,65.51
2026-05-29T11:39:00Z,33.21,66.92
2026-05-29T11:40:00Z,26.53,76.06
2026-05-29T11:41:00Z,26.53,75.00
2026-05-29T11:42:00Z,26.00,75.31
2026-05-29T11:43:00Z,28.00,75.31
2026-05-29T11:44:00Z,28.67,74.00
2026-05-29T11:45:00Z,30.00,74.00
2026-05-29T11:46:00Z,31.00,72.00
2026-05-29T11:47:00Z,31.71,72.00
2026-05-29T11:49:00Z,31.71,72.46
2026-05-29T11:50:00Z,31.71,75.78
2026-05-29T11:51:00Z,26.88,75.78
2026-05-29T11:52:00Z,27.00,75.00
2026-05-29T11:53:00Z,23.61,79.82
2026-05-29T11:54:00Z,23.61,77.65
2026-05-29T11:55:00Z,18.86,79.55
2026-05-29T11:56:00Z,21.42,81.18
2026-05-29T11:57:00Z,18.00,85.02
2026-05-29T11:58:00Z,18.00,88.00
2026-05-29T11:59:00Z,16.97,86.65
2026-05-29T12:00:00Z,21.52,80.27
2026-05-29T12:01:00Z,21.52,78.06
2026-05-29T12:02:00Z,20.78,81.09
2026-05-29T12:03:00Z,17.75,84.95
2026-05-29T12:04:00Z,15.43,86.10
2026-05-29T12:05:00Z,11.95,90.19
2026-05-29T12:06:00Z,11.11,88.59
2026-05-29T12:07:00Z,11.57,90.45
2026-05-29T12:08:00Z,12.93,87.75
2026-05-29T12:09:00Z,14.00,88.13
2026-05-29T12:10:00Z,14.83,89.00
2026-05-29T12:11:00Z,14.83,90.32
2026-05-29T12:12:00Z,7.91,92.98
2026-05-29T12:13:00Z,8.70,92.58
2026-05-29T12:14:00Z,9.00,94.35
2026-05-29T12:15:00Z,9.94,91.87
2026-05-29T12:16:00Z,11.00,89.02
2026-05-29T12:17:00Z,9.85,91.26
2026-05-29T12:18:00Z,6.10,93.00
2026-05-29T12:19:00Z,10.42,89.58
2026-05-29T12:20:00Z,10.00,92.08
2026-05-29T12:21:00Z,12.00,88.19
2026-05-29T12:22:00Z,12.73,90.80
2026-05-29T12:23:00Z,14.09,84.42
2026-05-29T12:24:00Z,21.06,77.12
2026-05-29T12:25:00Z,25.24,75.18
2026-05-29T12:26:00Z,20.22,80.30
2026-05-29T12:27:00Z,23.38,85.22
2026-05-29T12:28:00Z,12.82,82.15
2026-05-29T12:29:00Z,11.00,91.62
2026-05-29T12:30:00Z,12.07,91.97
2026-05-29T12:31:00Z,16.19,86.94
2026-05-29T12:32:00Z,25.05,73.85
2026-05-29T12:33:00Z,31.86,69.01
2026-05-29T12:34:00Z,33.05,66.93
2026-05-29T12:35:00Z,33.59,67.03
2026-05-29T12:36:00Z,34.74,67.55
2026-05-29T12:37:00Z,29.97,71.98
2026-05-29T12:38:00Z,26.95,73.91
2026-05-29T12:39:00Z,29.43,70.85
2026-05-29T12:40:00Z,26.00,74.32
2026-05-29T12:41:00Z,25.65,80.32
2026-05-29T12:42:00Z,10.77,91.73
2026-05-29T12:43:00Z,6.00,94.01
2026-05-29T12:44:00Z,4.75,96.09
2026-05-29T12:45:00Z,7.61,94.71
2026-05-29T12:46:00Z,4.02,98.00
2026-05-29T12:47:00Z,1.00,98.98
