# event_ticker=KXATPMATCH-26APR24NAVZVE
# final_score=6-1 3-6 6-3
# match_winner=Alexander Zverev
# fav_player=Alexander Zverev
# dog_player=Mariano Navone
# kalshi_date=2026-04-24
timestamp,Mariano Navone,Alexander Zverev
2026-04-25T02:25:00Z,,79.00
2026-04-25T02:33:00Z,,79.00
2026-04-25T02:34:00Z,21.00,79.00
2026-04-25T02:40:00Z,21.00,80.58
2026-04-25T02:44:00Z,21.00,80.58
2026-04-25T02:46:00Z,21.00,80.00
2026-04-25T02:54:00Z,21.00,80.00
2026-04-25T02:55:00Z,21.00,81.00
2026-04-25T02:58:00Z,21.00,81.00
2026-04-25T03:04:00Z,19.00,81.00
2026-04-25T03:10:00Z,19.00,81.00
2026-04-25T03:12:00Z,21.00,81.00
2026-04-25T03:15:00Z,21.00,80.00
2026-04-25T03:17:00Z,21.00,80.00
2026-04-25T03:20:00Z,21.00,80.00
2026-04-25T03:23:00Z,21.00,80.00
2026-04-25T03:25:00Z,21.00,80.00
2026-04-25T03:36:00Z,21.00,80.28
2026-04-25T03:37:00Z,21.00,81.00
2026-04-25T03:40:00Z,21.00,81.00
2026-04-25T03:50:00Z,21.00,81.00
2026-04-25T04:01:00Z,21.00,80.00
2026-04-25T04:03:00Z,21.00,80.00
2026-04-25T04:09:00Z,21.00,80.00
2026-04-25T04:11:00Z,21.00,80.00
2026-04-25T04:15:00Z,21.00,80.00
2026-04-25T04:16:00Z,21.00,80.00
2026-04-25T04:20:00Z,21.00,80.00
2026-04-25T04:39:00Z,21.00,80.00
2026-04-25T04:44:00Z,21.00,80.00
2026-04-25T04:45:00Z,20.00,80.00
2026-04-25T04:48:00Z,20.00,80.00
2026-04-25T04:49:00Z,20.00,80.00
2026-04-25T04:51:00Z,20.00,80.00
2026-04-25T04:55:00Z,20.00,80.00
2026-04-25T04:57:00Z,20.00,80.00
2026-04-25T05:08:00Z,20.00,80.00
2026-04-25T05:10:00Z,21.00,80.00
2026-04-25T05:11:00Z,21.00,80.00
2026-04-25T05:12:00Z,21.00,80.00
2026-04-25T05:13:00Z,21.00,79.00
2026-04-25T05:18:00Z,21.00,80.00
2026-04-25T05:19:00Z,21.00,80.00
2026-04-25T05:23:00Z,21.00,80.00
2026-04-25T05:24:00Z,21.00,80.00
2026-04-25T05:25:00Z,21.00,80.00
2026-04-25T05:26:00Z,21.00,80.00
2026-04-25T05:28:00Z,21.00,80.00
2026-04-25T05:30:00Z,21.00,80.00
2026-04-25T05:34:00Z,21.00,80.00
2026-04-25T05:35:00Z,21.00,80.00
2026-04-25T05:39:00Z,21.00,80.00
2026-04-25T05:40:00Z,21.00,80.83
2026-04-25T05:46:00Z,21.00,80.83
2026-04-25T05:47:00Z,20.00,80.00
2026-04-25T05:53:00Z,20.00,80.00
2026-04-25T05:54:00Z,20.00,80.00
2026-04-25T05:58:00Z,20.00,80.00
2026-04-25T05:59:00Z,20.00,80.00
2026-04-25T06:00:00Z,20.00,80.00
