# event_ticker=KXATPCHALLENGERMATCH-26MAR12RODROC
# final_score=7-5 4-0 RET
# match_winner=Henrique Rocha
# fav_player=Henrique Rocha
# dog_player=Santiago Rodriguez Taverna
# kalshi_date=2026-03-12
timestamp,Henrique Rocha,Santiago Rodriguez Taverna
2026-03-12T03:43:00Z,83.00,
2026-03-12T04:26:00Z,83.00,19.00
2026-03-12T04:48:00Z,82.00,19.00
2026-03-12T05:08:00Z,82.00,19.00
2026-03-12T05:42:00Z,82.00,19.00
2026-03-12T06:11:00Z,82.00,17.00
2026-03-12T06:12:00Z,83.00,17.00
2026-03-12T06:20:00Z,83.00,19.00
2026-03-12T06:26:00Z,83.00,19.00
2026-03-12T06:30:00Z,83.00,19.00
2026-03-12T06:34:00Z,83.00,19.00
2026-03-12T06:38:00Z,83.00,19.00
2026-03-12T06:48:00Z,83.00,19.00
2026-03-12T06:53:00Z,83.00,19.00
2026-03-12T06:58:00Z,83.00,19.74
2026-03-12T09:09:00Z,83.00,20.00
2026-03-12T09:54:00Z,82.00,20.00
2026-03-12T09:58:00Z,82.00,20.00
2026-03-12T11:03:00Z,83.00,20.00
2026-03-12T11:18:00Z,83.00,20.00
2026-03-12T11:26:00Z,83.00,20.00
2026-03-12T11:44:00Z,83.00,20.00
2026-03-12T11:47:00Z,83.00,20.00
2026-03-12T11:52:00Z,83.00,18.00
2026-03-12T12:09:00Z,83.00,20.00
2026-03-12T12:10:00Z,83.00,20.00
2026-03-12T12:12:00Z,83.00,20.00
2026-03-12T12:26:00Z,83.00,20.00
2026-03-12T12:31:00Z,83.00,20.00
2026-03-12T12:32:00Z,83.00,20.00
2026-03-12T12:35:00Z,80.00,20.00
2026-03-12T12:41:00Z,83.00,20.00
2026-03-12T12:42:00Z,83.00,20.00
2026-03-12T12:45:00Z,83.00,20.00
2026-03-12T12:50:00Z,83.00,20.00
2026-03-12T12:59:00Z,83.00,20.00
2026-03-12T13:00:00Z,83.00,20.00
2026-03-12T13:04:00Z,80.00,20.00
2026-03-12T13:20:00Z,83.00,20.00
2026-03-12T13:21:00Z,83.00,20.00
2026-03-12T13:24:00Z,83.00,18.00
2026-03-12T13:25:00Z,83.00,18.00
2026-03-12T13:28:00Z,83.00,20.00
2026-03-12T13:30:00Z,83.00,20.00
2026-03-12T13:31:00Z,83.00,20.00
2026-03-12T13:32:00Z,83.00,20.00
2026-03-12T13:33:00Z,83.00,20.00
2026-03-12T13:34:00Z,83.00,20.00
2026-03-12T13:36:00Z,83.00,17.00
2026-03-12T13:38:00Z,83.00,20.00
2026-03-12T13:41:00Z,83.00,20.00
2026-03-12T13:43:00Z,83.00,20.00
2026-03-12T13:45:00Z,83.00,20.00
2026-03-12T13:46:00Z,83.00,20.00
2026-03-12T13:47:00Z,83.00,20.00
2026-03-12T13:49:00Z,83.00,20.00
2026-03-12T13:53:00Z,83.00,20.00
2026-03-12T13:54:00Z,83.00,20.00
2026-03-12T13:56:00Z,83.00,20.00
2026-03-12T13:59:00Z,82.00,20.00
2026-03-12T14:04:00Z,82.00,20.00
2026-03-12T14:05:00Z,82.00,19.92
2026-03-12T14:09:00Z,82.33,19.92
2026-03-12T14:10:00Z,83.00,19.92
2026-03-12T14:11:00Z,83.00,19.75
2026-03-12T14:14:00Z,83.00,19.75
2026-03-12T14:16:00Z,83.00,20.00
2026-03-12T14:17:00Z,83.00,20.00
2026-03-12T14:21:00Z,83.00,19.00
2026-03-12T14:25:00Z,83.00,19.00
2026-03-12T14:31:00Z,83.00,19.09
2026-03-12T14:32:00Z,81.49,20.25
2026-03-12T14:33:00Z,83.00,20.25
2026-03-12T14:35:00Z,83.00,20.25
2026-03-12T14:38:00Z,81.00,19.00
2026-03-12T14:39:00Z,83.00,19.00
2026-03-12T14:40:00Z,83.00,19.00
2026-03-12T14:41:00Z,83.00,19.11
2026-03-12T14:42:00Z,83.00,19.00
2026-03-12T14:43:00Z,83.25,18.07
2026-03-12T14:44:00Z,85.00,16.59
2026-03-12T14:45:00Z,87.80,15.08
2026-03-12T14:46:00Z,86.59,16.03
2026-03-12T14:47:00Z,84.00,19.19
2026-03-12T14:48:00Z,83.01,17.41
2026-03-12T14:49:00Z,85.03,16.00
2026-03-12T14:50:00Z,85.00,16.80
2026-03-12T14:51:00Z,83.91,17.88
2026-03-12T14:52:00Z,81.00,19.71
2026-03-12T14:53:00Z,81.00,18.74
2026-03-12T14:54:00Z,83.18,19.32
2026-03-12T14:55:00Z,81.50,20.35
2026-03-12T14:56:00Z,80.24,20.30
2026-03-12T14:57:00Z,81.90,21.45
2026-03-12T14:58:00Z,83.92,18.03
2026-03-12T14:59:00Z,83.09,18.00
2026-03-12T15:00:00Z,84.00,19.09
