# event_ticker=KXATPMATCH-26MAY08PAUVUK
# final_score=6-4 6-2
# score_resolution=4-6 2-6
# match_winner=Tommy Paul
# fav_player=Aleksandar Vukic
# dog_player=Tommy Paul
# kalshi_date=2026-05-08
timestamp,Tommy Paul,Aleksandar Vukic
2026-05-08T04:05:00Z,91.00,
2026-05-08T04:30:00Z,91.00,10.00
2026-05-08T04:32:00Z,91.00,10.00
2026-05-08T04:46:00Z,91.00,10.00
2026-05-08T04:48:00Z,91.00,10.00
2026-05-08T04:53:00Z,91.00,10.00
2026-05-08T05:03:00Z,91.00,10.00
2026-05-08T05:07:00Z,91.00,10.00
2026-05-08T05:09:00Z,91.00,10.00
2026-05-08T05:11:00Z,91.00,10.00
2026-05-08T05:17:00Z,91.00,10.00
2026-05-08T05:26:00Z,90.00,10.00
2026-05-08T06:11:00Z,90.00,10.00
2026-05-08T06:24:00Z,91.00,10.00
2026-05-08T06:30:00Z,91.00,10.00
2026-05-08T06:31:00Z,91.00,10.00
2026-05-08T06:51:00Z,91.00,10.00
2026-05-08T07:00:00Z,91.00,10.00
2026-05-08T07:17:00Z,91.00,10.00
2026-05-08T07:19:00Z,91.00,10.00
2026-05-08T07:29:00Z,91.97,10.00
2026-05-08T08:22:00Z,91.00,10.00
2026-05-08T09:15:00Z,92.00,10.00
2026-05-08T09:45:00Z,92.00,10.00
2026-05-08T09:53:00Z,92.00,10.00
2026-05-08T10:21:00Z,92.00,10.00
2026-05-08T10:23:00Z,92.00,10.00
2026-05-08T10:59:00Z,92.00,10.00
2026-05-08T11:08:00Z,92.00,10.00
2026-05-08T11:19:00Z,92.00,10.00
2026-05-08T11:36:00Z,92.00,10.00
2026-05-08T11:40:00Z,92.00,10.00
2026-05-08T11:45:00Z,92.00,10.00
2026-05-08T11:50:00Z,92.00,9.00
2026-05-08T12:11:00Z,92.00,10.00
2026-05-08T12:14:00Z,92.00,10.00
2026-05-08T12:19:00Z,92.00,10.00
2026-05-08T12:27:00Z,92.00,10.00
2026-05-08T12:40:00Z,92.00,9.00
2026-05-08T12:41:00Z,92.00,9.00
2026-05-08T12:42:00Z,92.00,8.11
2026-05-08T12:45:00Z,92.00,8.11
2026-05-08T12:53:00Z,92.00,9.00
2026-05-08T12:59:00Z,92.00,9.00
2026-05-08T13:06:00Z,92.00,9.00
2026-05-08T13:07:00Z,92.00,9.00
2026-05-08T13:12:00Z,92.00,9.00
2026-05-08T13:22:00Z,92.00,9.00
2026-05-08T13:35:00Z,92.00,9.00
2026-05-08T13:38:00Z,92.00,9.00
2026-05-08T13:59:00Z,92.00,9.00
2026-05-08T14:00:00Z,91.00,9.00
