# event_ticker=KXATPCHALLENGERMATCH-26FEB24DHASAK
# final_score=6-4 7-6(4)
# score_resolution=6-4 7-6
# match_winner=Manas Dhamne
# fav_player=Manas Dhamne
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-02-24
timestamp,Manas Dhamne,Stefanos Sakellaridis
2026-02-23T19:54:00Z,,64.00
2026-02-23T20:22:00Z,,64.00
2026-02-23T21:50:00Z,,64.00
2026-02-23T22:12:00Z,,64.00
2026-02-24T00:06:00Z,,63.33
2026-02-24T00:38:00Z,,63.00
2026-02-24T01:02:00Z,,63.60
2026-02-24T01:16:00Z,,65.00
2026-02-24T02:51:00Z,,65.00
2026-02-24T03:10:00Z,39.00,65.00
2026-02-24T03:21:00Z,39.00,64.00
2026-02-24T03:56:00Z,39.00,64.00
2026-02-24T04:07:00Z,39.00,64.00
2026-02-24T04:17:00Z,39.00,66.00
2026-02-24T04:28:00Z,39.00,66.80
2026-02-24T04:50:00Z,35.00,67.00
2026-02-24T04:57:00Z,35.00,67.00
2026-02-24T04:58:00Z,35.00,67.00
2026-02-24T04:59:00Z,35.00,68.27
2026-02-24T05:02:00Z,35.00,68.00
2026-02-24T05:04:00Z,35.00,68.00
2026-02-24T05:07:00Z,33.00,68.00
2026-02-24T05:08:00Z,33.00,68.00
2026-02-24T05:09:00Z,33.00,67.99
2026-02-24T05:12:00Z,33.00,68.00
2026-02-24T05:14:00Z,33.00,68.00
2026-02-24T05:15:00Z,33.00,68.00
2026-02-24T05:16:00Z,33.00,68.00
2026-02-24T05:17:00Z,33.00,69.00
2026-02-24T05:18:00Z,33.00,69.00
2026-02-24T05:19:00Z,33.00,68.64
2026-02-24T05:22:00Z,33.00,69.00
2026-02-24T05:27:00Z,33.00,69.00
2026-02-24T05:29:00Z,33.00,69.00
2026-02-24T05:35:00Z,33.00,69.00
2026-02-24T05:37:00Z,33.00,69.00
2026-02-24T05:38:00Z,33.00,69.00
2026-02-24T05:41:00Z,29.79,69.00
2026-02-24T05:42:00Z,29.79,69.63
2026-02-24T05:43:00Z,32.00,70.00
2026-02-24T05:45:00Z,32.00,70.00
2026-02-24T05:48:00Z,32.00,70.00
2026-02-24T05:49:00Z,32.00,69.00
2026-02-24T05:51:00Z,33.00,70.00
2026-02-24T05:52:00Z,33.00,70.00
2026-02-24T05:58:00Z,33.00,70.00
2026-02-24T05:59:00Z,33.00,70.00
2026-02-24T06:00:00Z,32.00,70.00
2026-02-24T06:01:00Z,32.00,70.00
2026-02-24T06:02:00Z,33.00,70.00
2026-02-24T06:03:00Z,33.00,70.00
2026-02-24T06:05:00Z,33.00,70.00
2026-02-24T06:06:00Z,33.00,70.00
2026-02-24T06:09:00Z,33.00,70.00
2026-02-24T06:11:00Z,33.00,69.86
2026-02-24T06:12:00Z,33.00,70.00
2026-02-24T06:13:00Z,33.00,70.00
2026-02-24T06:15:00Z,33.00,70.00
2026-02-24T06:17:00Z,33.00,70.00
2026-02-24T06:18:00Z,32.00,70.00
2026-02-24T06:19:00Z,32.00,70.00
2026-02-24T06:20:00Z,33.00,70.00
2026-02-24T06:21:00Z,33.00,70.00
2026-02-24T06:22:00Z,33.00,70.00
2026-02-24T06:24:00Z,33.00,70.00
2026-02-24T06:25:00Z,33.00,70.00
