# event_ticker=KXATPCHALLENGERMATCH-26APR28FATPIN
# final_score=6-2 7-5
# match_winner=Nerman Fatic
# fav_player=Nerman Fatic
# dog_player=Jack Pinnington Jones
# kalshi_date=2026-04-28
timestamp,Nerman Fatic,Jack Pinnington Jones
2026-04-28T00:34:00Z,51.00,
2026-04-28T03:44:00Z,50.00,
2026-04-28T05:00:00Z,50.00,52.00
2026-04-28T05:18:00Z,51.00,52.00
2026-04-28T05:23:00Z,51.00,52.00
2026-04-28T05:47:00Z,51.00,52.00
2026-04-28T06:02:00Z,51.00,52.00
2026-04-28T06:19:00Z,51.00,52.00
2026-04-28T06:44:00Z,50.00,52.00
2026-04-28T07:30:00Z,48.00,52.00
2026-04-28T07:36:00Z,48.00,53.00
2026-04-28T08:56:00Z,48.00,53.00
2026-04-28T09:18:00Z,48.00,52.00
2026-04-28T10:54:00Z,48.00,51.00
2026-04-28T10:55:00Z,48.00,51.74
2026-04-28T11:46:00Z,48.00,52.00
2026-04-28T11:47:00Z,49.00,52.00
2026-04-28T12:01:00Z,49.00,51.00
2026-04-28T12:15:00Z,49.00,50.00
2026-04-28T12:18:00Z,49.18,50.79
2026-04-28T12:19:00Z,51.00,49.00
2026-04-28T12:20:00Z,51.00,51.00
2026-04-28T12:21:00Z,50.00,54.26
2026-04-28T12:22:00Z,50.00,52.47
2026-04-28T12:23:00Z,46.18,53.91
2026-04-28T12:24:00Z,50.00,53.76
2026-04-28T12:25:00Z,45.95,53.01
2026-04-28T12:26:00Z,43.92,56.70
2026-04-28T12:27:00Z,45.86,53.82
2026-04-28T12:28:00Z,38.00,62.56
2026-04-28T12:29:00Z,38.00,63.00
2026-04-28T12:30:00Z,35.93,63.13
2026-04-28T12:31:00Z,40.20,59.64
2026-04-28T12:32:00Z,41.80,62.33
2026-04-28T12:33:00Z,49.99,51.00
2026-04-28T12:34:00Z,51.94,49.11
2026-04-28T12:35:00Z,45.53,52.24
2026-04-28T12:36:00Z,50.57,51.80
2026-04-28T12:37:00Z,52.00,49.97
2026-04-28T12:38:00Z,52.98,47.00
2026-04-28T12:39:00Z,52.00,48.30
2026-04-28T12:40:00Z,54.95,47.45
2026-04-28T12:41:00Z,52.00,49.61
2026-04-28T12:42:00Z,50.00,49.00
2026-04-28T12:43:00Z,49.00,50.96
2026-04-28T12:44:00Z,49.49,50.99
2026-04-28T12:45:00Z,50.32,49.92
2026-04-28T12:46:00Z,52.00,48.32
2026-04-28T12:47:00Z,55.00,46.74
2026-04-28T12:48:00Z,55.00,46.02
2026-04-28T12:49:00Z,56.16,45.48
2026-04-28T12:50:00Z,62.38,36.34
2026-04-28T12:51:00Z,66.25,31.49
2026-04-28T12:52:00Z,68.70,29.64
2026-04-28T12:53:00Z,73.29,29.64
2026-04-28T12:54:00Z,73.29,26.50
2026-04-28T12:55:00Z,75.00,26.00
2026-04-28T12:56:00Z,75.00,25.00
2026-04-28T12:57:00Z,76.00,23.85
2026-04-28T12:58:00Z,78.73,21.53
2026-04-28T12:59:00Z,78.73,22.00
2026-04-28T13:00:00Z,76.00,24.42
2026-04-28T13:01:00Z,77.00,22.02
2026-04-28T13:02:00Z,77.00,23.60
2026-04-28T13:03:00Z,77.94,22.05
2026-04-28T13:04:00Z,78.00,22.05
2026-04-28T13:05:00Z,81.00,20.00
2026-04-28T13:06:00Z,80.17,20.00
2026-04-28T13:07:00Z,80.17,19.24
2026-04-28T13:08:00Z,83.00,19.00
2026-04-28T13:09:00Z,83.00,19.00
2026-04-28T13:10:00Z,82.00,19.90
2026-04-28T13:11:00Z,81.44,20.09
2026-04-28T13:12:00Z,81.97,19.05
2026-04-28T13:13:00Z,82.00,20.62
2026-04-28T13:14:00Z,81.00,21.66
2026-04-28T13:15:00Z,74.83,25.73
2026-04-28T13:16:00Z,71.00,29.00
2026-04-28T13:17:00Z,67.95,32.23
2026-04-28T13:18:00Z,70.00,31.52
2026-04-28T13:19:00Z,70.00,31.03
2026-04-28T13:20:00Z,69.00,31.00
2026-04-28T13:21:00Z,69.00,33.97
2026-04-28T13:22:00Z,69.00,34.31
2026-04-28T13:23:00Z,69.00,33.00
2026-04-28T13:24:00Z,69.01,31.00
2026-04-28T13:25:00Z,70.00,31.00
2026-04-28T13:26:00Z,70.00,30.00
2026-04-28T13:27:00Z,71.00,29.84
2026-04-28T13:28:00Z,75.00,25.00
2026-04-28T13:29:00Z,75.00,29.50
2026-04-28T13:30:00Z,69.04,29.66
2026-04-28T13:31:00Z,71.93,32.01
2026-04-28T13:32:00Z,67.00,34.00
2026-04-28T13:33:00Z,66.00,33.80
2026-04-28T13:34:00Z,63.00,36.26
2026-04-28T13:35:00Z,63.00,36.54
2026-04-28T13:36:00Z,63.00,36.00
2026-04-28T13:37:00Z,63.06,38.01
2026-04-28T13:38:00Z,63.29,37.45
2026-04-28T13:39:00Z,64.81,34.92
2026-04-28T13:40:00Z,66.94,34.09
2026-04-28T13:41:00Z,71.43,34.72
2026-04-28T13:42:00Z,72.63,26.85
2026-04-28T13:43:00Z,68.33,32.05
2026-04-28T13:44:00Z,70.56,28.86
2026-04-28T13:45:00Z,67.49,32.02
2026-04-28T13:46:00Z,62.94,37.00
2026-04-28T13:47:00Z,61.09,38.99
2026-04-28T13:48:00Z,61.25,40.63
2026-04-28T13:49:00Z,60.76,38.39
2026-04-28T13:50:00Z,63.41,36.85
2026-04-28T13:51:00Z,64.21,35.98
2026-04-28T13:52:00Z,63.28,36.20
2026-04-28T13:53:00Z,65.96,31.29
2026-04-28T13:54:00Z,74.52,26.13
2026-04-28T13:55:00Z,69.18,26.40
2026-04-28T13:56:00Z,69.84,32.11
2026-04-28T13:57:00Z,76.77,22.10
2026-04-28T13:58:00Z,81.22,19.71
2026-04-28T13:59:00Z,83.08,17.12
2026-04-28T14:00:00Z,85.59,13.41
2026-04-28T14:01:00Z,85.98,14.12
2026-04-28T14:02:00Z,86.28,13.88
2026-04-28T14:03:00Z,83.23,17.91
2026-04-28T14:04:00Z,80.86,19.52
2026-04-28T14:05:00Z,82.37,19.57
2026-04-28T14:06:00Z,83.63,14.34
2026-04-28T14:07:00Z,85.99,15.00
2026-04-28T14:08:00Z,85.94,14.80
2026-04-28T14:09:00Z,85.48,16.88
2026-04-28T14:10:00Z,89.69,12.82
2026-04-28T14:11:00Z,94.16,4.73
2026-04-28T14:12:00Z,97.81,2.11
2026-04-28T14:13:00Z,99.00,1.00
2026-04-28T14:14:00Z,99.00,1.00
2026-04-28T14:15:00Z,99.00,1.00
2026-04-28T14:16:00Z,99.00,1.00
