# event_ticker=KXATPMATCH-26MAR12FILZVE
# final_score=6-2 6-3
# score_resolution=2-6 3-6
# match_winner=Alexander Zverev
# fav_player=Arthur Fils
# dog_player=Alexander Zverev
# kalshi_date=2026-03-12
timestamp,Arthur Fils,Alexander Zverev
2026-03-12T06:16:00Z,41.00,
2026-03-12T06:17:00Z,41.00,61.00
2026-03-12T06:18:00Z,40.00,61.00
2026-03-12T06:19:00Z,40.00,61.00
2026-03-12T06:22:00Z,41.00,60.77
2026-03-12T06:23:00Z,41.00,59.00
2026-03-12T06:24:00Z,41.00,60.00
2026-03-12T06:26:00Z,41.00,60.00
2026-03-12T06:27:00Z,41.00,60.00
2026-03-12T06:28:00Z,41.00,60.00
2026-03-12T06:29:00Z,41.00,60.41
2026-03-12T06:31:00Z,41.00,61.00
2026-03-12T06:34:00Z,41.00,61.00
2026-03-12T06:35:00Z,41.00,61.00
2026-03-12T06:36:00Z,40.00,61.00
2026-03-12T06:38:00Z,41.00,61.00
2026-03-12T06:39:00Z,41.00,61.00
2026-03-12T06:40:00Z,41.00,61.00
2026-03-12T06:41:00Z,41.00,61.00
2026-03-12T06:42:00Z,41.00,61.00
2026-03-12T06:43:00Z,41.00,61.00
2026-03-12T06:44:00Z,41.00,61.00
2026-03-12T06:46:00Z,41.00,61.00
2026-03-12T06:49:00Z,41.00,61.00
2026-03-12T06:50:00Z,41.00,61.00
2026-03-12T06:52:00Z,41.00,61.00
2026-03-12T06:53:00Z,40.00,61.00
2026-03-12T06:54:00Z,41.00,61.00
2026-03-12T06:55:00Z,41.00,58.26
2026-03-12T06:56:00Z,41.00,58.26
2026-03-12T06:58:00Z,41.00,61.00
2026-03-12T06:59:00Z,41.00,61.00
2026-03-12T07:00:00Z,41.00,61.00
2026-03-12T09:01:00Z,41.00,61.00
2026-03-12T09:03:00Z,41.00,61.00
2026-03-12T09:08:00Z,41.00,61.00
2026-03-12T09:16:00Z,41.00,61.00
2026-03-12T09:17:00Z,41.00,60.00
2026-03-12T09:27:00Z,41.00,60.56
2026-03-12T09:28:00Z,40.50,61.00
2026-03-12T09:31:00Z,40.50,61.00
2026-03-12T09:33:00Z,40.50,61.00
