# event_ticker=KXATPCHALLENGERMATCH-26MAY08RODMIG
# final_score=6-4 6-4
# match_winner=Luis Miguel
# fav_player=Luis Guto Miguel
# dog_player=Lorenzo Joaquin Rodriguez
# kalshi_date=2026-05-08
timestamp,Lorenzo Joaquin Rodriguez,Luis Guto Miguel
2026-05-08T06:43:00Z,,41.00
2026-05-08T09:26:00Z,56.00,44.00
2026-05-08T10:07:00Z,54.00,44.00
2026-05-08T10:10:00Z,54.00,44.00
2026-05-08T11:21:00Z,54.00,44.00
2026-05-08T11:48:00Z,54.00,47.37
2026-05-08T12:33:00Z,52.00,47.37
2026-05-08T12:57:00Z,52.00,49.00
2026-05-08T13:05:00Z,52.00,51.00
2026-05-08T13:52:00Z,52.00,51.00
2026-05-08T14:24:00Z,51.00,51.00
2026-05-08T14:31:00Z,51.00,51.00
2026-05-08T15:20:00Z,51.00,51.00
2026-05-08T15:23:00Z,50.00,51.00
2026-05-08T15:25:00Z,50.00,51.00
2026-05-08T15:43:00Z,47.00,51.00
2026-05-08T15:50:00Z,47.00,54.00
2026-05-08T16:23:00Z,47.00,54.00
2026-05-08T17:00:00Z,47.00,53.00
2026-05-08T17:14:00Z,47.00,53.00
2026-05-08T17:26:00Z,47.00,53.00
2026-05-08T17:52:00Z,47.00,53.11
2026-05-08T17:57:00Z,47.00,54.00
2026-05-08T17:59:00Z,47.00,54.00
2026-05-08T18:00:00Z,47.00,54.00
2026-05-08T18:05:00Z,48.00,54.00
2026-05-08T18:08:00Z,48.00,54.00
2026-05-08T18:09:00Z,44.00,55.88
2026-05-08T18:10:00Z,43.51,58.73
2026-05-08T18:11:00Z,49.13,52.75
2026-05-08T18:12:00Z,52.00,49.63
2026-05-08T18:13:00Z,53.00,50.09
2026-05-08T18:14:00Z,49.97,50.76
2026-05-08T18:15:00Z,49.03,52.65
2026-05-08T18:16:00Z,49.03,55.07
2026-05-08T18:17:00Z,48.00,54.90
2026-05-08T18:18:00Z,46.18,57.95
2026-05-08T18:19:00Z,43.00,58.72
2026-05-08T18:20:00Z,41.97,59.96
2026-05-08T18:21:00Z,34.00,64.04
2026-05-08T18:22:00Z,34.38,66.30
2026-05-08T18:23:00Z,36.02,64.00
2026-05-08T18:24:00Z,36.00,67.12
2026-05-08T18:25:00Z,32.55,69.10
2026-05-08T18:26:00Z,29.01,71.26
2026-05-08T18:27:00Z,29.00,71.99
2026-05-08T18:28:00Z,29.00,71.90
2026-05-08T18:29:00Z,27.57,72.11
2026-05-08T18:30:00Z,29.00,70.57
2026-05-08T18:31:00Z,31.74,70.00
2026-05-08T18:32:00Z,32.98,68.00
2026-05-08T18:33:00Z,30.00,70.00
2026-05-08T18:34:00Z,30.00,71.01
2026-05-08T18:35:00Z,30.00,74.00
2026-05-08T18:36:00Z,27.00,74.00
2026-05-08T18:37:00Z,26.00,74.00
2026-05-08T18:38:00Z,29.10,74.00
2026-05-08T18:39:00Z,31.00,70.99
2026-05-08T18:40:00Z,31.00,70.00
2026-05-08T18:41:00Z,29.00,71.25
2026-05-08T18:42:00Z,26.30,74.62
2026-05-08T18:43:00Z,26.30,75.00
2026-05-08T18:44:00Z,24.00,76.01
2026-05-08T18:45:00Z,25.00,77.00
2026-05-08T18:46:00Z,25.00,75.00
2026-05-08T18:47:00Z,25.46,74.00
2026-05-08T18:48:00Z,25.52,73.05
2026-05-08T18:49:00Z,23.93,77.00
2026-05-08T18:50:00Z,22.00,78.04
2026-05-08T18:51:00Z,21.00,80.00
2026-05-08T18:52:00Z,21.00,80.00
2026-05-08T18:53:00Z,21.00,79.01
2026-05-08T18:54:00Z,20.99,80.00
2026-05-08T18:55:00Z,21.00,80.00
2026-05-08T18:56:00Z,21.00,79.09
2026-05-08T18:57:00Z,21.98,79.41
2026-05-08T18:58:00Z,23.36,75.11
2026-05-08T18:59:00Z,25.00,75.00
2026-05-08T19:00:00Z,23.43,77.35
2026-05-08T19:01:00Z,21.16,77.04
2026-05-08T19:02:00Z,23.22,77.33
2026-05-08T19:03:00Z,25.89,74.73
2026-05-08T19:04:00Z,25.50,76.20
2026-05-08T19:05:00Z,25.83,74.95
2026-05-08T19:06:00Z,25.23,75.25
2026-05-08T19:07:00Z,24.00,77.99
2026-05-08T19:08:00Z,23.50,76.28
2026-05-08T19:09:00Z,26.55,76.48
2026-05-08T19:10:00Z,24.49,75.22
2026-05-08T19:11:00Z,26.44,74.94
2026-05-08T19:12:00Z,28.00,73.12
2026-05-08T19:13:00Z,27.30,73.00
2026-05-08T19:14:00Z,27.47,72.81
2026-05-08T19:15:00Z,29.34,73.00
2026-05-08T19:16:00Z,26.73,71.35
2026-05-08T19:17:00Z,26.00,74.76
2026-05-08T19:18:00Z,28.39,73.96
2026-05-08T19:19:00Z,29.93,70.76
2026-05-08T19:20:00Z,26.54,75.50
2026-05-08T19:21:00Z,18.39,79.21
2026-05-08T19:22:00Z,17.67,83.30
2026-05-08T19:23:00Z,8.89,91.90
2026-05-08T19:24:00Z,7.95,91.04
2026-05-08T19:25:00Z,4.49,94.94
2026-05-08T19:26:00Z,3.69,96.14
2026-05-08T19:27:00Z,4.55,96.62
2026-05-08T19:28:00Z,5.00,95.46
2026-05-08T19:29:00Z,3.69,96.89
2026-05-08T19:30:00Z,3.62,96.00
2026-05-08T19:31:00Z,4.98,96.00
2026-05-08T19:32:00Z,5.36,95.98
2026-05-08T19:33:00Z,9.53,93.81
2026-05-08T19:34:00Z,1.58,98.43
2026-05-08T19:35:00Z,1.00,99.00
2026-05-08T19:36:00Z,1.00,99.00
