# event_ticker=KXATPCHALLENGERMATCH-26FEB17SWEZHU
# final_score=6-7(6) 6-2 6-2
# score_resolution=6-7 6-2 6-2
# match_winner=Beibit Zhukayev
# fav_player=Beibit Zhukayev
# dog_player=Dane Sweeny
# kalshi_date=2026-02-17
timestamp,Beibit Zhukayev,Dane Sweeny
2026-02-16T20:32:00Z,,69.00
2026-02-16T21:43:00Z,,68.00
2026-02-16T22:04:00Z,,67.00
2026-02-16T22:31:00Z,,69.00
2026-02-16T22:41:00Z,,69.00
2026-02-16T22:53:00Z,33.00,69.00
2026-02-16T23:02:00Z,33.00,69.00
2026-02-16T23:06:00Z,33.00,69.00
2026-02-16T23:45:00Z,33.00,69.00
2026-02-17T01:43:00Z,33.00,70.00
2026-02-17T02:00:00Z,33.00,70.00
2026-02-17T02:04:00Z,33.00,70.00
2026-02-17T02:08:00Z,33.00,70.00
2026-02-17T02:21:00Z,33.00,70.00
2026-02-17T02:26:00Z,33.00,70.00
2026-02-17T02:54:00Z,33.00,70.00
2026-02-17T03:02:00Z,33.00,70.00
2026-02-17T03:04:00Z,33.00,70.00
2026-02-17T03:16:00Z,33.00,70.00
2026-02-17T03:34:00Z,33.00,70.00
2026-02-17T03:39:00Z,33.00,70.00
2026-02-17T03:41:00Z,33.00,70.00
2026-02-17T03:43:00Z,33.00,70.00
2026-02-17T03:50:00Z,31.00,70.00
2026-02-17T03:51:00Z,31.00,70.00
2026-02-17T03:54:00Z,31.00,70.00
2026-02-17T03:55:00Z,31.00,70.00
2026-02-17T04:07:00Z,31.00,70.00
2026-02-17T04:17:00Z,31.00,70.00
2026-02-17T04:18:00Z,31.00,70.00
2026-02-17T04:20:00Z,31.00,70.00
2026-02-17T04:21:00Z,31.00,70.00
2026-02-17T04:22:00Z,31.00,70.00
2026-02-17T04:24:00Z,31.00,70.00
2026-02-17T04:26:00Z,31.00,70.00
2026-02-17T04:27:00Z,31.00,70.00
2026-02-17T04:28:00Z,30.00,70.00
2026-02-17T04:30:00Z,30.00,70.00
