# event_ticker=KXATPCHALLENGERMATCH-26FEB10MARKIN
# final_score=6-3 7-5
# match_winner=Cannon Kingsley
# fav_player=Cannon Kingsley
# dog_player=Andres Martin
# kalshi_date=2026-02-10
timestamp,Cannon Kingsley,Andres Martin
2026-02-10T04:33:00Z,,57.00
2026-02-10T04:55:00Z,66.00,57.00
2026-02-10T05:16:00Z,67.00,57.00
2026-02-10T05:39:00Z,67.00,57.00
2026-02-10T07:18:00Z,67.00,56.00
2026-02-10T07:39:00Z,54.00,50.00
2026-02-10T07:49:00Z,54.00,49.00
2026-02-10T08:36:00Z,65.00,49.00
2026-02-10T10:22:00Z,57.00,49.00
2026-02-10T11:27:00Z,57.00,49.00
2026-02-10T11:54:00Z,57.00,49.00
2026-02-10T12:00:00Z,57.00,49.00
2026-02-10T12:12:00Z,57.00,49.00
2026-02-10T12:14:00Z,58.00,49.00
2026-02-10T12:15:00Z,55.18,49.00
2026-02-10T12:19:00Z,57.00,49.00
2026-02-10T12:45:00Z,57.00,46.00
2026-02-10T12:50:00Z,57.00,46.00
2026-02-10T13:14:00Z,57.00,46.00
2026-02-10T13:20:00Z,57.00,46.00
2026-02-10T13:38:00Z,58.31,46.00
2026-02-10T14:27:00Z,58.31,45.00
2026-02-10T14:50:00Z,58.00,45.00
2026-02-10T14:56:00Z,57.73,45.00
2026-02-10T14:57:00Z,57.73,44.00
2026-02-10T15:08:00Z,57.73,44.00
2026-02-10T15:16:00Z,58.00,44.00
2026-02-10T15:21:00Z,58.00,43.00
2026-02-10T15:29:00Z,58.00,44.00
2026-02-10T15:30:00Z,58.00,44.00
2026-02-10T15:35:00Z,58.00,44.00
2026-02-10T15:36:00Z,58.00,44.00
2026-02-10T15:42:00Z,56.00,44.00
2026-02-10T15:45:00Z,57.00,44.00
2026-02-10T15:49:00Z,56.00,44.00
2026-02-10T15:50:00Z,56.00,44.88
2026-02-10T15:52:00Z,56.00,45.00
2026-02-10T15:55:00Z,56.00,44.17
2026-02-10T16:01:00Z,56.00,44.17
2026-02-10T16:02:00Z,56.00,46.50
2026-02-10T16:03:00Z,56.14,47.00
2026-02-10T16:04:00Z,56.33,46.99
2026-02-10T16:06:00Z,56.00,46.99
2026-02-10T16:07:00Z,57.69,44.00
2026-02-10T16:08:00Z,56.04,44.00
2026-02-10T16:09:00Z,50.01,49.00
2026-02-10T16:10:00Z,50.01,46.93
2026-02-10T16:11:00Z,50.01,47.00
2026-02-10T16:12:00Z,50.01,45.04
