# event_ticker=KXATPCHALLENGERMATCH-26FEB17AMBOLI
# final_score=6-3 4-1 RET
# match_winner=Genaro Alberto Olivieri
# fav_player=Genaro Alberto Olivieri
# dog_player=Luciano Emanuel Ambrogi
# kalshi_date=2026-02-17
timestamp,Genaro Alberto Olivieri,Luciano Emanuel Ambrogi
2026-02-17T05:07:00Z,58.00,
2026-02-17T05:40:00Z,58.00,
2026-02-17T06:14:00Z,54.00,
2026-02-17T06:45:00Z,54.00,46.00
2026-02-17T07:47:00Z,58.00,46.00
2026-02-17T07:59:00Z,58.00,46.00
2026-02-17T08:27:00Z,58.17,46.00
2026-02-17T08:29:00Z,58.42,46.00
2026-02-17T09:05:00Z,58.42,46.00
2026-02-17T11:45:00Z,59.00,46.00
2026-02-17T12:04:00Z,59.00,46.00
2026-02-17T12:09:00Z,59.00,44.00
2026-02-17T12:24:00Z,59.00,44.00
2026-02-17T12:28:00Z,59.00,41.00
2026-02-17T12:51:00Z,59.00,41.00
2026-02-17T12:53:00Z,59.00,41.00
2026-02-17T12:58:00Z,59.00,41.00
2026-02-17T13:01:00Z,59.00,41.00
2026-02-17T13:13:00Z,59.00,41.00
2026-02-17T13:14:00Z,59.00,41.00
2026-02-17T13:36:00Z,60.00,41.00
2026-02-17T13:37:00Z,60.00,41.00
2026-02-17T13:54:00Z,60.00,41.00
2026-02-17T14:03:00Z,60.00,41.00
2026-02-17T14:07:00Z,60.30,41.00
2026-02-17T14:10:00Z,60.30,43.00
2026-02-17T14:15:00Z,60.00,43.00
2026-02-17T14:32:00Z,61.00,43.00
2026-02-17T14:37:00Z,61.00,43.00
2026-02-17T14:40:00Z,59.99,43.00
2026-02-17T14:41:00Z,60.11,43.00
2026-02-17T14:45:00Z,60.00,43.00
2026-02-17T14:47:00Z,60.00,45.05
2026-02-17T14:50:00Z,61.19,45.05
2026-02-17T14:55:00Z,60.00,45.05
2026-02-17T14:59:00Z,60.00,40.90
2026-02-17T15:02:00Z,59.00,40.90
2026-02-17T15:10:00Z,62.62,40.90
2026-02-17T15:14:00Z,60.00,40.90
2026-02-17T15:31:00Z,60.00,40.90
2026-02-17T15:33:00Z,60.00,40.90
2026-02-17T15:34:00Z,60.00,40.90
2026-02-17T15:39:00Z,60.00,45.00
2026-02-17T15:40:00Z,60.00,45.00
2026-02-17T15:49:00Z,59.00,45.00
2026-02-17T15:50:00Z,59.40,45.00
2026-02-17T15:51:00Z,59.40,45.00
2026-02-17T15:57:00Z,59.00,45.00
2026-02-17T15:58:00Z,59.00,44.00
2026-02-17T16:00:00Z,59.00,44.00
2026-02-17T16:10:00Z,59.00,44.00
2026-02-17T16:12:00Z,59.00,44.00
2026-02-17T16:13:00Z,59.00,44.00
2026-02-17T16:20:00Z,58.00,44.00
2026-02-17T16:23:00Z,58.00,44.00
2026-02-17T16:39:00Z,58.00,44.00
2026-02-17T16:43:00Z,58.00,44.00
2026-02-17T16:48:00Z,58.00,44.00
2026-02-17T16:49:00Z,58.00,44.00
2026-02-17T16:50:00Z,59.04,44.00
2026-02-17T16:51:00Z,59.00,44.00
2026-02-17T16:52:00Z,57.05,45.00
2026-02-17T16:53:00Z,53.75,45.12
2026-02-17T16:54:00Z,56.82,45.00
2026-02-17T16:55:00Z,53.85,47.88
2026-02-17T16:56:00Z,53.20,46.98
2026-02-17T16:57:00Z,61.00,41.00
2026-02-17T16:58:00Z,62.71,40.00
2026-02-17T16:59:00Z,66.45,38.69
2026-02-17T17:00:00Z,67.17,34.88
2026-02-17T17:01:00Z,62.00,37.07
2026-02-17T17:02:00Z,58.13,42.71
2026-02-17T17:03:00Z,60.25,41.99
2026-02-17T17:04:00Z,58.05,42.70
2026-02-17T17:05:00Z,61.28,41.22
2026-02-17T17:06:00Z,65.00,37.00
2026-02-17T17:07:00Z,65.16,37.00
2026-02-17T17:08:00Z,64.08,35.17
2026-02-17T17:09:00Z,60.64,39.43
2026-02-17T17:10:00Z,60.70,42.13
2026-02-17T17:11:00Z,58.04,43.00
2026-02-17T17:12:00Z,54.71,43.39
2026-02-17T17:13:00Z,61.65,41.00
2026-02-17T17:14:00Z,64.00,41.00
2026-02-17T17:15:00Z,62.00,36.00
2026-02-17T17:16:00Z,63.72,35.59
2026-02-17T17:17:00Z,68.61,34.84
2026-02-17T17:18:00Z,75.50,26.50
2026-02-17T17:19:00Z,76.83,26.15
2026-02-17T17:20:00Z,75.30,24.03
2026-02-17T17:21:00Z,79.00,24.03
2026-02-17T17:22:00Z,77.95,22.45
2026-02-17T17:23:00Z,76.00,26.00
2026-02-17T17:24:00Z,80.91,20.00
2026-02-17T17:25:00Z,80.00,21.00
2026-02-17T17:26:00Z,80.13,21.34
2026-02-17T17:27:00Z,80.00,22.02
2026-02-17T17:28:00Z,80.44,22.00
2026-02-17T17:29:00Z,80.24,22.00
2026-02-17T17:30:00Z,81.25,20.17
2026-02-17T17:31:00Z,81.00,17.68
2026-02-17T17:32:00Z,83.43,17.70
2026-02-17T17:33:00Z,86.73,12.45
2026-02-17T17:34:00Z,86.67,13.10
2026-02-17T17:35:00Z,86.30,16.75
2026-02-17T17:36:00Z,88.64,14.21
2026-02-17T17:37:00Z,89.88,13.98
2026-02-17T17:38:00Z,85.90,16.00
2026-02-17T17:39:00Z,89.09,10.23
2026-02-17T17:40:00Z,86.18,12.23
2026-02-17T17:41:00Z,85.53,13.14
2026-02-17T17:42:00Z,87.48,11.53
2026-02-17T17:43:00Z,85.47,16.81
2026-02-17T17:44:00Z,83.06,17.20
2026-02-17T17:45:00Z,80.80,20.00
2026-02-17T17:46:00Z,78.26,22.12
2026-02-17T17:47:00Z,76.58,23.74
2026-02-17T17:48:00Z,81.00,19.05
2026-02-17T17:49:00Z,81.67,18.48
2026-02-17T17:50:00Z,85.58,14.43
2026-02-17T17:51:00Z,86.56,15.00
2026-02-17T17:52:00Z,83.90,14.00
2026-02-17T17:53:00Z,86.98,13.00
2026-02-17T17:54:00Z,87.04,9.28
2026-02-17T17:55:00Z,92.75,7.00
2026-02-17T17:56:00Z,93.69,9.00
2026-02-17T17:57:00Z,95.00,4.17
2026-02-17T17:58:00Z,94.47,6.00
2026-02-17T17:59:00Z,94.61,6.26
2026-02-17T18:00:00Z,95.27,4.05
2026-02-17T18:01:00Z,95.42,5.00
2026-02-17T18:02:00Z,96.98,3.18
2026-02-17T18:03:00Z,95.18,5.00
2026-02-17T18:04:00Z,98.62,1.55
2026-02-17T18:05:00Z,99.00,1.00
2026-02-17T18:06:00Z,99.00,1.00
2026-02-17T18:07:00Z,99.00,1.00
2026-02-17T18:08:00Z,99.00,1.00
2026-02-17T18:09:00Z,99.00,1.00
2026-02-17T18:10:00Z,99.00,1.00
2026-02-17T18:11:00Z,99.00,1.00
