# event_ticker=KXATPCHALLENGERMATCH-26MAR09SELBLA
# final_score=7-5 6-3
# score_resolution=5-7 3-6
# match_winner=Geoffrey Blancaneaux
# fav_player=Jelle Sels
# dog_player=Geoffrey Blancaneaux
# kalshi_date=2026-03-09
timestamp,Jelle Sels,Geoffrey Blancaneaux
2026-03-09T04:53:00Z,,93.00
2026-03-09T04:54:00Z,31.00,80.00
2026-03-09T05:08:00Z,31.00,79.00
2026-03-09T05:45:00Z,31.00,70.00
2026-03-09T07:20:00Z,40.00,70.00
2026-03-09T07:22:00Z,40.00,70.00
2026-03-09T11:05:00Z,40.00,69.00
2026-03-09T11:28:00Z,40.00,69.00
2026-03-09T12:31:00Z,40.00,68.00
2026-03-09T12:39:00Z,40.00,68.00
2026-03-09T12:54:00Z,40.00,67.00
2026-03-09T12:57:00Z,32.04,68.00
2026-03-09T12:59:00Z,32.04,68.00
2026-03-09T13:02:00Z,32.04,69.00
2026-03-09T13:32:00Z,32.00,69.00
2026-03-09T13:33:00Z,32.00,71.00
2026-03-09T13:53:00Z,32.00,71.00
2026-03-09T14:02:00Z,32.00,72.00
2026-03-09T14:05:00Z,32.00,72.00
2026-03-09T14:08:00Z,32.00,71.00
2026-03-09T14:14:00Z,32.00,72.00
2026-03-09T14:15:00Z,31.00,72.00
2026-03-09T14:18:00Z,31.00,72.00
2026-03-09T14:19:00Z,31.00,72.00
2026-03-09T14:20:00Z,31.00,72.00
2026-03-09T14:21:00Z,32.00,72.00
2026-03-09T14:24:00Z,32.00,71.00
2026-03-09T14:30:00Z,32.00,71.00
2026-03-09T14:31:00Z,32.00,71.00
2026-03-09T14:33:00Z,32.00,71.00
2026-03-09T14:36:00Z,32.00,71.65
2026-03-09T14:37:00Z,32.00,71.65
2026-03-09T14:40:00Z,32.00,71.67
2026-03-09T14:41:00Z,32.00,72.00
2026-03-09T14:42:00Z,32.00,72.00
2026-03-09T14:43:00Z,31.00,72.00
2026-03-09T14:44:00Z,31.00,72.23
2026-03-09T14:45:00Z,30.00,72.03
2026-03-09T14:46:00Z,30.63,72.00
2026-03-09T14:47:00Z,30.78,71.43
2026-03-09T14:48:00Z,27.00,74.35
2026-03-09T14:49:00Z,30.28,70.77
2026-03-09T14:50:00Z,28.12,71.06
2026-03-09T14:51:00Z,33.31,68.00
2026-03-09T14:52:00Z,37.40,66.00
2026-03-09T14:53:00Z,36.39,66.75
2026-03-09T14:54:00Z,49.21,56.53
2026-03-09T14:55:00Z,42.80,59.74
2026-03-09T14:56:00Z,38.53,60.00
2026-03-09T14:57:00Z,40.20,59.17
2026-03-09T14:58:00Z,42.09,59.61
2026-03-09T14:59:00Z,36.16,65.00
2026-03-09T15:00:00Z,34.63,68.00
2026-03-09T15:01:00Z,35.78,65.73
2026-03-09T15:02:00Z,39.11,63.00
2026-03-09T15:03:00Z,39.22,63.00
2026-03-09T15:04:00Z,39.80,62.00
2026-03-09T15:05:00Z,40.57,60.96
2026-03-09T15:06:00Z,34.17,63.43
2026-03-09T15:07:00Z,36.00,66.35
2026-03-09T15:08:00Z,35.26,68.00
2026-03-09T15:09:00Z,39.12,63.14
2026-03-09T15:10:00Z,37.82,63.99
2026-03-09T15:11:00Z,40.00,61.00
2026-03-09T15:12:00Z,39.66,61.25
2026-03-09T15:13:00Z,37.72,62.63
2026-03-09T15:14:00Z,36.29,65.75
2026-03-09T15:15:00Z,38.45,63.01
2026-03-09T15:16:00Z,36.83,64.57
2026-03-09T15:17:00Z,40.38,62.42
2026-03-09T15:18:00Z,40.79,62.00
2026-03-09T15:19:00Z,41.00,61.00
2026-03-09T15:20:00Z,42.90,62.53
2026-03-09T15:21:00Z,41.37,58.78
2026-03-09T15:22:00Z,38.97,63.91
2026-03-09T15:23:00Z,42.98,60.16
2026-03-09T15:24:00Z,47.71,50.72
2026-03-09T15:25:00Z,42.33,57.82
2026-03-09T15:26:00Z,40.76,62.36
2026-03-09T15:27:00Z,41.22,61.78
2026-03-09T15:28:00Z,38.29,61.96
2026-03-09T15:29:00Z,43.19,62.19
2026-03-09T15:30:00Z,42.99,58.12
2026-03-09T15:31:00Z,43.71,60.00
2026-03-09T15:32:00Z,38.01,62.15
2026-03-09T15:33:00Z,37.00,64.94
2026-03-09T15:34:00Z,37.58,64.40
2026-03-09T15:35:00Z,31.35,66.72
2026-03-09T15:36:00Z,24.76,77.40
2026-03-09T15:37:00Z,17.69,78.77
2026-03-09T15:38:00Z,17.50,84.00
2026-03-09T15:39:00Z,17.47,82.05
