# event_ticker=KXATPCHALLENGERMATCH-26MAY12TYAYAM
# final_score=6-2 7-5
# match_winner=Kriish Tyagi
# fav_player=Kriish Tyagi
# dog_player=Taiyo Yamanaka
# kalshi_date=2026-05-12
timestamp,Kriish Tyagi,Taiyo Yamanaka
2026-05-12T03:46:00Z,,67.00
2026-05-12T04:35:00Z,,67.00
2026-05-12T05:30:00Z,,67.00
2026-05-12T05:40:00Z,,67.00
2026-05-12T06:11:00Z,,67.00
2026-05-12T06:17:00Z,,67.48
2026-05-12T06:22:00Z,,68.00
2026-05-12T06:37:00Z,,68.00
2026-05-12T06:44:00Z,,68.83
2026-05-12T07:00:00Z,,68.00
2026-05-12T07:22:00Z,,68.00
2026-05-12T07:26:00Z,,68.00
2026-05-12T07:56:00Z,,68.00
2026-05-12T09:36:00Z,,66.00
2026-05-12T09:39:00Z,,52.00
2026-05-12T09:42:00Z,,51.00
2026-05-12T09:43:00Z,,48.00
2026-05-12T09:44:00Z,50.01,50.00
2026-05-12T09:45:00Z,52.00,50.00
2026-05-12T09:48:00Z,54.00,47.16
2026-05-12T09:49:00Z,57.95,47.16
2026-05-12T09:51:00Z,56.00,47.16
2026-05-12T09:52:00Z,55.00,47.00
2026-05-12T09:53:00Z,57.00,47.00
2026-05-12T09:54:00Z,57.00,41.00
2026-05-12T09:55:00Z,62.57,36.83
2026-05-12T09:56:00Z,69.27,31.00
2026-05-12T09:57:00Z,76.38,24.88
2026-05-12T09:58:00Z,78.31,24.88
2026-05-12T10:00:00Z,74.00,29.00
2026-05-12T10:02:00Z,79.46,18.67
2026-05-12T10:03:00Z,82.51,18.91
2026-05-12T10:04:00Z,82.00,18.91
2026-05-12T10:05:00Z,83.68,18.19
2026-05-12T10:06:00Z,83.68,18.00
2026-05-12T10:07:00Z,83.68,18.00
2026-05-12T10:08:00Z,77.39,20.07
2026-05-12T10:09:00Z,75.00,20.07
2026-05-12T10:10:00Z,73.29,27.97
2026-05-12T10:11:00Z,66.21,33.48
2026-05-12T10:12:00Z,66.03,34.00
2026-05-12T10:13:00Z,72.37,28.00
2026-05-12T10:14:00Z,74.65,25.00
2026-05-12T10:15:00Z,77.09,25.00
2026-05-12T10:16:00Z,77.09,18.00
2026-05-12T10:17:00Z,80.48,19.30
2026-05-12T10:18:00Z,78.00,25.00
2026-05-12T10:19:00Z,79.57,20.37
2026-05-12T10:20:00Z,81.00,20.37
2026-05-12T10:21:00Z,81.00,26.00
2026-05-12T10:22:00Z,72.00,27.26
2026-05-12T10:23:00Z,71.00,27.26
2026-05-12T10:24:00Z,67.29,27.26
2026-05-12T10:25:00Z,67.29,27.00
2026-05-12T10:26:00Z,78.11,27.00
2026-05-12T10:27:00Z,76.23,24.71
2026-05-12T10:29:00Z,76.23,26.93
2026-05-12T10:30:00Z,69.38,30.35
2026-05-12T10:31:00Z,68.97,30.35
2026-05-12T10:32:00Z,68.97,31.77
2026-05-12T10:34:00Z,75.00,22.05
2026-05-12T10:35:00Z,80.00,24.00
2026-05-12T10:36:00Z,80.00,24.00
2026-05-12T10:37:00Z,76.00,23.95
2026-05-12T10:38:00Z,76.00,30.99
2026-05-12T10:39:00Z,72.00,28.39
2026-05-12T10:40:00Z,69.23,30.00
2026-05-12T10:41:00Z,67.92,31.30
2026-05-12T10:42:00Z,61.05,39.14
2026-05-12T10:43:00Z,63.93,41.00
2026-05-12T10:44:00Z,60.00,40.05
2026-05-12T10:45:00Z,60.31,42.99
2026-05-12T10:46:00Z,66.95,34.70
2026-05-12T10:47:00Z,74.71,26.71
2026-05-12T10:48:00Z,72.49,26.90
2026-05-12T10:49:00Z,70.00,30.76
2026-05-12T10:50:00Z,69.25,30.24
2026-05-12T10:51:00Z,64.94,30.24
2026-05-12T10:52:00Z,66.14,35.00
2026-05-12T10:53:00Z,69.67,30.00
2026-05-12T10:54:00Z,76.66,18.35
2026-05-12T10:55:00Z,87.68,10.49
2026-05-12T10:56:00Z,95.00,6.04
2026-05-12T10:57:00Z,95.62,4.44
2026-05-12T10:58:00Z,95.00,4.80
2026-05-12T10:59:00Z,99.00,1.09
2026-05-12T11:00:00Z,99.00,1.09
2026-05-12T11:01:00Z,99.00,1.09
2026-05-12T11:02:00Z,99.00,1.09
