# event_ticker=KXATPCHALLENGERMATCH-26MAY12LAJOCO
# final_score=6-4 6-3
# score_resolution=4-6 3-6
# match_winner=Dusan Lajovic
# fav_player=Christopher O'Connell
# dog_player=Dusan Lajovic
# kalshi_date=2026-05-12
timestamp,Dusan Lajovic,Christopher O'Connell
2026-05-12T00:59:00Z,,43.12
2026-05-12T02:27:00Z,,43.00
2026-05-12T03:04:00Z,59.36,43.00
2026-05-12T03:05:00Z,59.05,43.00
2026-05-12T04:37:00Z,59.05,42.00
2026-05-12T05:13:00Z,60.00,42.00
2026-05-12T05:18:00Z,60.00,42.00
2026-05-12T05:29:00Z,60.00,42.00
2026-05-12T05:30:00Z,60.00,42.00
2026-05-12T06:43:00Z,60.00,42.00
2026-05-12T08:01:00Z,60.00,42.00
2026-05-12T09:28:00Z,60.00,41.00
2026-05-12T10:10:00Z,60.00,41.00
2026-05-12T10:14:00Z,60.00,41.00
2026-05-12T10:23:00Z,60.00,39.00
2026-05-12T10:45:00Z,60.00,39.00
2026-05-12T11:10:00Z,61.04,39.00
2026-05-12T11:18:00Z,62.00,39.00
2026-05-12T11:59:00Z,62.00,41.00
2026-05-12T12:00:00Z,62.00,41.00
2026-05-12T12:03:00Z,62.00,41.00
2026-05-12T12:19:00Z,62.00,41.00
2026-05-12T12:25:00Z,62.00,41.00
2026-05-12T12:33:00Z,61.00,41.00
2026-05-12T12:34:00Z,61.06,41.62
2026-05-12T12:38:00Z,61.06,38.72
2026-05-12T12:39:00Z,61.00,38.72
2026-05-12T12:40:00Z,60.00,43.20
2026-05-12T12:42:00Z,58.00,43.20
2026-05-12T12:43:00Z,58.00,43.20
2026-05-12T12:44:00Z,62.00,39.00
2026-05-12T12:45:00Z,64.00,39.00
2026-05-12T12:48:00Z,72.00,39.00
2026-05-12T12:49:00Z,75.98,28.00
2026-05-12T12:50:00Z,76.00,25.00
2026-05-12T12:52:00Z,79.50,21.49
2026-05-12T12:56:00Z,79.00,21.49
2026-05-12T12:57:00Z,79.00,23.00
2026-05-12T12:58:00Z,79.00,23.00
2026-05-12T12:59:00Z,78.00,23.00
2026-05-12T13:02:00Z,78.97,23.00
2026-05-12T13:04:00Z,79.00,23.00
2026-05-12T13:05:00Z,79.00,22.00
2026-05-12T13:06:00Z,81.00,22.00
2026-05-12T13:07:00Z,79.00,22.00
2026-05-12T13:08:00Z,77.77,23.00
2026-05-12T13:09:00Z,73.10,26.89
2026-05-12T13:10:00Z,69.17,38.44
2026-05-12T13:11:00Z,74.22,25.00
2026-05-12T13:12:00Z,80.00,23.00
2026-05-12T13:13:00Z,81.00,23.00
2026-05-12T13:15:00Z,79.00,23.00
2026-05-12T13:17:00Z,72.91,24.16
2026-05-12T13:18:00Z,73.06,34.86
2026-05-12T13:19:00Z,78.88,21.15
2026-05-12T13:20:00Z,81.50,19.00
2026-05-12T13:21:00Z,82.00,19.00
2026-05-12T13:22:00Z,82.00,19.00
2026-05-12T13:24:00Z,82.08,19.00
2026-05-12T13:25:00Z,83.00,19.81
2026-05-12T13:26:00Z,82.00,21.00
2026-05-12T13:27:00Z,79.00,21.00
2026-05-12T13:28:00Z,81.00,21.00
2026-05-12T13:29:00Z,82.00,21.00
2026-05-12T13:30:00Z,80.00,21.00
2026-05-12T13:31:00Z,79.00,21.93
2026-05-12T13:32:00Z,79.00,23.00
2026-05-12T13:33:00Z,79.00,22.00
2026-05-12T13:34:00Z,80.00,22.00
2026-05-12T13:35:00Z,80.00,22.00
2026-05-12T13:36:00Z,80.00,22.00
2026-05-12T13:37:00Z,80.00,23.00
2026-05-12T13:38:00Z,79.25,21.00
2026-05-12T13:39:00Z,79.25,21.74
2026-05-12T13:40:00Z,87.14,12.56
2026-05-12T13:41:00Z,88.00,14.08
2026-05-12T13:42:00Z,90.51,7.88
2026-05-12T13:43:00Z,93.00,7.82
2026-05-12T13:44:00Z,94.63,5.34
2026-05-12T13:45:00Z,96.00,4.00
2026-05-12T13:46:00Z,96.00,5.00
2026-05-12T13:47:00Z,96.00,3.98
2026-05-12T13:48:00Z,96.70,4.00
2026-05-12T13:49:00Z,96.00,5.00
2026-05-12T13:50:00Z,96.00,5.00
2026-05-12T13:51:00Z,94.77,2.76
2026-05-12T13:52:00Z,96.05,4.00
2026-05-12T13:53:00Z,96.21,3.12
2026-05-12T13:54:00Z,97.77,3.12
2026-05-12T13:55:00Z,99.00,1.40
2026-05-12T13:58:00Z,99.00,1.40
2026-05-12T14:00:00Z,99.00,1.40
