# event_ticker=KXATPCHALLENGERMATCH-26MAY14PIRSIM
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Zsombor Piros
# fav_player=Josip Simundza
# dog_player=Zsombor Piros
# kalshi_date=2026-05-14
timestamp,Zsombor Piros,Josip Simundza
2026-05-13T23:53:00Z,,7.00
2026-05-14T00:13:00Z,95.00,7.00
2026-05-14T01:54:00Z,93.00,7.00
2026-05-14T02:00:00Z,93.00,7.00
2026-05-14T02:44:00Z,93.00,7.00
2026-05-14T03:11:00Z,95.00,7.00
2026-05-14T03:18:00Z,95.00,7.00
2026-05-14T03:31:00Z,95.00,7.00
2026-05-14T03:42:00Z,95.00,7.00
2026-05-14T04:10:00Z,95.00,7.00
2026-05-14T04:11:00Z,95.00,7.00
2026-05-14T04:13:00Z,95.00,7.00
2026-05-14T04:39:00Z,95.00,7.00
2026-05-14T05:21:00Z,95.00,7.00
2026-05-14T05:45:00Z,95.00,7.00
2026-05-14T09:52:00Z,95.00,7.00
2026-05-14T10:01:00Z,95.00,7.00
2026-05-14T10:05:00Z,95.00,7.00
2026-05-14T10:33:00Z,95.00,7.00
2026-05-14T10:37:00Z,95.00,7.00
2026-05-14T10:43:00Z,95.00,7.00
2026-05-14T10:53:00Z,95.00,7.00
2026-05-14T10:55:00Z,95.00,7.00
2026-05-14T10:58:00Z,95.00,5.00
2026-05-14T11:00:00Z,95.00,6.00
2026-05-14T11:01:00Z,95.00,6.00
2026-05-14T11:02:00Z,95.00,6.22
2026-05-14T11:03:00Z,95.00,5.97
2026-05-14T11:04:00Z,96.00,4.00
2026-05-14T11:05:00Z,96.00,4.00
2026-05-14T11:06:00Z,96.00,4.00
2026-05-14T11:07:00Z,97.00,3.00
2026-05-14T11:08:00Z,97.00,3.00
2026-05-14T11:09:00Z,97.00,4.00
2026-05-14T11:10:00Z,97.00,4.00
2026-05-14T11:11:00Z,96.00,4.00
2026-05-14T11:14:00Z,96.00,4.35
2026-05-14T11:15:00Z,96.00,5.00
2026-05-14T11:16:00Z,96.00,6.00
2026-05-14T11:17:00Z,96.00,6.00
2026-05-14T11:19:00Z,96.00,5.00
2026-05-14T11:21:00Z,96.00,5.00
2026-05-14T11:22:00Z,96.00,5.00
2026-05-14T11:23:00Z,96.00,5.00
2026-05-14T11:25:00Z,95.00,5.00
2026-05-14T11:26:00Z,95.00,6.00
2026-05-14T11:27:00Z,93.74,6.38
2026-05-14T11:28:00Z,93.00,8.07
2026-05-14T11:29:00Z,93.00,9.12
2026-05-14T11:30:00Z,93.00,8.70
2026-05-14T11:31:00Z,96.00,5.00
2026-05-14T11:33:00Z,96.00,6.00
2026-05-14T11:34:00Z,96.00,4.89
2026-05-14T11:35:00Z,95.00,6.00
2026-05-14T11:36:00Z,95.00,6.00
2026-05-14T11:37:00Z,96.00,6.00
2026-05-14T11:38:00Z,96.00,3.00
2026-05-14T11:40:00Z,96.00,4.00
2026-05-14T11:42:00Z,98.00,2.00
2026-05-14T11:43:00Z,99.00,2.00
2026-05-14T11:45:00Z,99.00,2.00
2026-05-14T11:46:00Z,98.00,3.00
2026-05-14T11:48:00Z,98.00,3.00
2026-05-14T11:49:00Z,99.00,1.00
2026-05-14T11:50:00Z,99.00,1.00
2026-05-14T11:52:00Z,99.00,2.00
2026-05-14T11:53:00Z,98.00,2.05
2026-05-14T11:54:00Z,98.00,2.40
2026-05-14T11:55:00Z,98.00,2.06
2026-05-14T11:58:00Z,98.00,1.10
2026-05-14T11:59:00Z,99.00,2.00
2026-05-14T12:00:00Z,99.00,2.00
2026-05-14T12:01:00Z,99.00,2.00
2026-05-14T12:03:00Z,99.00,2.00
2026-05-14T12:04:00Z,99.00,1.00
2026-05-14T12:05:00Z,99.00,1.00
2026-05-14T12:06:00Z,98.76,1.40
2026-05-14T12:07:00Z,99.00,3.00
2026-05-14T12:08:00Z,99.00,1.00
2026-05-14T12:09:00Z,99.00,1.00
2026-05-14T12:10:00Z,98.70,1.00
