# event_ticker=KXATPCHALLENGERMATCH-26MAY26BRUGIU
# final_score=7-6(10) 7-6(4)
# score_resolution=7-6 7-6
# match_winner=Mika Brunold
# fav_player=Mika Brunold
# dog_player=Massimo Giunta
# kalshi_date=2026-05-26
timestamp,Mika Brunold,Massimo Giunta
2026-05-26T07:31:00Z,67.00,
2026-05-26T07:55:00Z,68.00,
2026-05-26T10:46:00Z,66.49,
2026-05-26T11:31:00Z,68.00,
2026-05-26T12:29:00Z,66.00,
2026-05-26T12:41:00Z,66.00,35.00
2026-05-26T12:48:00Z,65.26,35.00
2026-05-26T13:19:00Z,67.00,35.00
2026-05-26T13:31:00Z,67.00,35.00
2026-05-26T13:39:00Z,67.01,35.00
2026-05-26T13:43:00Z,68.00,35.00
2026-05-26T14:48:00Z,68.00,35.00
2026-05-26T14:50:00Z,68.00,31.00
2026-05-26T14:57:00Z,67.00,34.00
2026-05-26T14:58:00Z,66.00,34.00
2026-05-26T14:59:00Z,63.03,35.33
2026-05-26T15:00:00Z,63.00,38.92
2026-05-26T15:01:00Z,60.79,39.11
2026-05-26T15:02:00Z,60.73,41.00
2026-05-26T15:03:00Z,59.48,40.64
2026-05-26T15:04:00Z,61.33,40.64
2026-05-26T15:05:00Z,64.00,38.00
2026-05-26T15:06:00Z,63.63,36.00
2026-05-26T15:07:00Z,64.00,36.00
2026-05-26T15:08:00Z,61.45,38.00
2026-05-26T15:11:00Z,62.00,38.50
2026-05-26T15:12:00Z,63.00,37.15
2026-05-26T15:13:00Z,63.00,37.00
2026-05-26T15:14:00Z,64.00,37.00
2026-05-26T15:15:00Z,64.00,37.34
2026-05-26T15:16:00Z,60.00,39.78
2026-05-26T15:17:00Z,60.00,42.00
2026-05-26T15:19:00Z,57.92,43.47
2026-05-26T15:20:00Z,57.92,40.15
2026-05-26T15:21:00Z,61.00,39.58
2026-05-26T15:22:00Z,61.01,39.58
2026-05-26T15:23:00Z,60.00,40.00
2026-05-26T15:24:00Z,58.50,43.37
2026-05-26T15:25:00Z,61.05,39.02
2026-05-26T15:26:00Z,57.00,42.00
2026-05-26T15:27:00Z,57.00,42.00
2026-05-26T15:28:00Z,58.50,44.96
2026-05-26T15:29:00Z,61.00,44.96
2026-05-26T15:30:00Z,62.75,38.00
2026-05-26T15:31:00Z,64.96,35.01
2026-05-26T15:32:00Z,69.00,35.00
2026-05-26T15:33:00Z,70.45,29.92
2026-05-26T15:34:00Z,73.46,27.96
2026-05-26T15:35:00Z,68.91,30.47
2026-05-26T15:36:00Z,63.10,37.70
2026-05-26T15:37:00Z,63.27,37.10
2026-05-26T15:38:00Z,58.50,40.09
2026-05-26T15:39:00Z,59.00,40.09
