# event_ticker=KXATPMATCH-26MAY16TSIMPE
# final_score=6-4 7-6(8)
# score_resolution=4-6 6-7
# match_winner=Stefanos Tsitsipas
# fav_player=Giovanni Mpetshi Perricard
# dog_player=Stefanos Tsitsipas
# kalshi_date=2026-05-16
timestamp,Stefanos Tsitsipas,Giovanni Mpetshi Perricard
2026-05-18T01:22:00Z,71.00,
2026-05-18T01:44:00Z,71.00,31.00
2026-05-18T01:47:00Z,71.00,31.00
2026-05-18T02:01:00Z,71.00,30.00
2026-05-18T02:15:00Z,71.00,30.00
2026-05-18T02:18:00Z,71.00,30.00
2026-05-18T02:21:00Z,71.00,30.00
2026-05-18T02:22:00Z,71.00,30.00
2026-05-18T02:25:00Z,71.00,30.00
2026-05-18T02:28:00Z,71.00,30.00
2026-05-18T02:33:00Z,71.00,30.00
2026-05-18T02:44:00Z,71.00,30.00
2026-05-18T02:48:00Z,71.00,30.00
2026-05-18T02:53:00Z,71.00,30.00
2026-05-18T02:55:00Z,71.00,30.00
2026-05-18T02:59:00Z,71.00,30.00
2026-05-18T03:00:00Z,71.00,30.00
2026-05-18T03:04:00Z,71.00,30.00
2026-05-18T03:05:00Z,71.00,30.00
2026-05-18T03:08:00Z,71.00,30.00
2026-05-18T03:10:00Z,71.00,30.00
2026-05-18T03:12:00Z,71.00,30.00
2026-05-18T03:13:00Z,71.00,30.00
2026-05-18T03:14:00Z,71.00,30.00
2026-05-18T03:29:00Z,71.00,30.00
2026-05-18T03:31:00Z,71.00,30.00
2026-05-18T03:35:00Z,71.00,30.00
2026-05-18T03:37:00Z,71.00,30.00
2026-05-18T03:38:00Z,71.00,30.00
2026-05-18T03:39:00Z,71.00,30.00
2026-05-18T03:44:00Z,71.00,30.00
2026-05-18T03:45:00Z,71.00,30.00
2026-05-18T03:48:00Z,71.00,30.00
2026-05-18T03:49:00Z,71.00,30.00
2026-05-18T03:50:00Z,71.00,30.00
2026-05-18T03:53:00Z,71.00,30.00
2026-05-18T03:54:00Z,71.00,30.00
2026-05-18T03:55:00Z,71.00,30.00
2026-05-18T03:56:00Z,71.00,30.00
2026-05-18T03:58:00Z,71.00,30.00
2026-05-18T03:59:00Z,71.00,30.00
2026-05-18T04:06:00Z,71.00,30.00
2026-05-18T04:07:00Z,71.00,30.00
2026-05-18T04:11:00Z,71.00,30.00
2026-05-18T04:14:00Z,71.00,30.00
2026-05-18T04:16:00Z,71.00,30.00
2026-05-18T04:20:00Z,71.00,30.00
2026-05-18T04:21:00Z,71.00,30.00
2026-05-18T04:27:00Z,71.00,30.00
2026-05-18T04:29:00Z,71.00,30.00
2026-05-18T04:30:00Z,71.00,30.00
2026-05-18T04:31:00Z,71.00,30.00
2026-05-18T04:33:00Z,71.00,30.00
2026-05-18T04:46:00Z,71.00,30.00
2026-05-18T04:47:00Z,71.00,30.00
