# event_ticker=KXATPCHALLENGERMATCH-26MAY02NEUSAF
# final_score=6-3 3-6 6-2
# match_winner=Roman Safiullin
# fav_player=Roman Safiullin
# dog_player=Lukas Neumayer
# kalshi_date=2026-05-02
timestamp,Lukas Neumayer,Roman Safiullin
2026-05-01T22:39:00Z,,57.00
2026-05-01T23:04:00Z,,57.00
2026-05-01T23:14:00Z,,57.00
2026-05-01T23:27:00Z,,57.00
2026-05-01T23:28:00Z,,57.00
2026-05-02T01:16:00Z,44.00,57.00
2026-05-02T01:23:00Z,44.00,58.00
2026-05-02T01:28:00Z,44.00,58.00
2026-05-02T01:55:00Z,44.00,58.00
2026-05-02T02:03:00Z,42.00,58.00
2026-05-02T02:28:00Z,42.00,58.00
2026-05-02T02:38:00Z,44.00,57.00
2026-05-02T02:49:00Z,44.00,57.00
2026-05-02T02:50:00Z,44.00,57.00
2026-05-02T02:58:00Z,44.00,57.00
2026-05-02T03:06:00Z,44.00,57.00
2026-05-02T03:21:00Z,44.00,57.00
2026-05-02T03:35:00Z,44.00,57.00
2026-05-02T03:39:00Z,44.00,57.00
2026-05-02T04:01:00Z,44.00,56.00
2026-05-02T04:04:00Z,44.00,56.00
2026-05-02T04:08:00Z,44.00,56.00
2026-05-02T04:16:00Z,44.27,56.00
2026-05-02T04:19:00Z,44.27,56.00
2026-05-02T04:29:00Z,44.27,56.00
2026-05-02T04:34:00Z,44.27,56.00
2026-05-02T04:40:00Z,45.00,56.00
2026-05-02T05:08:00Z,45.00,56.00
2026-05-02T05:13:00Z,45.00,56.00
2026-05-02T05:15:00Z,45.00,56.00
2026-05-02T05:18:00Z,45.00,56.00
2026-05-02T05:20:00Z,45.00,56.00
2026-05-02T05:22:00Z,45.00,56.00
2026-05-02T05:24:00Z,45.00,56.00
2026-05-02T05:26:00Z,45.00,56.00
2026-05-02T05:27:00Z,45.00,56.00
2026-05-02T05:43:00Z,45.00,56.00
2026-05-02T05:44:00Z,45.00,56.00
2026-05-02T05:46:00Z,45.00,56.00
2026-05-02T05:53:00Z,45.00,56.00
2026-05-02T05:55:00Z,45.00,56.00
2026-05-02T05:57:00Z,45.00,56.00
2026-05-02T05:58:00Z,45.00,56.00
2026-05-02T06:00:00Z,45.00,56.00
2026-05-02T06:19:00Z,45.00,56.00
2026-05-02T06:25:00Z,45.00,56.00
