# event_ticker=KXATPCHALLENGERMATCH-26APR30SEYFAT
# final_score=5-7 7-5 6-4
# match_winner=Nerman Fatic
# fav_player=Nerman Fatic
# dog_player=Thiago Seyboth Wild
# kalshi_date=2026-04-30
timestamp,Thiago Seyboth Wild,Nerman Fatic
2026-04-30T00:27:00Z,56.00,
2026-04-30T00:57:00Z,56.00,
2026-04-30T02:17:00Z,55.00,
2026-04-30T02:44:00Z,56.00,
2026-04-30T02:49:00Z,56.00,
2026-04-30T03:16:00Z,56.00,
2026-04-30T04:56:00Z,57.00,
2026-04-30T05:15:00Z,57.00,45.00
2026-04-30T05:34:00Z,57.00,45.00
2026-04-30T06:03:00Z,56.65,45.00
2026-04-30T06:06:00Z,57.00,45.00
2026-04-30T09:05:00Z,57.00,42.00
2026-04-30T09:14:00Z,58.00,42.00
2026-04-30T09:15:00Z,58.00,42.00
2026-04-30T09:16:00Z,58.00,42.00
2026-04-30T09:55:00Z,58.00,42.00
2026-04-30T10:24:00Z,58.70,42.00
2026-04-30T10:33:00Z,59.00,42.00
2026-04-30T10:39:00Z,59.00,42.00
2026-04-30T10:43:00Z,59.00,42.00
2026-04-30T10:49:00Z,59.00,42.00
2026-04-30T10:54:00Z,59.00,42.00
2026-04-30T10:59:00Z,59.00,42.00
2026-04-30T11:15:00Z,59.00,42.00
2026-04-30T11:17:00Z,59.00,42.00
2026-04-30T11:25:00Z,59.00,42.00
2026-04-30T11:39:00Z,59.00,42.00
2026-04-30T11:40:00Z,59.00,42.00
2026-04-30T11:43:00Z,62.41,42.00
2026-04-30T11:44:00Z,66.94,36.00
2026-04-30T11:45:00Z,61.00,38.77
2026-04-30T11:47:00Z,56.02,39.00
2026-04-30T11:48:00Z,56.45,39.00
2026-04-30T11:49:00Z,58.00,44.19
2026-04-30T11:50:00Z,54.00,44.19
2026-04-30T11:51:00Z,52.94,46.76
2026-04-30T11:52:00Z,45.98,53.80
2026-04-30T11:53:00Z,41.09,53.80
2026-04-30T11:54:00Z,52.02,53.80
2026-04-30T11:55:00Z,52.02,53.00
2026-04-30T11:56:00Z,51.00,53.00
2026-04-30T11:57:00Z,39.00,56.54
2026-04-30T11:58:00Z,37.28,63.97
2026-04-30T11:59:00Z,40.00,59.74
2026-04-30T12:00:00Z,48.43,53.00
2026-04-30T12:01:00Z,43.59,57.00
2026-04-30T12:02:00Z,45.34,57.00
2026-04-30T12:05:00Z,52.00,53.94
2026-04-30T12:06:00Z,55.00,53.94
2026-04-30T12:07:00Z,56.00,53.94
2026-04-30T12:08:00Z,49.11,53.94
2026-04-30T12:09:00Z,52.00,50.97
2026-04-30T12:11:00Z,52.00,47.50
2026-04-30T12:12:00Z,54.00,47.50
2026-04-30T12:13:00Z,52.07,47.50
2026-04-30T12:14:00Z,52.00,47.50
2026-04-30T12:15:00Z,46.00,47.50
2026-04-30T12:16:00Z,47.38,53.00
2026-04-30T12:17:00Z,47.73,53.00
2026-04-30T12:18:00Z,51.00,49.00
2026-04-30T12:19:00Z,52.00,49.00
2026-04-30T12:20:00Z,53.08,49.00
2026-04-30T12:21:00Z,56.42,49.00
2026-04-30T12:22:00Z,51.00,49.00
