# event_ticker=KXATPCHALLENGERMATCH-26MAR10PARPOU
# final_score=6-4 7-6(4)
# score_resolution=6-4 7-6
# match_winner=Lucas Poullain
# fav_player=Lucas Poullain
# dog_player=Tom Paris
# kalshi_date=2026-03-10
timestamp,Lucas Poullain,Tom Paris
2026-03-10T09:56:00Z,,45.00
2026-03-10T10:24:00Z,,50.00
2026-03-10T12:02:00Z,,48.00
2026-03-10T12:07:00Z,,57.00
2026-03-10T13:26:00Z,,50.00
2026-03-10T13:46:00Z,,50.00
2026-03-10T14:09:00Z,53.00,50.00
2026-03-10T14:57:00Z,53.00,50.00
2026-03-10T15:30:00Z,51.00,50.00
2026-03-10T15:47:00Z,51.00,50.00
2026-03-10T15:55:00Z,51.00,50.00
2026-03-10T16:21:00Z,51.00,49.00
2026-03-10T16:22:00Z,51.00,49.00
2026-03-10T16:43:00Z,50.00,49.00
2026-03-10T17:00:00Z,52.83,47.63
2026-03-10T17:05:00Z,54.00,47.63
2026-03-10T18:19:00Z,54.00,48.50
2026-03-10T18:25:00Z,54.00,48.50
2026-03-10T18:46:00Z,54.00,48.50
2026-03-10T18:58:00Z,54.00,48.00
2026-03-10T19:10:00Z,54.00,48.00
2026-03-10T19:18:00Z,54.00,48.00
2026-03-10T19:21:00Z,54.00,48.00
2026-03-10T19:40:00Z,54.00,48.00
2026-03-10T19:42:00Z,54.00,48.00
2026-03-10T19:47:00Z,54.00,47.28
2026-03-10T20:05:00Z,53.82,47.28
2026-03-10T20:10:00Z,54.00,47.28
2026-03-10T20:17:00Z,54.00,47.28
2026-03-10T20:19:00Z,53.00,47.28
2026-03-10T20:25:00Z,54.00,47.28
2026-03-10T20:30:00Z,54.00,48.99
2026-03-10T20:40:00Z,53.00,48.99
2026-03-10T20:47:00Z,54.00,48.99
2026-03-10T21:06:00Z,54.00,48.99
2026-03-10T21:11:00Z,53.00,48.99
2026-03-10T21:12:00Z,54.00,48.99
2026-03-10T21:27:00Z,53.00,48.99
2026-03-10T21:29:00Z,53.00,47.00
2026-03-10T21:37:00Z,54.00,47.00
2026-03-10T21:43:00Z,54.00,48.97
2026-03-10T21:44:00Z,50.48,50.00
