# event_ticker=KXATPCHALLENGERMATCH-26MAR28NOGUCH
# final_score=5-7 7-6(5) 6-3
# score_resolution=7-5 6-7 3-6
# match_winner=Rio Noguchi
# fav_player=Yasutaka Uchiyama
# dog_player=Rio Noguchi
# kalshi_date=2026-03-28
timestamp,Yasutaka Uchiyama,Rio Noguchi
2026-03-28T19:26:00Z,60.00,
2026-03-28T20:01:00Z,60.00,
2026-03-28T20:09:00Z,60.00,
2026-03-28T20:22:00Z,60.00,42.00
2026-03-28T20:23:00Z,60.00,42.00
2026-03-28T20:39:00Z,60.00,40.00
2026-03-28T21:28:00Z,60.00,42.00
2026-03-28T21:37:00Z,60.00,42.00
2026-03-28T21:51:00Z,60.00,42.00
2026-03-28T22:51:00Z,60.00,42.00
2026-03-28T23:22:00Z,59.00,42.00
2026-03-28T23:34:00Z,59.00,42.00
2026-03-28T23:35:00Z,59.00,42.00
2026-03-28T23:47:00Z,59.00,42.00
2026-03-29T00:11:00Z,59.00,43.00
2026-03-29T00:45:00Z,59.00,43.00
2026-03-29T00:47:00Z,59.00,43.00
2026-03-29T00:48:00Z,59.00,43.00
2026-03-29T00:50:00Z,59.00,43.00
2026-03-29T00:52:00Z,59.00,43.00
2026-03-29T01:03:00Z,59.00,43.00
2026-03-29T01:17:00Z,59.00,43.00
2026-03-29T01:20:00Z,59.00,43.00
2026-03-29T01:26:00Z,59.00,43.00
2026-03-29T01:40:00Z,59.00,43.00
2026-03-29T01:50:00Z,57.00,43.00
2026-03-29T01:53:00Z,56.00,43.00
2026-03-29T01:57:00Z,56.00,45.00
2026-03-29T01:59:00Z,55.00,45.00
2026-03-29T02:01:00Z,55.00,45.28
2026-03-29T02:02:00Z,55.00,46.00
2026-03-29T02:03:00Z,55.00,46.00
2026-03-29T02:04:00Z,55.00,46.00
2026-03-29T02:05:00Z,55.00,46.00
2026-03-29T02:06:00Z,55.00,46.00
2026-03-29T02:08:00Z,54.00,47.00
2026-03-29T02:10:00Z,54.00,47.00
2026-03-29T02:12:00Z,54.00,47.00
2026-03-29T02:14:00Z,54.00,47.00
2026-03-29T02:18:00Z,54.00,47.00
2026-03-29T02:19:00Z,54.00,47.00
2026-03-29T02:20:00Z,54.00,47.00
2026-03-29T02:24:00Z,54.00,47.00
2026-03-29T02:26:00Z,54.00,47.00
