# event_ticker=KXATPMATCH-26FEB22LAJHAN
# final_score=6-0 6-3
# score_resolution=0-6 3-6
# match_winner=Yannick Hanfmann
# fav_player=Dusan Lajovic
# dog_player=Yannick Hanfmann
# kalshi_date=2026-02-22
timestamp,Dusan Lajovic,Yannick Hanfmann
2026-02-23T04:24:00Z,,66.00
2026-02-23T04:35:00Z,36.00,66.00
2026-02-23T04:45:00Z,32.00,73.00
2026-02-23T04:49:00Z,31.75,73.84
2026-02-23T05:01:00Z,32.00,72.00
2026-02-23T05:17:00Z,32.00,72.00
2026-02-23T05:21:00Z,32.00,72.00
2026-02-23T05:24:00Z,32.00,72.00
2026-02-23T05:27:00Z,36.00,72.00
2026-02-23T05:36:00Z,36.00,72.00
2026-02-23T05:37:00Z,32.00,72.00
2026-02-23T05:56:00Z,36.00,72.00
2026-02-23T06:06:00Z,36.00,72.00
2026-02-23T06:09:00Z,32.00,72.00
2026-02-23T06:10:00Z,32.00,71.00
2026-02-23T06:25:00Z,36.00,71.00
2026-02-23T06:55:00Z,32.00,72.00
2026-02-23T07:54:00Z,33.00,72.00
2026-02-23T08:04:00Z,36.00,72.00
2026-02-23T08:14:00Z,36.00,70.75
2026-02-23T08:17:00Z,36.00,64.00
2026-02-23T08:28:00Z,37.00,64.00
2026-02-23T09:04:00Z,37.00,64.00
2026-02-23T09:19:00Z,37.00,64.00
2026-02-23T09:46:00Z,37.00,64.00
2026-02-23T10:24:00Z,37.00,64.00
2026-02-23T10:27:00Z,37.00,64.00
2026-02-23T10:40:00Z,37.00,64.00
2026-02-23T10:49:00Z,37.00,63.00
2026-02-23T10:52:00Z,37.00,64.00
2026-02-23T10:53:00Z,37.00,64.47
2026-02-23T10:55:00Z,35.00,64.47
2026-02-23T11:23:00Z,35.00,63.00
2026-02-23T11:41:00Z,35.00,64.00
2026-02-23T11:45:00Z,37.00,64.00
2026-02-23T11:51:00Z,37.00,64.00
2026-02-23T11:56:00Z,37.00,64.00
2026-02-23T11:58:00Z,37.00,64.00
2026-02-23T12:24:00Z,37.00,64.00
2026-02-23T12:33:00Z,37.00,64.00
2026-02-23T12:37:00Z,37.00,64.00
