# event_ticker=KXATPCHALLENGERMATCH-26MAR31FENPAV
# final_score=6-3 7-6(3)
# score_resolution=6-3 7-6
# match_winner=Luka Pavlovic
# fav_player=Luka Pavlovic
# dog_player=Andrew Fenty
# kalshi_date=2026-03-31
timestamp,Luka Pavlovic,Andrew Fenty
2026-03-31T15:52:00Z,80.00,
2026-03-31T17:23:00Z,81.00,
2026-03-31T17:54:00Z,81.00,
2026-03-31T18:37:00Z,81.00,
2026-03-31T18:47:00Z,81.00,
2026-03-31T19:27:00Z,81.00,19.00
2026-03-31T20:31:00Z,81.00,20.00
2026-03-31T21:10:00Z,81.00,20.00
2026-03-31T21:12:00Z,81.00,17.00
2026-03-31T21:21:00Z,84.00,17.00
2026-03-31T21:28:00Z,84.00,17.00
2026-03-31T21:43:00Z,84.00,17.00
2026-03-31T22:21:00Z,84.00,20.00
2026-03-31T22:33:00Z,84.00,19.00
2026-03-31T22:36:00Z,84.00,20.00
2026-03-31T23:01:00Z,84.00,20.00
2026-03-31T23:10:00Z,85.00,20.00
2026-03-31T23:14:00Z,85.00,20.00
2026-03-31T23:19:00Z,85.92,20.00
2026-03-31T23:20:00Z,85.92,18.80
2026-03-31T23:23:00Z,85.92,20.76
2026-03-31T23:29:00Z,84.29,16.00
2026-03-31T23:37:00Z,84.29,20.00
2026-03-31T23:40:00Z,84.29,16.00
2026-03-31T23:42:00Z,84.29,21.42
2026-03-31T23:45:00Z,84.29,22.33
2026-04-01T00:13:00Z,84.29,23.47
2026-04-01T00:15:00Z,78.00,23.86
2026-04-01T00:16:00Z,78.00,23.86
2026-04-01T00:17:00Z,78.00,24.09
2026-04-01T00:18:00Z,79.40,19.45
2026-04-01T00:19:00Z,78.76,22.60
2026-04-01T00:20:00Z,78.05,20.97
2026-04-01T00:21:00Z,81.99,18.05
2026-04-01T00:22:00Z,81.95,18.54
2026-04-01T00:23:00Z,81.49,18.50
2026-04-01T00:24:00Z,76.67,22.11
2026-04-01T00:25:00Z,81.10,20.64
2026-04-01T00:26:00Z,83.92,16.53
2026-04-01T00:27:00Z,84.12,14.96
2026-04-01T00:28:00Z,87.93,12.19
2026-04-01T00:29:00Z,88.83,11.27
2026-04-01T00:30:00Z,91.00,8.46
2026-04-01T00:31:00Z,93.00,7.28
2026-04-01T00:32:00Z,93.00,8.00
2026-04-01T00:33:00Z,92.00,9.93
2026-04-01T00:34:00Z,90.50,10.21
2026-04-01T00:35:00Z,87.83,12.26
2026-04-01T00:37:00Z,91.00,10.18
2026-04-01T00:38:00Z,91.00,9.38
2026-04-01T00:39:00Z,90.00,10.83
2026-04-01T00:40:00Z,89.00,11.09
2026-04-01T00:41:00Z,89.00,11.17
2026-04-01T00:42:00Z,90.08,10.82
