# event_ticker=KXATPCHALLENGERMATCH-26JUN05BAEMRV
# final_score=6-4 7-5
# score_resolution=4-6 5-7
# match_winner=Sebastian Baez
# fav_player=Maxim Mrva
# dog_player=Sebastian Baez
# kalshi_date=2026-06-05
timestamp,Sebastian Baez,Maxim Mrva
2026-06-05T03:24:00Z,,25.00
2026-06-05T03:37:00Z,,25.00
2026-06-05T03:38:00Z,,25.00
2026-06-05T03:46:00Z,77.00,25.00
2026-06-05T03:54:00Z,77.00,25.00
2026-06-05T04:07:00Z,78.00,25.00
2026-06-05T04:23:00Z,78.00,24.00
2026-06-05T04:39:00Z,78.00,24.00
2026-06-05T04:48:00Z,78.00,24.00
2026-06-05T04:50:00Z,78.00,24.00
2026-06-05T05:00:00Z,78.00,23.00
2026-06-05T05:08:00Z,78.00,23.00
2026-06-05T05:09:00Z,78.00,23.00
2026-06-05T05:25:00Z,78.00,23.00
2026-06-05T05:28:00Z,78.00,23.00
2026-06-05T05:39:00Z,78.00,23.00
2026-06-05T06:20:00Z,78.00,23.00
2026-06-05T07:21:00Z,78.00,23.00
2026-06-05T07:24:00Z,78.00,24.00
2026-06-05T07:31:00Z,78.00,24.00
2026-06-05T07:41:00Z,78.00,24.00
2026-06-05T07:51:00Z,78.00,24.00
2026-06-05T08:27:00Z,78.00,24.00
2026-06-05T09:18:00Z,78.00,24.00
2026-06-05T09:23:00Z,78.00,23.00
2026-06-05T10:29:00Z,78.00,23.00
2026-06-05T10:48:00Z,78.00,23.00
2026-06-05T10:56:00Z,78.00,23.00
2026-06-05T10:58:00Z,78.00,23.00
2026-06-05T11:01:00Z,78.00,23.00
2026-06-05T11:02:00Z,78.00,23.00
2026-06-05T11:07:00Z,78.00,23.00
2026-06-05T11:35:00Z,78.00,23.00
2026-06-05T11:47:00Z,78.00,23.00
2026-06-05T11:51:00Z,78.00,23.00
2026-06-05T11:56:00Z,78.00,23.00
2026-06-05T12:11:00Z,78.00,23.00
2026-06-05T12:16:00Z,78.00,23.00
2026-06-05T12:21:00Z,78.00,23.00
2026-06-05T12:28:00Z,78.00,24.00
2026-06-05T12:29:00Z,78.00,24.00
2026-06-05T12:33:00Z,78.00,24.00
2026-06-05T12:34:00Z,78.00,24.00
2026-06-05T12:48:00Z,78.00,24.00
2026-06-05T13:22:00Z,77.00,24.00
2026-06-05T13:28:00Z,77.00,24.00
2026-06-05T13:31:00Z,78.00,24.00
2026-06-05T13:38:00Z,78.00,24.00
2026-06-05T13:42:00Z,78.00,24.00
2026-06-05T13:43:00Z,78.00,24.00
