# event_ticker=KXATPCHALLENGERMATCH-26MAR19NEUFAT
# final_score=4-6 6-3 6-4
# match_winner=Lukas Neumayer
# fav_player=Lukas Neumayer
# dog_player=Nerman Fatic
# kalshi_date=2026-03-19
timestamp,Lukas Neumayer,Nerman Fatic
2026-03-19T00:28:00Z,,44.00
2026-03-19T00:30:00Z,59.00,44.00
2026-03-19T01:31:00Z,59.00,44.00
2026-03-19T02:06:00Z,58.00,44.00
2026-03-19T02:49:00Z,59.00,44.00
2026-03-19T03:12:00Z,59.00,44.00
2026-03-19T03:22:00Z,59.00,42.00
2026-03-19T03:27:00Z,59.00,40.00
2026-03-19T03:40:00Z,59.00,42.57
2026-03-19T03:42:00Z,59.00,43.00
2026-03-19T03:51:00Z,59.00,43.00
2026-03-19T03:59:00Z,59.00,43.00
2026-03-19T04:11:00Z,59.00,43.49
2026-03-19T04:34:00Z,59.91,43.49
2026-03-19T04:47:00Z,59.91,44.00
2026-03-19T04:55:00Z,58.74,44.00
2026-03-19T05:03:00Z,60.00,44.00
2026-03-19T05:12:00Z,60.00,44.00
2026-03-19T05:13:00Z,60.00,44.00
2026-03-19T05:15:00Z,60.00,44.00
2026-03-19T05:16:00Z,60.00,44.00
2026-03-19T05:17:00Z,60.00,42.00
2026-03-19T05:22:00Z,60.00,42.00
2026-03-19T05:23:00Z,60.00,42.00
2026-03-19T05:26:00Z,60.00,42.00
2026-03-19T05:34:00Z,60.00,42.00
2026-03-19T05:37:00Z,60.00,40.00
2026-03-19T05:41:00Z,60.00,42.00
2026-03-19T05:42:00Z,60.00,42.00
2026-03-19T05:52:00Z,60.00,42.00
2026-03-19T06:01:00Z,60.00,42.00
2026-03-19T06:02:00Z,60.00,42.00
2026-03-19T06:12:00Z,58.00,42.00
2026-03-19T06:13:00Z,58.00,42.00
2026-03-19T06:23:00Z,60.00,42.00
2026-03-19T06:25:00Z,60.00,42.00
2026-03-19T06:29:00Z,60.00,42.00
2026-03-19T06:36:00Z,60.00,42.00
2026-03-19T06:39:00Z,60.00,42.00
2026-03-19T06:44:00Z,60.00,42.00
2026-03-19T06:50:00Z,60.00,42.00
2026-03-19T06:54:00Z,60.00,42.00
2026-03-19T09:03:00Z,60.00,42.00
2026-03-19T09:07:00Z,60.00,42.00
2026-03-19T09:14:00Z,60.00,42.00
2026-03-19T09:15:00Z,60.00,42.00
2026-03-19T09:16:00Z,60.00,41.50
2026-03-19T09:17:00Z,60.00,41.50
2026-03-19T09:23:00Z,60.00,42.00
2026-03-19T09:26:00Z,60.00,42.00
2026-03-19T09:28:00Z,60.00,42.00
