# event_ticker=KXATPMATCH-26FEB01GEAMPE
# final_score=6-3 RET
# match_winner=Arthur Gea
# fav_player=Arthur Gea
# dog_player=Giovanni Mpetshi Perricard
# kalshi_date=2026-02-01
timestamp,Arthur Gea,Giovanni Mpetshi Perricard
2026-02-02T08:02:00Z,,62.00
2026-02-02T08:05:00Z,39.00,61.00
2026-02-02T08:07:00Z,39.00,60.00
2026-02-02T08:12:00Z,39.00,60.00
2026-02-02T08:33:00Z,39.00,60.00
2026-02-02T08:41:00Z,39.00,60.00
2026-02-02T08:44:00Z,39.00,60.00
2026-02-02T09:02:00Z,39.00,60.00
2026-02-02T09:12:00Z,39.00,60.00
2026-02-02T09:34:00Z,39.00,60.00
2026-02-02T09:47:00Z,39.00,60.00
2026-02-02T09:50:00Z,39.00,60.00
2026-02-02T09:53:00Z,39.00,59.00
2026-02-02T10:14:00Z,39.00,60.00
2026-02-02T10:16:00Z,39.00,60.00
2026-02-02T10:59:00Z,39.00,60.00
2026-02-02T11:10:00Z,41.00,60.00
2026-02-02T11:17:00Z,41.00,60.00
2026-02-02T11:18:00Z,41.00,60.00
2026-02-02T11:29:00Z,41.00,60.00
2026-02-02T11:46:00Z,41.00,60.00
2026-02-02T12:10:00Z,41.00,60.00
2026-02-02T12:13:00Z,41.00,60.00
2026-02-02T12:37:00Z,41.00,60.00
2026-02-02T12:43:00Z,41.00,60.00
2026-02-02T12:58:00Z,41.00,60.00
2026-02-02T13:04:00Z,41.00,60.00
2026-02-02T13:06:00Z,41.00,60.00
2026-02-02T13:17:00Z,41.00,60.00
2026-02-02T13:21:00Z,41.00,60.00
2026-02-02T13:25:00Z,41.00,60.00
2026-02-02T13:29:00Z,41.00,60.00
2026-02-02T13:31:00Z,41.00,60.00
2026-02-02T13:32:00Z,41.00,60.00
2026-02-02T13:43:00Z,41.00,60.00
2026-02-02T13:45:00Z,41.00,60.00
2026-02-02T13:50:00Z,41.12,60.00
2026-02-02T13:55:00Z,44.00,60.00
2026-02-02T13:56:00Z,44.00,58.00
2026-02-02T14:03:00Z,44.00,58.00
2026-02-02T14:07:00Z,44.00,58.00
2026-02-02T14:08:00Z,44.00,58.00
2026-02-02T14:09:00Z,44.00,58.00
2026-02-02T14:13:00Z,44.00,58.00
2026-02-02T14:16:00Z,44.00,58.00
2026-02-02T14:17:00Z,44.00,58.00
2026-02-02T14:19:00Z,44.00,58.00
2026-02-02T14:24:00Z,44.00,58.00
2026-02-02T14:26:00Z,44.00,58.00
2026-02-02T14:27:00Z,44.00,58.00
2026-02-02T14:30:00Z,44.00,57.00
2026-02-02T14:34:00Z,44.00,58.00
2026-02-02T14:37:00Z,44.00,58.00
2026-02-02T14:41:00Z,44.00,58.00
2026-02-02T14:43:00Z,44.00,58.00
2026-02-02T14:45:00Z,43.92,58.00
2026-02-02T14:47:00Z,43.92,57.00
2026-02-02T14:48:00Z,43.92,57.00
2026-02-02T14:49:00Z,43.92,57.00
2026-02-02T14:50:00Z,43.92,57.00
2026-02-02T14:54:00Z,43.92,57.00
2026-02-02T14:55:00Z,44.00,57.00
2026-02-02T14:56:00Z,44.00,57.00
2026-02-02T14:57:00Z,44.00,57.00
2026-02-02T15:00:00Z,44.00,57.00
2026-02-02T15:04:00Z,44.00,57.00
2026-02-02T15:17:00Z,44.00,57.00
2026-02-02T15:18:00Z,44.00,57.00
2026-02-02T15:19:00Z,44.00,57.00
