# event_ticker=KXATPCHALLENGERMATCH-26APR24VASSAK
# final_score=6-4 6-3
# match_winner=Jacopo Vasami
# fav_player=Jacopo Vasami
# dog_player=Stefanos Sakellaridis
# kalshi_date=2026-04-24
timestamp,Jacopo Vasami,Stefanos Sakellaridis
2026-04-23T21:46:00Z,44.00,55.96
2026-04-23T21:48:00Z,44.00,53.00
2026-04-23T22:32:00Z,44.00,55.00
2026-04-23T23:04:00Z,44.00,56.00
2026-04-23T23:35:00Z,44.00,56.00
2026-04-23T23:39:00Z,44.00,56.00
2026-04-24T00:25:00Z,44.00,56.00
2026-04-24T00:31:00Z,46.00,56.00
2026-04-24T00:46:00Z,46.00,56.00
2026-04-24T02:04:00Z,44.00,56.00
2026-04-24T02:21:00Z,44.00,56.00
2026-04-24T02:31:00Z,46.00,56.00
2026-04-24T02:39:00Z,46.00,56.00
2026-04-24T03:04:00Z,46.00,56.00
2026-04-24T03:45:00Z,46.00,56.72
2026-04-24T04:02:00Z,44.00,56.72
2026-04-24T04:09:00Z,44.00,57.00
2026-04-24T04:24:00Z,43.02,57.00
2026-04-24T04:29:00Z,43.02,57.00
2026-04-24T04:32:00Z,43.02,57.00
2026-04-24T04:34:00Z,43.02,57.00
2026-04-24T04:37:00Z,44.00,57.00
2026-04-24T04:38:00Z,44.00,57.00
2026-04-24T04:41:00Z,44.00,57.00
2026-04-24T04:44:00Z,44.00,57.00
2026-04-24T04:49:00Z,44.00,57.00
2026-04-24T04:51:00Z,44.00,57.00
2026-04-24T05:01:00Z,44.00,57.00
2026-04-24T05:11:00Z,44.00,58.00
2026-04-24T05:27:00Z,44.00,57.00
2026-04-24T05:35:00Z,44.00,57.00
2026-04-24T05:40:00Z,44.00,57.00
2026-04-24T05:51:00Z,44.00,57.00
2026-04-24T05:52:00Z,44.00,57.00
2026-04-24T05:56:00Z,44.00,57.00
2026-04-24T05:59:00Z,44.00,57.00
2026-04-24T06:13:00Z,44.00,57.00
2026-04-24T06:14:00Z,44.00,57.00
2026-04-24T06:32:00Z,44.00,57.00
2026-04-24T08:11:00Z,44.00,57.00
2026-04-24T08:13:00Z,44.00,57.00
2026-04-24T08:14:00Z,44.00,56.00
2026-04-24T08:17:00Z,44.00,56.00
2026-04-24T08:27:00Z,44.00,57.00
2026-04-24T08:29:00Z,44.00,57.00
2026-04-24T08:45:00Z,44.00,57.00
2026-04-24T08:51:00Z,44.00,57.00
2026-04-24T09:04:00Z,44.00,57.00
2026-04-24T09:07:00Z,44.00,57.00
2026-04-24T09:11:00Z,44.00,57.00
2026-04-24T09:16:00Z,44.00,57.00
2026-04-24T09:27:00Z,44.00,57.00
2026-04-24T09:30:00Z,44.00,57.00
2026-04-24T09:33:00Z,44.00,57.00
2026-04-24T09:35:00Z,44.00,57.00
2026-04-24T09:36:00Z,44.00,57.00
2026-04-24T09:37:00Z,44.00,57.00
2026-04-24T09:38:00Z,44.00,57.00
2026-04-24T09:40:00Z,44.00,57.08
2026-04-24T09:41:00Z,43.00,59.00
2026-04-24T09:42:00Z,43.00,59.00
2026-04-24T09:43:00Z,44.95,58.44
2026-04-24T09:44:00Z,40.00,59.00
2026-04-24T09:45:00Z,39.00,63.00
2026-04-24T09:46:00Z,43.00,56.54
2026-04-24T09:48:00Z,43.00,56.00
2026-04-24T09:49:00Z,43.00,56.00
2026-04-24T09:50:00Z,46.00,55.95
2026-04-24T09:51:00Z,46.00,55.00
2026-04-24T09:52:00Z,45.53,55.00
2026-04-24T09:53:00Z,45.53,58.00
2026-04-24T09:54:00Z,41.15,58.00
2026-04-24T09:55:00Z,41.16,58.96
2026-04-24T09:56:00Z,41.16,58.00
2026-04-24T09:57:00Z,43.00,58.00
2026-04-24T09:58:00Z,43.80,55.09
2026-04-24T10:00:00Z,47.00,51.39
2026-04-24T10:01:00Z,47.60,53.63
2026-04-24T10:02:00Z,42.00,58.00
2026-04-24T10:03:00Z,42.97,58.00
2026-04-24T10:04:00Z,47.00,55.58
2026-04-24T10:05:00Z,43.03,56.54
2026-04-24T10:07:00Z,44.50,54.66
2026-04-24T10:08:00Z,44.50,57.00
2026-04-24T10:09:00Z,44.50,58.00
2026-04-24T10:10:00Z,44.50,61.00
2026-04-24T10:11:00Z,41.81,61.00
2026-04-24T10:13:00Z,41.81,56.00
2026-04-24T10:14:00Z,41.81,58.68
2026-04-24T10:15:00Z,41.81,60.00
2026-04-24T10:16:00Z,41.81,60.00
2026-04-24T10:17:00Z,36.55,63.79
2026-04-24T10:18:00Z,35.55,64.60
2026-04-24T10:19:00Z,33.00,66.31
2026-04-24T10:20:00Z,38.58,60.59
2026-04-24T10:21:00Z,38.58,57.00
2026-04-24T10:22:00Z,42.47,57.00
2026-04-24T10:23:00Z,40.00,59.50
2026-04-24T10:24:00Z,43.97,56.29
2026-04-24T10:25:00Z,50.70,46.99
2026-04-24T10:26:00Z,50.70,53.02
2026-04-24T10:27:00Z,60.88,38.93
2026-04-24T10:28:00Z,69.25,31.00
2026-04-24T10:29:00Z,70.00,30.82
2026-04-24T10:30:00Z,69.00,31.66
2026-04-24T10:31:00Z,63.69,34.91
2026-04-24T10:32:00Z,65.06,36.03
2026-04-24T10:33:00Z,69.26,32.58
2026-04-24T10:34:00Z,71.99,28.98
2026-04-24T10:35:00Z,72.48,28.00
2026-04-24T10:36:00Z,70.00,28.00
2026-04-24T10:37:00Z,67.48,31.29
2026-04-24T10:38:00Z,69.00,30.48
2026-04-24T10:39:00Z,72.86,29.18
2026-04-24T10:40:00Z,67.95,31.22
2026-04-24T10:41:00Z,71.72,28.96
2026-04-24T10:42:00Z,73.47,28.38
2026-04-24T10:43:00Z,73.47,31.14
2026-04-24T10:44:00Z,71.29,29.29
2026-04-24T10:45:00Z,72.00,29.03
2026-04-24T10:46:00Z,72.42,28.99
2026-04-24T10:47:00Z,72.93,28.70
2026-04-24T10:48:00Z,77.12,22.04
2026-04-24T10:49:00Z,79.71,23.48
2026-04-24T10:50:00Z,76.20,27.39
2026-04-24T10:51:00Z,71.32,30.41
2026-04-24T10:52:00Z,71.32,34.09
2026-04-24T10:53:00Z,69.77,29.02
2026-04-24T10:54:00Z,68.81,32.43
2026-04-24T10:55:00Z,71.00,32.43
2026-04-24T10:56:00Z,72.00,29.00
2026-04-24T10:57:00Z,79.00,23.76
2026-04-24T10:58:00Z,79.76,26.78
2026-04-24T10:59:00Z,76.84,25.30
2026-04-24T11:00:00Z,80.98,21.15
2026-04-24T11:01:00Z,80.51,22.68
2026-04-24T11:02:00Z,79.83,20.03
2026-04-24T11:03:00Z,81.80,19.92
2026-04-24T11:04:00Z,83.51,17.59
2026-04-24T11:05:00Z,79.19,20.49
2026-04-24T11:06:00Z,85.12,15.58
2026-04-24T11:07:00Z,94.48,8.86
2026-04-24T11:08:00Z,94.90,4.99
2026-04-24T11:09:00Z,94.50,5.03
2026-04-24T11:10:00Z,96.97,4.01
2026-04-24T11:11:00Z,97.17,3.00
2026-04-24T11:12:00Z,98.50,2.18
2026-04-24T11:13:00Z,96.26,3.05
2026-04-24T11:14:00Z,97.00,3.09
2026-04-24T11:15:00Z,98.00,2.59
2026-04-24T11:16:00Z,99.00,1.00
2026-04-24T11:17:00Z,98.88,2.92
2026-04-24T11:18:00Z,97.29,2.92
2026-04-24T11:19:00Z,98.23,3.82
2026-04-24T11:20:00Z,97.12,3.18
