# event_ticker=KXATPMATCH-25OCT28MUNMED
# final_score=6-1 6-3
# match_winner=Daniil Medvedev
# fav_player=Daniil Medvedev
# dog_player=Jaume Munar
# kalshi_date=2025-10-28
timestamp,Daniil Medvedev,Jaume Munar
2025-10-28T02:32:00Z,70.00,
2025-10-28T02:41:00Z,70.00,31.00
2025-10-28T02:47:00Z,70.00,31.00
2025-10-28T03:03:00Z,71.00,31.00
2025-10-28T03:12:00Z,71.00,31.00
2025-10-28T03:13:00Z,71.00,31.00
2025-10-28T03:21:00Z,70.00,31.00
2025-10-28T03:28:00Z,70.00,31.00
2025-10-28T03:38:00Z,70.00,31.00
2025-10-28T03:45:00Z,70.00,31.00
2025-10-28T03:48:00Z,70.00,31.00
2025-10-28T04:15:00Z,70.00,31.00
2025-10-28T04:21:00Z,70.00,31.00
2025-10-28T04:29:00Z,70.00,31.00
2025-10-28T04:32:00Z,70.00,31.00
2025-10-28T04:35:00Z,70.00,31.00
2025-10-28T04:48:00Z,70.00,31.00
2025-10-28T05:14:00Z,70.00,31.00
2025-10-28T05:18:00Z,70.00,31.00
2025-10-28T05:34:00Z,70.00,31.00
2025-10-28T05:40:00Z,70.00,31.00
2025-10-28T05:42:00Z,70.00,31.00
2025-10-28T05:49:00Z,70.00,31.00
2025-10-28T05:53:00Z,70.00,31.00
2025-10-28T06:01:00Z,70.00,31.00
2025-10-28T06:25:00Z,70.00,31.00
2025-10-28T06:28:00Z,70.00,30.00
2025-10-28T06:43:00Z,70.00,30.00
2025-10-28T06:51:00Z,70.00,30.00
2025-10-28T07:01:00Z,70.00,30.00
2025-10-28T07:02:00Z,70.00,31.00
2025-10-28T07:04:00Z,70.00,31.00
2025-10-28T07:05:00Z,70.00,31.00
2025-10-28T07:06:00Z,70.45,31.00
2025-10-28T07:18:00Z,71.00,31.00
2025-10-28T07:19:00Z,71.00,31.00
2025-10-28T07:32:00Z,71.00,31.00
2025-10-28T07:45:00Z,71.00,31.00
2025-10-28T07:46:00Z,71.00,31.00
2025-10-28T07:47:00Z,71.00,31.00
2025-10-28T07:49:00Z,71.00,31.00
2025-10-28T08:14:00Z,69.00,31.00
2025-10-28T08:18:00Z,70.58,31.00
2025-10-28T09:05:00Z,70.58,31.00
2025-10-28T09:06:00Z,71.00,31.00
2025-10-28T09:10:00Z,71.00,31.00
2025-10-28T09:21:00Z,69.00,31.00
2025-10-28T09:35:00Z,69.00,31.00
