# event_ticker=KXATPCHALLENGERMATCH-26MAR11BASMAJ
# final_score=7-6(3) 6-3
# score_resolution=6-7 3-6
# match_winner=Nikoloz Basilashvili
# fav_player=Kamil Majchrzak
# dog_player=Nikoloz Basilashvili
# kalshi_date=2026-03-11
timestamp,Kamil Majchrzak,Nikoloz Basilashvili
2026-03-11T15:16:00Z,75.00,
2026-03-11T16:41:00Z,75.57,
2026-03-11T18:21:00Z,75.57,26.00
2026-03-11T18:35:00Z,75.00,26.00
2026-03-11T19:11:00Z,76.00,26.00
2026-03-11T19:22:00Z,76.00,26.00
2026-03-11T19:42:00Z,76.00,26.00
2026-03-11T19:51:00Z,76.00,26.00
2026-03-11T20:04:00Z,74.00,26.00
2026-03-11T20:22:00Z,74.00,26.00
2026-03-11T20:42:00Z,74.00,26.00
2026-03-11T21:12:00Z,74.00,26.00
2026-03-11T21:19:00Z,74.00,26.00
2026-03-11T21:29:00Z,75.00,26.00
2026-03-11T21:42:00Z,75.00,26.00
2026-03-11T21:50:00Z,75.00,26.00
2026-03-11T21:52:00Z,75.00,26.00
2026-03-11T21:58:00Z,75.00,27.00
2026-03-11T22:16:00Z,75.00,26.00
2026-03-11T22:17:00Z,75.00,26.00
2026-03-11T22:18:00Z,75.00,26.00
2026-03-11T22:23:00Z,75.00,26.00
2026-03-11T22:27:00Z,75.00,26.00
2026-03-11T22:28:00Z,75.00,26.00
2026-03-11T22:32:00Z,75.00,26.00
2026-03-11T22:33:00Z,75.00,26.00
2026-03-11T22:34:00Z,75.00,26.00
2026-03-11T22:45:00Z,75.00,27.00
2026-03-11T22:53:00Z,75.00,27.00
2026-03-11T22:54:00Z,75.00,25.00
2026-03-11T23:18:00Z,74.00,25.00
2026-03-11T23:24:00Z,74.00,25.00
2026-03-11T23:25:00Z,74.00,25.00
2026-03-11T23:26:00Z,74.00,25.00
2026-03-11T23:33:00Z,75.00,25.00
2026-03-11T23:35:00Z,75.00,25.00
2026-03-11T23:36:00Z,75.00,27.00
2026-03-11T23:37:00Z,75.00,27.00
2026-03-11T23:38:00Z,75.00,26.00
2026-03-11T23:39:00Z,75.22,25.00
2026-03-11T23:40:00Z,74.00,29.25
2026-03-11T23:41:00Z,73.77,32.75
2026-03-11T23:42:00Z,74.80,28.27
2026-03-11T23:43:00Z,76.08,25.00
2026-03-11T23:44:00Z,81.85,24.09
2026-03-11T23:45:00Z,76.65,24.12
2026-03-11T23:46:00Z,73.00,28.71
2026-03-11T23:47:00Z,74.77,25.00
2026-03-11T23:48:00Z,73.18,25.00
2026-03-11T23:49:00Z,75.00,25.00
2026-03-11T23:50:00Z,77.97,27.00
2026-03-11T23:51:00Z,83.05,16.09
2026-03-11T23:52:00Z,82.20,16.46
2026-03-11T23:53:00Z,86.70,12.60
2026-03-11T23:54:00Z,88.83,13.78
2026-03-11T23:55:00Z,86.04,13.98
2026-03-11T23:56:00Z,84.85,14.00
2026-03-11T23:57:00Z,83.79,18.67
2026-03-11T23:58:00Z,82.00,19.53
2026-03-11T23:59:00Z,83.47,19.53
2026-03-12T00:00:00Z,82.00,19.53
2026-03-12T00:01:00Z,77.04,23.92
2026-03-12T00:02:00Z,78.16,21.22
2026-03-12T00:03:00Z,84.25,14.00
2026-03-12T00:04:00Z,86.00,14.99
2026-03-12T00:05:00Z,84.00,17.00
2026-03-12T00:06:00Z,81.00,19.00
2026-03-12T00:07:00Z,81.00,19.30
2026-03-12T00:08:00Z,84.10,17.00
2026-03-12T00:09:00Z,84.10,16.00
2026-03-12T00:10:00Z,85.04,16.00
2026-03-12T00:11:00Z,83.00,17.00
2026-03-12T00:12:00Z,83.17,16.00
2026-03-12T00:13:00Z,80.79,18.98
2026-03-12T00:14:00Z,76.95,28.18
2026-03-12T00:15:00Z,67.89,33.82
2026-03-12T00:16:00Z,67.26,34.98
2026-03-12T00:17:00Z,66.04,37.17
2026-03-12T00:18:00Z,64.99,37.07
2026-03-12T00:19:00Z,60.04,39.15
2026-03-12T00:20:00Z,65.50,36.82
2026-03-12T00:21:00Z,65.00,37.98
2026-03-12T00:22:00Z,65.00,36.00
2026-03-12T00:23:00Z,65.00,39.00
2026-03-12T00:24:00Z,64.98,38.22
2026-03-12T00:25:00Z,58.29,43.57
2026-03-12T00:26:00Z,50.96,47.33
2026-03-12T00:27:00Z,52.74,48.07
2026-03-12T00:28:00Z,48.94,54.31
2026-03-12T00:29:00Z,42.37,58.54
2026-03-12T00:30:00Z,36.14,62.19
2026-03-12T00:31:00Z,32.99,67.10
2026-03-12T00:32:00Z,30.94,69.20
2026-03-12T00:33:00Z,32.14,68.42
2026-03-12T00:34:00Z,32.09,69.98
2026-03-12T00:35:00Z,29.68,71.08
2026-03-12T00:36:00Z,29.02,71.08
2026-03-12T00:37:00Z,31.79,66.80
2026-03-12T00:38:00Z,28.41,77.66
2026-03-12T00:39:00Z,15.72,80.42
2026-03-12T00:40:00Z,14.57,87.62
2026-03-12T00:41:00Z,16.24,84.42
2026-03-12T00:42:00Z,11.37,89.11
2026-03-12T00:43:00Z,9.02,91.21
2026-03-12T00:44:00Z,8.85,91.81
2026-03-12T00:45:00Z,10.96,89.96
2026-03-12T00:46:00Z,14.89,88.79
2026-03-12T00:47:00Z,19.45,82.16
2026-03-12T00:48:00Z,12.17,90.97
2026-03-12T00:49:00Z,15.21,88.55
2026-03-12T00:50:00Z,15.55,85.32
2026-03-12T00:51:00Z,9.45,89.83
2026-03-12T00:52:00Z,7.88,92.83
2026-03-12T00:53:00Z,8.26,92.99
2026-03-12T00:54:00Z,8.25,92.85
2026-03-12T00:55:00Z,4.81,94.06
2026-03-12T00:56:00Z,6.89,93.00
2026-03-12T00:57:00Z,5.21,93.43
2026-03-12T00:58:00Z,5.12,94.10
2026-03-12T00:59:00Z,7.00,92.93
2026-03-12T01:00:00Z,7.11,93.09
2026-03-12T01:01:00Z,8.83,92.27
2026-03-12T01:02:00Z,10.68,89.08
2026-03-12T01:03:00Z,8.49,92.54
2026-03-12T01:04:00Z,14.96,87.42
2026-03-12T01:05:00Z,4.78,95.85
2026-03-12T01:06:00Z,4.55,96.26
2026-03-12T01:07:00Z,5.00,96.32
2026-03-12T01:08:00Z,5.67,95.71
2026-03-12T01:09:00Z,3.73,98.51
2026-03-12T01:10:00Z,1.00,99.00
2026-03-12T01:11:00Z,1.00,99.00
2026-03-12T01:12:00Z,1.00,99.00
