# event_ticker=KXATPCHALLENGERMATCH-26MAY13DICKIC
# final_score=6-0 6-1
# score_resolution=0-6 1-6
# match_winner=Nicolas Kicker
# fav_player=Ryan Dickerson
# dog_player=Nicolas Kicker
# kalshi_date=2026-05-13
timestamp,Ryan Dickerson,Nicolas Kicker
2026-05-13T09:21:00Z,,79.00
2026-05-13T11:49:00Z,,82.00
2026-05-13T15:53:00Z,20.00,82.00
2026-05-13T16:05:00Z,20.00,82.00
2026-05-13T16:07:00Z,20.00,82.00
2026-05-13T16:41:00Z,20.00,82.00
2026-05-13T16:43:00Z,20.00,82.00
2026-05-13T17:01:00Z,20.00,82.00
2026-05-13T17:21:00Z,18.00,82.00
2026-05-13T17:24:00Z,19.00,82.00
2026-05-13T17:35:00Z,19.00,82.00
2026-05-13T17:41:00Z,19.00,82.00
2026-05-13T17:42:00Z,19.00,82.00
2026-05-13T17:51:00Z,19.00,82.00
2026-05-13T18:00:00Z,18.62,82.00
2026-05-13T18:26:00Z,18.62,81.00
2026-05-13T18:52:00Z,19.00,81.00
2026-05-13T18:53:00Z,19.00,81.00
2026-05-13T18:57:00Z,19.00,81.00
2026-05-13T19:02:00Z,19.69,81.00
2026-05-13T19:31:00Z,20.00,81.00
2026-05-13T19:44:00Z,20.00,81.00
2026-05-13T19:53:00Z,20.69,81.00
2026-05-13T19:58:00Z,20.00,81.00
2026-05-13T19:59:00Z,20.00,81.00
2026-05-13T20:00:00Z,20.00,79.00
2026-05-13T20:04:00Z,20.57,81.00
2026-05-13T20:12:00Z,20.57,81.00
2026-05-13T20:15:00Z,20.89,81.00
2026-05-13T20:17:00Z,20.89,82.00
2026-05-13T20:20:00Z,20.53,82.00
2026-05-13T20:23:00Z,20.00,82.00
2026-05-13T20:26:00Z,20.00,82.00
2026-05-13T20:27:00Z,20.00,82.00
2026-05-13T20:29:00Z,20.98,82.00
2026-05-13T20:30:00Z,20.93,82.00
2026-05-13T20:32:00Z,20.78,82.00
2026-05-13T20:33:00Z,21.11,82.00
2026-05-13T20:34:00Z,21.00,82.00
2026-05-13T20:35:00Z,21.00,82.00
2026-05-13T20:36:00Z,21.00,81.00
