# event_ticker=KXATPCHALLENGERMATCH-26MAY21GUECAN
# final_score=7-6(3) 7-5
# score_resolution=6-7 5-7
# match_winner=Andrea Guerrieri
# fav_player=Carlo Alberto Caniato
# dog_player=Andrea Guerrieri
# kalshi_date=2026-05-21
timestamp,Andrea Guerrieri,Carlo Alberto Caniato
2026-05-21T02:24:00Z,,34.00
2026-05-21T03:21:00Z,66.81,34.00
2026-05-21T04:37:00Z,64.00,34.00
2026-05-21T05:24:00Z,64.00,37.00
2026-05-21T05:58:00Z,66.00,37.00
2026-05-21T09:15:00Z,65.00,37.00
2026-05-21T09:17:00Z,65.00,37.00
2026-05-21T11:43:00Z,65.00,37.00
2026-05-21T11:58:00Z,65.00,37.00
2026-05-21T12:34:00Z,65.00,37.00
2026-05-21T12:37:00Z,65.00,37.00
2026-05-21T13:00:00Z,65.00,37.00
2026-05-21T13:09:00Z,65.00,37.00
2026-05-21T13:15:00Z,65.00,37.00
2026-05-21T13:16:00Z,65.00,37.00
2026-05-21T13:18:00Z,63.00,37.00
2026-05-21T13:22:00Z,65.00,37.00
2026-05-21T13:25:00Z,65.00,37.00
2026-05-21T13:28:00Z,65.00,37.00
2026-05-21T13:33:00Z,62.06,37.00
2026-05-21T13:40:00Z,65.00,37.00
2026-05-21T13:41:00Z,65.00,37.00
2026-05-21T13:42:00Z,66.03,37.00
2026-05-21T13:43:00Z,68.87,37.00
2026-05-21T13:44:00Z,69.00,30.50
2026-05-21T13:45:00Z,75.56,30.00
2026-05-21T13:46:00Z,74.51,30.00
2026-05-21T13:47:00Z,73.01,30.00
2026-05-21T13:48:00Z,74.00,24.00
2026-05-21T13:49:00Z,74.00,25.00
2026-05-21T13:50:00Z,77.00,24.00
2026-05-21T13:51:00Z,78.00,24.00
2026-05-21T13:52:00Z,79.00,22.00
2026-05-21T13:53:00Z,80.00,21.00
2026-05-21T13:54:00Z,79.01,21.87
2026-05-21T13:55:00Z,76.00,21.87
2026-05-21T13:56:00Z,76.00,25.00
2026-05-21T13:57:00Z,76.00,25.00
2026-05-21T13:58:00Z,76.00,25.93
2026-05-21T13:59:00Z,67.50,30.22
2026-05-21T14:00:00Z,67.00,33.55
2026-05-21T14:01:00Z,72.17,33.55
2026-05-21T14:02:00Z,70.55,30.87
2026-05-21T14:03:00Z,62.81,37.55
2026-05-21T14:04:00Z,62.55,37.55
2026-05-21T14:05:00Z,66.70,34.04
2026-05-21T14:06:00Z,60.71,40.25
2026-05-21T14:07:00Z,58.75,43.00
2026-05-21T14:08:00Z,56.18,44.02
2026-05-21T14:09:00Z,58.95,44.02
2026-05-21T14:10:00Z,60.00,38.61
2026-05-21T14:11:00Z,57.79,44.17
2026-05-21T14:12:00Z,58.99,40.00
2026-05-21T14:13:00Z,60.00,42.95
2026-05-21T14:14:00Z,56.00,44.98
2026-05-21T14:15:00Z,54.00,44.98
2026-05-21T14:16:00Z,55.00,50.44
2026-05-21T14:17:00Z,52.98,50.44
2026-05-21T14:18:00Z,57.00,44.00
2026-05-21T14:19:00Z,52.50,48.74
2026-05-21T14:20:00Z,47.98,52.15
2026-05-21T14:21:00Z,48.55,53.05
2026-05-21T14:22:00Z,47.47,54.65
2026-05-21T14:23:00Z,48.58,53.47
2026-05-21T14:24:00Z,44.19,53.02
2026-05-21T14:25:00Z,52.33,49.27
2026-05-21T14:26:00Z,52.43,47.00
2026-05-21T14:27:00Z,49.98,51.00
2026-05-21T14:28:00Z,48.39,54.77
2026-05-21T14:29:00Z,48.33,54.00
2026-05-21T14:30:00Z,46.38,56.66
2026-05-21T14:31:00Z,41.53,63.00
2026-05-21T14:32:00Z,46.71,56.98
2026-05-21T14:33:00Z,52.27,47.74
2026-05-21T14:34:00Z,61.19,47.74
2026-05-21T14:35:00Z,61.02,42.95
2026-05-21T14:36:00Z,52.91,46.79
2026-05-21T14:37:00Z,48.52,53.00
2026-05-21T14:38:00Z,47.83,53.05
2026-05-21T14:39:00Z,47.51,53.00
2026-05-21T14:40:00Z,52.50,49.05
2026-05-21T14:41:00Z,53.07,47.33
2026-05-21T14:42:00Z,61.16,38.80
2026-05-21T14:43:00Z,66.81,31.79
2026-05-21T14:44:00Z,75.09,25.00
2026-05-21T14:45:00Z,74.95,29.55
2026-05-21T14:46:00Z,71.76,29.16
2026-05-21T14:47:00Z,74.82,26.31
2026-05-21T14:48:00Z,79.15,22.25
2026-05-21T14:49:00Z,80.03,20.36
2026-05-21T14:50:00Z,81.78,20.00
2026-05-21T14:51:00Z,79.58,20.90
2026-05-21T14:52:00Z,79.15,20.90
2026-05-21T14:53:00Z,81.59,21.84
2026-05-21T14:54:00Z,78.72,22.26
2026-05-21T14:55:00Z,80.22,19.24
2026-05-21T14:56:00Z,76.74,20.91
2026-05-21T14:57:00Z,69.46,29.15
2026-05-21T14:58:00Z,70.56,29.48
2026-05-21T14:59:00Z,67.89,30.08
2026-05-21T15:00:00Z,66.13,32.93
2026-05-21T15:01:00Z,70.34,33.84
2026-05-21T15:02:00Z,74.47,25.50
2026-05-21T15:03:00Z,71.78,28.56
2026-05-21T15:04:00Z,72.71,29.17
2026-05-21T15:05:00Z,70.80,29.01
2026-05-21T15:06:00Z,69.17,30.96
2026-05-21T15:07:00Z,67.97,33.00
2026-05-21T15:08:00Z,69.03,31.00
2026-05-21T15:09:00Z,70.50,30.00
2026-05-21T15:10:00Z,70.79,29.87
2026-05-21T15:11:00Z,70.96,30.83
2026-05-21T15:12:00Z,72.56,29.12
2026-05-21T15:13:00Z,74.66,27.66
2026-05-21T15:14:00Z,81.88,20.17
2026-05-21T15:15:00Z,82.79,16.53
2026-05-21T15:16:00Z,75.49,25.05
2026-05-21T15:17:00Z,74.99,27.92
2026-05-21T15:18:00Z,71.27,29.12
2026-05-21T15:19:00Z,72.46,28.55
2026-05-21T15:20:00Z,73.06,30.45
2026-05-21T15:21:00Z,68.63,34.82
2026-05-21T15:22:00Z,71.02,37.17
2026-05-21T15:23:00Z,76.56,29.70
2026-05-21T15:24:00Z,78.40,22.81
2026-05-21T15:25:00Z,74.75,27.35
2026-05-21T15:26:00Z,73.64,27.03
2026-05-21T15:27:00Z,71.33,30.68
2026-05-21T15:28:00Z,71.05,30.84
2026-05-21T15:29:00Z,71.92,29.45
2026-05-21T15:30:00Z,73.91,27.89
2026-05-21T15:31:00Z,82.82,20.78
2026-05-21T15:32:00Z,84.99,16.40
2026-05-21T15:33:00Z,88.16,12.81
2026-05-21T15:34:00Z,87.91,14.50
2026-05-21T15:35:00Z,84.04,20.54
2026-05-21T15:36:00Z,89.63,10.07
2026-05-21T15:37:00Z,92.44,8.62
2026-05-21T15:38:00Z,95.64,5.35
2026-05-21T15:39:00Z,95.51,7.60
2026-05-21T15:40:00Z,93.53,8.84
2026-05-21T15:41:00Z,90.09,10.84
2026-05-21T15:42:00Z,89.01,13.79
2026-05-21T15:43:00Z,87.54,14.78
2026-05-21T15:44:00Z,90.70,11.39
2026-05-21T15:45:00Z,91.01,10.54
2026-05-21T15:46:00Z,92.05,9.52
2026-05-21T15:47:00Z,98.31,2.38
2026-05-21T15:48:00Z,99.00,2.38
2026-05-21T15:49:00Z,99.00,2.38
2026-05-21T15:50:00Z,99.00,2.38
2026-05-21T15:52:00Z,99.00,2.38
