# event_ticker=KXATPMATCH-25SEP26BRODAR
# final_score=7-6(7) 6-1
# score_resolution=7-6 6-1
# match_winner=Jenson Brooksby
# fav_player=Jenson Brooksby
# dog_player=Luciano Darderi
# kalshi_date=2025-09-26
timestamp,Jenson Brooksby,Luciano Darderi
2025-09-26T16:31:00Z,61.00,
2025-09-26T16:34:00Z,61.00,
2025-09-26T16:35:00Z,61.00,
2025-09-26T16:39:00Z,61.00,40.00
2025-09-26T16:44:00Z,61.00,40.00
2025-09-26T17:04:00Z,61.00,40.00
2025-09-26T17:11:00Z,61.00,40.00
2025-09-26T17:46:00Z,61.00,40.00
2025-09-26T17:58:00Z,61.00,40.00
2025-09-26T18:08:00Z,61.00,40.00
2025-09-26T18:09:00Z,61.00,40.00
2025-09-26T18:11:00Z,61.00,40.00
2025-09-26T18:21:00Z,61.00,40.00
2025-09-26T18:22:00Z,61.00,40.00
2025-09-26T18:33:00Z,61.00,40.00
2025-09-26T18:35:00Z,61.00,40.00
2025-09-26T18:36:00Z,60.00,40.00
2025-09-26T19:10:00Z,61.00,40.00
2025-09-26T19:33:00Z,61.00,39.00
2025-09-26T19:38:00Z,61.00,39.00
2025-09-26T20:01:00Z,61.00,39.00
2025-09-26T20:03:00Z,61.00,39.00
2025-09-26T20:41:00Z,61.00,39.00
2025-09-26T20:45:00Z,62.00,39.00
2025-09-26T20:46:00Z,62.00,39.00
2025-09-26T20:54:00Z,62.00,39.00
2025-09-26T20:55:00Z,62.00,39.00
2025-09-26T21:04:00Z,63.00,39.00
2025-09-26T21:06:00Z,63.00,38.00
2025-09-26T21:22:00Z,63.00,38.00
2025-09-26T21:30:00Z,63.00,38.00
2025-09-26T21:42:00Z,63.00,38.00
2025-09-26T21:50:00Z,63.00,38.00
2025-09-26T22:15:00Z,63.00,38.00
2025-09-26T22:20:00Z,63.00,38.00
2025-09-26T22:24:00Z,62.00,38.00
2025-09-26T22:32:00Z,62.00,38.77
2025-09-26T22:33:00Z,62.00,39.00
2025-09-26T22:50:00Z,63.00,39.00
2025-09-26T22:51:00Z,63.00,39.00
2025-09-26T22:58:00Z,63.00,39.00
2025-09-26T23:02:00Z,64.00,39.00
2025-09-26T23:12:00Z,64.00,37.00
2025-09-26T23:13:00Z,64.00,37.00
2025-09-26T23:23:00Z,64.00,37.00
2025-09-26T23:25:00Z,64.00,37.00
2025-09-26T23:30:00Z,64.00,37.00
2025-09-26T23:33:00Z,64.00,37.00
2025-09-26T23:44:00Z,64.00,37.00
2025-09-27T00:00:00Z,64.00,37.00
2025-09-27T00:03:00Z,64.00,37.00
2025-09-27T00:06:00Z,63.00,37.00
2025-09-27T00:07:00Z,63.00,38.00
2025-09-27T00:08:00Z,63.00,38.00
2025-09-27T00:19:00Z,63.00,38.00
2025-09-27T00:29:00Z,63.00,38.00
2025-09-27T00:32:00Z,63.00,38.00
2025-09-27T00:33:00Z,63.00,38.00
2025-09-27T00:34:00Z,63.00,38.00
2025-09-27T00:37:00Z,63.00,38.00
2025-09-27T00:38:00Z,62.94,38.00
2025-09-27T00:50:00Z,63.00,38.00
2025-09-27T00:52:00Z,63.00,38.00
2025-09-27T01:00:00Z,63.00,38.00
2025-09-27T01:01:00Z,63.00,38.00
2025-09-27T01:02:00Z,63.00,38.00
2025-09-27T01:14:00Z,63.00,38.00
2025-09-27T01:17:00Z,63.00,38.00
2025-09-27T01:26:00Z,63.00,38.00
2025-09-27T01:29:00Z,63.00,38.00
2025-09-27T01:32:00Z,63.00,38.00
2025-09-27T01:34:00Z,63.00,38.00
2025-09-27T01:40:00Z,63.00,38.00
2025-09-27T01:42:00Z,63.00,37.00
2025-09-27T01:45:00Z,63.00,38.00
2025-09-27T01:47:00Z,63.00,38.00
2025-09-27T01:48:00Z,63.00,38.00
2025-09-27T01:49:00Z,64.00,38.00
2025-09-27T01:57:00Z,64.00,38.00
2025-09-27T01:58:00Z,64.00,38.00
2025-09-27T02:00:00Z,63.00,38.00
2025-09-27T02:01:00Z,63.00,39.00
2025-09-27T02:04:00Z,64.00,39.00
2025-09-27T02:06:00Z,64.00,33.00
2025-09-27T02:07:00Z,71.00,33.00
2025-09-27T02:08:00Z,71.00,37.00
2025-09-27T02:10:00Z,71.00,38.65
2025-09-27T02:12:00Z,58.82,38.65
2025-09-27T02:13:00Z,51.25,48.64
2025-09-27T02:14:00Z,53.00,47.05
2025-09-27T02:15:00Z,54.43,43.13
2025-09-27T02:16:00Z,50.90,51.00
2025-09-27T02:17:00Z,48.01,52.16
2025-09-27T02:18:00Z,46.00,56.04
2025-09-27T02:19:00Z,46.00,54.00
2025-09-27T02:20:00Z,50.00,54.56
2025-09-27T02:22:00Z,45.02,54.56
2025-09-27T02:23:00Z,47.00,54.00
2025-09-27T02:24:00Z,47.00,57.29
2025-09-27T02:25:00Z,43.00,58.83
2025-09-27T02:26:00Z,43.00,59.00
