# event_ticker=KXATPMATCH-25OCT27SONKOR
# final_score=6-2 6-3
# match_winner=Lorenzo Sonego
# fav_player=Lorenzo Sonego
# dog_player=Sebastian Korda
# kalshi_date=2025-10-27
timestamp,Lorenzo Sonego,Sebastian Korda
2025-10-27T04:24:00Z,39.00,
2025-10-27T04:26:00Z,39.00,62.00
2025-10-27T05:00:00Z,38.00,62.00
2025-10-27T05:58:00Z,38.00,62.00
2025-10-27T06:04:00Z,39.00,62.00
2025-10-27T06:22:00Z,39.00,62.00
2025-10-27T07:06:00Z,39.00,62.00
2025-10-27T07:39:00Z,39.00,62.00
2025-10-27T07:40:00Z,39.00,62.00
2025-10-27T07:42:00Z,39.00,62.00
2025-10-27T07:53:00Z,39.00,62.00
2025-10-27T08:37:00Z,39.00,62.00
2025-10-27T08:43:00Z,39.00,62.00
2025-10-27T09:11:00Z,39.00,62.00
2025-10-27T09:24:00Z,39.00,62.00
2025-10-27T09:53:00Z,39.00,62.00
2025-10-27T10:24:00Z,39.00,62.00
2025-10-27T11:28:00Z,38.00,64.00
2025-10-27T11:44:00Z,38.00,64.00
2025-10-27T11:46:00Z,38.00,64.00
2025-10-27T11:57:00Z,38.00,64.00
2025-10-27T12:02:00Z,38.00,64.00
2025-10-27T12:17:00Z,38.00,64.00
2025-10-27T12:20:00Z,38.00,64.00
2025-10-27T12:22:00Z,38.00,64.00
2025-10-27T12:34:00Z,38.00,64.00
2025-10-27T12:36:00Z,38.00,64.00
2025-10-27T12:45:00Z,38.00,64.00
2025-10-27T12:48:00Z,38.00,64.00
2025-10-27T12:51:00Z,37.00,64.00
2025-10-27T12:54:00Z,37.00,64.00
2025-10-27T12:58:00Z,37.00,64.00
2025-10-27T13:00:00Z,37.00,64.00
2025-10-27T13:07:00Z,36.00,64.00
2025-10-27T13:13:00Z,36.00,64.00
2025-10-27T13:16:00Z,36.00,64.00
2025-10-27T13:33:00Z,36.00,64.00
2025-10-27T13:36:00Z,36.00,64.00
2025-10-27T13:38:00Z,36.00,64.00
2025-10-27T13:40:00Z,36.00,64.00
2025-10-27T13:42:00Z,36.00,64.00
2025-10-27T13:44:00Z,36.00,64.00
