# event_ticker=KXATPMATCH-26FEB17CARHAL
# final_score=4-6 7-5 6-3
# score_resolution=6-4 5-7 3-6
# match_winner=Quentin Halys
# fav_player=Pablo Carreno Busta
# dog_player=Quentin Halys
# kalshi_date=2026-02-17
timestamp,Pablo Carreno Busta,Quentin Halys
2026-02-16T22:54:00Z,49.00,52.00
2026-02-16T22:56:00Z,49.00,52.00
2026-02-16T23:04:00Z,49.00,52.00
2026-02-16T23:12:00Z,49.00,52.00
2026-02-16T23:13:00Z,49.00,51.00
2026-02-16T23:35:00Z,49.00,52.00
2026-02-16T23:37:00Z,49.00,52.00
2026-02-16T23:45:00Z,49.00,52.00
2026-02-16T23:59:00Z,49.00,52.00
2026-02-17T00:02:00Z,47.00,52.00
2026-02-17T00:11:00Z,47.00,52.74
2026-02-17T00:26:00Z,47.00,53.00
2026-02-17T00:38:00Z,47.00,53.00
2026-02-17T00:41:00Z,47.00,53.00
2026-02-17T00:53:00Z,47.00,52.00
2026-02-17T00:55:00Z,47.00,53.00
2026-02-17T00:59:00Z,47.00,53.00
2026-02-17T01:05:00Z,48.00,53.00
2026-02-17T01:08:00Z,48.00,53.00
2026-02-17T01:17:00Z,48.00,53.00
2026-02-17T01:50:00Z,47.00,53.00
2026-02-17T01:54:00Z,47.00,53.00
2026-02-17T01:57:00Z,48.00,53.00
2026-02-17T02:00:00Z,48.00,53.00
2026-02-17T02:03:00Z,48.00,53.00
2026-02-17T02:05:00Z,48.00,53.00
2026-02-17T02:06:00Z,48.00,52.00
2026-02-17T02:10:00Z,48.00,53.00
2026-02-17T02:14:00Z,48.00,53.00
2026-02-17T02:15:00Z,48.00,53.00
2026-02-17T02:16:00Z,48.00,53.00
2026-02-17T02:23:00Z,48.00,53.00
2026-02-17T02:26:00Z,48.00,53.00
2026-02-17T02:29:00Z,48.00,53.00
2026-02-17T02:36:00Z,48.00,53.00
2026-02-17T02:41:00Z,48.00,53.00
2026-02-17T02:46:00Z,48.00,53.00
2026-02-17T02:49:00Z,48.00,53.00
2026-02-17T02:53:00Z,48.00,53.00
2026-02-17T03:00:00Z,48.00,53.00
2026-02-17T03:05:00Z,48.00,53.00
2026-02-17T03:06:00Z,48.00,53.75
2026-02-17T03:11:00Z,48.00,53.74
2026-02-17T03:12:00Z,48.00,53.74
2026-02-17T03:20:00Z,48.00,54.00
2026-02-17T03:22:00Z,48.00,54.00
2026-02-17T03:39:00Z,48.00,53.00
2026-02-17T03:40:00Z,48.00,53.00
2026-02-17T03:46:00Z,48.00,53.00
2026-02-17T03:47:00Z,48.00,53.00
2026-02-17T03:48:00Z,48.00,53.00
2026-02-17T03:51:00Z,48.00,53.75
2026-02-17T03:59:00Z,48.00,54.00
2026-02-17T04:01:00Z,48.00,54.00
2026-02-17T04:09:00Z,48.00,53.00
2026-02-17T04:12:00Z,48.00,53.00
2026-02-17T04:13:00Z,48.00,53.00
2026-02-17T04:15:00Z,48.00,53.00
