# event_ticker=KXATPCHALLENGERMATCH-26MAR11QUISHE
# final_score=6-7(4) 6-4 6-2
# score_resolution=7-6 4-6 2-6
# match_winner=Ethan Quinn
# fav_player=Alexander Shevchenko
# dog_player=Ethan Quinn
# kalshi_date=2026-03-11
timestamp,Alexander Shevchenko,Ethan Quinn
2026-03-11T14:50:00Z,,65.00
2026-03-11T15:16:00Z,37.00,65.00
2026-03-11T15:27:00Z,38.00,65.00
2026-03-11T16:38:00Z,38.00,63.00
2026-03-11T16:41:00Z,38.00,63.00
2026-03-11T16:44:00Z,39.00,63.00
2026-03-11T18:25:00Z,38.00,63.00
2026-03-11T18:35:00Z,38.00,63.00
2026-03-11T18:44:00Z,38.00,63.00
2026-03-11T18:56:00Z,38.00,63.00
2026-03-11T19:00:00Z,38.00,63.00
2026-03-11T19:36:00Z,38.00,63.00
2026-03-11T19:37:00Z,38.00,63.00
2026-03-11T19:42:00Z,36.00,63.00
2026-03-11T19:50:00Z,36.00,66.00
2026-03-11T19:53:00Z,36.00,66.50
2026-03-11T20:06:00Z,36.00,64.00
2026-03-11T20:22:00Z,36.00,66.00
2026-03-11T20:44:00Z,36.00,68.00
2026-03-11T20:57:00Z,36.00,68.00
2026-03-11T21:05:00Z,36.00,68.00
2026-03-11T21:45:00Z,36.00,66.00
2026-03-11T21:52:00Z,36.00,66.00
2026-03-11T22:12:00Z,36.00,66.00
2026-03-11T22:52:00Z,36.00,65.00
2026-03-11T22:55:00Z,36.00,65.00
2026-03-11T23:03:00Z,38.00,65.00
2026-03-11T23:31:00Z,38.00,65.00
2026-03-11T23:33:00Z,38.00,65.00
2026-03-11T23:36:00Z,38.00,65.00
2026-03-11T23:49:00Z,38.00,65.00
2026-03-11T23:54:00Z,38.00,65.00
2026-03-11T23:56:00Z,38.00,65.00
2026-03-11T23:59:00Z,38.00,65.00
2026-03-12T00:02:00Z,38.00,65.00
2026-03-12T00:05:00Z,38.00,65.00
2026-03-12T00:06:00Z,38.00,62.02
2026-03-12T00:09:00Z,38.00,64.00
2026-03-12T00:19:00Z,37.00,64.00
2026-03-12T00:38:00Z,37.00,64.00
2026-03-12T00:47:00Z,37.00,64.00
2026-03-12T00:48:00Z,37.00,64.00
2026-03-12T00:56:00Z,37.00,64.00
2026-03-12T00:57:00Z,37.00,64.00
2026-03-12T00:59:00Z,37.00,64.00
2026-03-12T01:01:00Z,37.00,64.00
2026-03-12T01:03:00Z,37.00,64.00
2026-03-12T01:04:00Z,37.00,64.00
2026-03-12T01:07:00Z,37.00,64.00
2026-03-12T01:26:00Z,37.00,64.00
2026-03-12T01:33:00Z,37.00,65.00
2026-03-12T01:35:00Z,37.00,65.80
2026-03-12T01:38:00Z,36.00,65.80
