# event_ticker=KXATPMATCH-25AUG20MPEMUL
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Giovanni Mpetshi Perricard
# fav_player=Alexandre Muller
# dog_player=Giovanni Mpetshi Perricard
# kalshi_date=2025-08-20
timestamp,Alexandre Muller,Giovanni Mpetshi Perricard
2025-08-20T09:32:00Z,,56.00
2025-08-20T11:00:00Z,48.00,56.00
2025-08-20T11:32:00Z,48.00,56.00
2025-08-20T11:41:00Z,50.00,56.00
2025-08-20T12:57:00Z,50.00,55.00
2025-08-20T13:14:00Z,50.00,54.00
2025-08-20T14:27:00Z,50.00,55.00
2025-08-20T14:43:00Z,50.00,55.00
2025-08-20T14:47:00Z,46.00,55.00
2025-08-20T15:13:00Z,46.00,55.00
2025-08-20T15:30:00Z,46.00,55.00
2025-08-20T15:34:00Z,46.00,55.00
2025-08-20T15:41:00Z,45.00,55.00
2025-08-20T15:42:00Z,45.00,54.00
2025-08-20T16:01:00Z,46.00,54.00
2025-08-20T16:28:00Z,48.00,54.00
2025-08-20T16:29:00Z,48.00,54.00
2025-08-20T16:43:00Z,49.00,54.00
2025-08-20T16:44:00Z,49.00,54.00
2025-08-20T17:26:00Z,49.00,51.00
2025-08-20T17:27:00Z,50.00,51.00
2025-08-20T17:43:00Z,50.00,51.00
2025-08-20T17:48:00Z,50.00,51.00
2025-08-20T17:52:00Z,50.00,51.00
2025-08-20T17:57:00Z,50.00,51.00
2025-08-20T18:14:00Z,50.00,52.00
2025-08-20T18:15:00Z,50.00,52.00
2025-08-20T18:26:00Z,50.00,52.00
2025-08-20T18:30:00Z,50.00,52.00
2025-08-20T18:33:00Z,49.00,52.00
2025-08-20T18:39:00Z,49.00,52.00
2025-08-20T18:47:00Z,49.00,52.00
2025-08-20T18:58:00Z,49.00,52.00
2025-08-20T19:01:00Z,50.00,52.00
2025-08-20T19:03:00Z,50.00,51.00
2025-08-20T19:05:00Z,50.00,49.00
2025-08-20T19:13:00Z,51.00,49.00
2025-08-20T19:39:00Z,51.00,53.00
2025-08-20T19:44:00Z,50.00,53.00
2025-08-20T19:53:00Z,50.00,52.00
2025-08-20T19:55:00Z,50.00,50.00
2025-08-20T19:56:00Z,50.00,51.55
2025-08-20T19:57:00Z,50.00,51.55
2025-08-20T19:58:00Z,49.05,51.55
2025-08-20T19:59:00Z,55.20,51.00
2025-08-20T20:00:00Z,46.54,51.00
2025-08-20T20:01:00Z,36.89,66.55
2025-08-20T20:02:00Z,33.81,68.63
2025-08-20T20:03:00Z,32.07,68.76
2025-08-20T20:04:00Z,30.20,69.00
2025-08-20T20:05:00Z,30.20,69.00
2025-08-20T20:06:00Z,32.27,69.00
2025-08-20T20:07:00Z,32.27,71.00
2025-08-20T20:08:00Z,32.27,70.00
2025-08-20T20:09:00Z,28.88,72.69
2025-08-20T20:10:00Z,27.00,75.09
2025-08-20T20:12:00Z,27.00,75.09
2025-08-20T20:13:00Z,27.00,72.00
2025-08-20T20:14:00Z,30.00,72.00
2025-08-20T20:15:00Z,30.00,72.00
2025-08-20T20:16:00Z,34.09,72.00
2025-08-20T20:17:00Z,34.09,71.97
2025-08-20T20:18:00Z,30.00,74.00
2025-08-20T20:19:00Z,29.00,74.00
2025-08-20T20:20:00Z,30.00,73.00
2025-08-20T20:22:00Z,29.00,73.00
2025-08-20T20:24:00Z,29.00,73.04
2025-08-20T20:25:00Z,32.00,72.72
2025-08-20T20:26:00Z,23.55,72.72
2025-08-20T20:27:00Z,23.55,76.83
2025-08-20T20:28:00Z,23.55,76.00
2025-08-20T20:29:00Z,24.41,78.86
2025-08-20T20:30:00Z,26.02,75.00
2025-08-20T20:31:00Z,27.20,75.28
2025-08-20T20:32:00Z,20.21,78.62
2025-08-20T20:33:00Z,17.86,82.33
2025-08-20T20:34:00Z,12.64,89.57
2025-08-20T20:35:00Z,8.75,94.41
2025-08-20T20:36:00Z,6.66,95.45
2025-08-20T20:37:00Z,5.00,96.23
2025-08-20T20:38:00Z,6.00,93.77
2025-08-20T20:39:00Z,6.00,98.00
2025-08-20T20:40:00Z,3.63,95.85
2025-08-20T20:41:00Z,6.38,94.53
2025-08-20T20:42:00Z,1.00,98.95
2025-08-20T20:43:00Z,2.61,98.96
2025-08-20T20:44:00Z,2.46,98.00
2025-08-20T20:45:00Z,2.00,98.00
2025-08-20T20:46:00Z,3.52,98.00
2025-08-20T20:47:00Z,7.90,98.00
2025-08-20T20:48:00Z,7.34,98.00
2025-08-20T20:49:00Z,2.00,99.00
2025-08-20T20:50:00Z,2.00,99.00
2025-08-20T20:51:00Z,2.00,98.98
2025-08-20T20:52:00Z,1.00,98.98
2025-08-20T20:53:00Z,1.00,98.98
2025-08-20T20:54:00Z,1.00,98.98
2025-08-20T20:56:00Z,1.00,99.00
2025-08-20T21:01:00Z,1.00,99.00
