# event_ticker=KXATPMATCH-25OCT17KORRUU
# final_score=6-7(5) 6-4 6-4
# score_resolution=7-6 4-6 4-6
# match_winner=Casper Ruud
# fav_player=Sebastian Korda
# dog_player=Casper Ruud
# kalshi_date=2025-10-17
timestamp,Sebastian Korda,Casper Ruud
2025-10-17T06:52:00Z,,59.00
2025-10-17T07:39:00Z,,59.00
2025-10-17T07:54:00Z,,59.00
2025-10-17T08:04:00Z,,59.00
2025-10-17T08:13:00Z,43.00,59.00
2025-10-17T08:52:00Z,43.00,59.00
2025-10-17T08:54:00Z,43.00,59.00
2025-10-17T09:07:00Z,43.00,59.00
2025-10-17T09:14:00Z,43.00,59.00
2025-10-17T09:16:00Z,43.00,59.00
2025-10-17T09:34:00Z,43.00,59.00
2025-10-17T09:50:00Z,43.00,59.00
2025-10-17T09:53:00Z,43.00,59.00
2025-10-17T09:58:00Z,43.00,59.00
2025-10-17T10:27:00Z,43.00,59.00
2025-10-17T10:38:00Z,43.00,59.00
2025-10-17T10:57:00Z,43.00,59.00
2025-10-17T11:03:00Z,43.00,59.00
2025-10-17T11:07:00Z,43.00,57.00
2025-10-17T11:10:00Z,43.00,57.00
2025-10-17T11:12:00Z,43.00,56.00
2025-10-17T11:13:00Z,43.00,57.00
2025-10-17T11:30:00Z,43.00,57.00
2025-10-17T11:31:00Z,44.00,57.00
2025-10-17T11:33:00Z,44.00,57.00
2025-10-17T11:39:00Z,44.00,57.00
2025-10-17T11:41:00Z,44.00,57.00
2025-10-17T11:43:00Z,44.00,57.00
2025-10-17T11:46:00Z,44.00,57.00
2025-10-17T11:51:00Z,44.00,58.00
2025-10-17T11:55:00Z,44.00,58.00
2025-10-17T11:56:00Z,44.00,58.00
2025-10-17T11:57:00Z,44.00,58.00
2025-10-17T12:00:00Z,44.00,57.00
2025-10-17T12:01:00Z,44.00,57.00
2025-10-17T12:04:00Z,44.00,57.00
2025-10-17T12:07:00Z,44.00,57.00
2025-10-17T12:09:00Z,44.00,57.00
2025-10-17T12:10:00Z,44.00,57.00
2025-10-17T12:12:00Z,44.00,57.00
2025-10-17T12:14:00Z,44.00,57.00
2025-10-17T12:16:00Z,44.00,57.00
2025-10-17T12:17:00Z,44.00,57.00
2025-10-17T12:22:00Z,44.00,57.00
2025-10-17T12:35:00Z,44.00,57.00
2025-10-17T12:36:00Z,44.00,57.00
2025-10-17T12:40:00Z,44.00,57.00
