# event_ticker=KXATPCHALLENGERMATCH-26APR14SMIAGU
# final_score=6-4 6-4
# score_resolution=4-6 4-6
# match_winner=Keegan Smith
# fav_player=Enzo Aguiard
# dog_player=Keegan Smith
# kalshi_date=2026-04-14
timestamp,Enzo Aguiard,Keegan Smith
2026-04-14T17:14:00Z,,70.00
2026-04-14T19:40:00Z,,70.00
2026-04-14T21:22:00Z,32.80,70.00
2026-04-14T21:49:00Z,32.80,70.00
2026-04-14T22:57:00Z,32.80,70.00
2026-04-14T23:33:00Z,32.80,70.00
2026-04-14T23:44:00Z,32.80,70.00
2026-04-15T00:26:00Z,32.80,70.00
2026-04-15T00:56:00Z,33.00,70.00
2026-04-15T01:00:00Z,33.00,70.00
2026-04-15T01:05:00Z,33.00,70.00
2026-04-15T01:09:00Z,33.00,70.00
2026-04-15T01:18:00Z,33.00,70.00
2026-04-15T01:52:00Z,33.00,70.00
2026-04-15T01:53:00Z,33.00,69.00
2026-04-15T01:54:00Z,33.00,69.00
2026-04-15T01:58:00Z,33.00,69.00
2026-04-15T01:59:00Z,33.00,70.00
2026-04-15T02:02:00Z,33.00,70.00
2026-04-15T02:04:00Z,35.64,70.00
2026-04-15T02:05:00Z,35.51,69.00
2026-04-15T02:06:00Z,35.51,70.00
2026-04-15T02:07:00Z,35.51,73.00
2026-04-15T02:08:00Z,35.51,70.00
2026-04-15T02:09:00Z,35.51,74.00
2026-04-15T02:10:00Z,32.00,73.87
2026-04-15T02:11:00Z,32.19,73.87
2026-04-15T02:12:00Z,34.04,70.12
2026-04-15T02:13:00Z,40.00,65.13
2026-04-15T02:14:00Z,39.31,72.59
2026-04-15T02:15:00Z,37.36,64.00
2026-04-15T02:16:00Z,38.98,63.73
2026-04-15T02:17:00Z,37.68,65.24
2026-04-15T02:18:00Z,39.70,65.52
2026-04-15T02:19:00Z,35.82,67.80
2026-04-15T02:20:00Z,29.05,71.90
2026-04-15T02:21:00Z,22.62,78.21
2026-04-15T02:22:00Z,22.62,81.31
2026-04-15T02:23:00Z,18.67,82.67
2026-04-15T02:24:00Z,19.00,84.53
2026-04-15T02:25:00Z,21.00,83.00
2026-04-15T02:26:00Z,19.50,83.00
2026-04-15T02:27:00Z,19.00,83.46
2026-04-15T02:28:00Z,23.79,80.56
2026-04-15T02:29:00Z,19.00,83.94
2026-04-15T02:30:00Z,15.99,85.00
2026-04-15T02:31:00Z,10.00,86.91
2026-04-15T02:32:00Z,18.48,83.00
2026-04-15T02:33:00Z,17.94,85.65
2026-04-15T02:34:00Z,17.24,85.65
2026-04-15T02:35:00Z,14.91,85.63
2026-04-15T02:36:00Z,16.43,86.59
2026-04-15T02:37:00Z,16.19,86.01
2026-04-15T02:38:00Z,16.06,87.00
2026-04-15T02:39:00Z,15.78,87.00
2026-04-15T02:40:00Z,15.00,87.00
2026-04-15T02:41:00Z,14.00,87.00
2026-04-15T02:42:00Z,14.00,86.00
2026-04-15T02:43:00Z,16.57,86.02
2026-04-15T02:44:00Z,16.75,87.00
2026-04-15T02:45:00Z,12.26,88.50
2026-04-15T02:46:00Z,13.05,90.00
2026-04-15T02:47:00Z,14.00,89.35
2026-04-15T02:48:00Z,16.74,89.72
2026-04-15T02:49:00Z,19.20,82.10
2026-04-15T02:50:00Z,19.20,84.00
2026-04-15T02:51:00Z,13.43,86.87
2026-04-15T02:52:00Z,13.43,88.00
2026-04-15T02:53:00Z,11.00,88.00
2026-04-15T02:54:00Z,12.97,88.66
2026-04-15T02:56:00Z,17.58,86.51
2026-04-15T02:57:00Z,17.85,83.18
2026-04-15T02:58:00Z,14.64,85.18
2026-04-15T02:59:00Z,18.30,85.38
2026-04-15T03:00:00Z,14.23,85.38
2026-04-15T03:01:00Z,16.84,81.33
2026-04-15T03:02:00Z,13.87,86.39
2026-04-15T03:03:00Z,11.49,89.50
2026-04-15T03:04:00Z,17.87,84.94
2026-04-15T03:05:00Z,18.25,84.00
2026-04-15T03:06:00Z,18.21,84.00
2026-04-15T03:07:00Z,18.00,83.50
2026-04-15T03:08:00Z,18.00,83.44
2026-04-15T03:09:00Z,18.01,84.70
2026-04-15T03:10:00Z,18.00,83.76
2026-04-15T03:11:00Z,18.71,82.98
2026-04-15T03:12:00Z,19.26,81.90
2026-04-15T03:13:00Z,18.09,82.00
2026-04-15T03:14:00Z,16.59,81.00
2026-04-15T03:15:00Z,16.59,83.96
2026-04-15T03:16:00Z,16.07,83.96
2026-04-15T03:17:00Z,17.14,83.00
2026-04-15T03:18:00Z,17.00,84.01
2026-04-15T03:19:00Z,17.93,83.27
2026-04-15T03:20:00Z,11.85,86.13
2026-04-15T03:21:00Z,12.29,88.16
2026-04-15T03:22:00Z,18.35,85.65
2026-04-15T03:23:00Z,11.97,89.00
2026-04-15T03:24:00Z,11.70,88.22
2026-04-15T03:25:00Z,8.00,95.31
2026-04-15T03:26:00Z,3.98,93.33
2026-04-15T03:27:00Z,3.30,95.77
2026-04-15T03:28:00Z,1.26,97.72
2026-04-15T03:29:00Z,3.47,97.43
2026-04-15T03:30:00Z,5.26,97.34
2026-04-15T03:31:00Z,3.88,97.36
2026-04-15T03:32:00Z,4.57,96.14
2026-04-15T03:33:00Z,7.95,97.14
2026-04-15T03:34:00Z,9.63,93.58
2026-04-15T03:35:00Z,11.29,89.01
2026-04-15T03:36:00Z,10.34,89.81
2026-04-15T03:37:00Z,12.05,86.00
2026-04-15T03:38:00Z,4.41,97.98
2026-04-15T03:39:00Z,1.00,99.00
2026-04-15T03:40:00Z,1.00,99.00
2026-04-15T03:41:00Z,1.00,99.00
