# event_ticker=KXATPCHALLENGERMATCH-26MAR10BARSHE
# final_score=6-2 4-2 RET
# match_winner=Abdullah Shelbayh
# fav_player=Abdullah Shelbayh
# dog_player=Javier Barranco Cosano
# kalshi_date=2026-03-10
timestamp,Abdullah Shelbayh,Javier Barranco Cosano
2026-03-10T03:50:00Z,55.00,45.00
2026-03-10T03:52:00Z,56.00,45.00
2026-03-10T04:04:00Z,54.00,45.00
2026-03-10T04:32:00Z,56.00,45.00
2026-03-10T04:34:00Z,56.00,45.00
2026-03-10T04:38:00Z,56.00,45.00
2026-03-10T04:42:00Z,55.00,45.00
2026-03-10T04:47:00Z,56.00,45.00
2026-03-10T04:49:00Z,54.16,45.00
2026-03-10T04:57:00Z,56.00,45.00
2026-03-10T05:06:00Z,56.00,46.00
2026-03-10T05:09:00Z,56.00,46.00
2026-03-10T05:14:00Z,56.00,46.00
2026-03-10T05:15:00Z,57.00,46.00
2026-03-10T05:47:00Z,54.00,46.00
2026-03-10T06:11:00Z,56.00,46.00
2026-03-10T06:15:00Z,56.46,46.00
2026-03-10T06:16:00Z,56.89,46.00
2026-03-10T06:33:00Z,57.00,46.00
2026-03-10T07:03:00Z,57.00,44.00
2026-03-10T07:17:00Z,57.00,44.00
2026-03-10T07:39:00Z,57.00,45.00
2026-03-10T07:44:00Z,57.00,45.00
2026-03-10T08:44:00Z,57.00,45.00
2026-03-10T08:45:00Z,57.00,45.00
2026-03-10T08:50:00Z,57.00,45.00
2026-03-10T08:59:00Z,57.57,45.00
2026-03-10T09:12:00Z,57.57,45.00
2026-03-10T09:21:00Z,57.00,45.00
2026-03-10T09:26:00Z,57.00,45.00
2026-03-10T09:41:00Z,57.00,45.00
2026-03-10T09:45:00Z,57.00,45.00
2026-03-10T09:49:00Z,57.00,45.00
2026-03-10T09:59:00Z,57.00,45.00
2026-03-10T10:00:00Z,57.00,45.00
2026-03-10T10:02:00Z,57.00,45.00
2026-03-10T10:08:00Z,57.00,45.00
2026-03-10T10:09:00Z,57.00,45.00
2026-03-10T10:13:00Z,57.00,45.00
2026-03-10T10:20:00Z,58.00,45.00
2026-03-10T10:23:00Z,58.63,45.00
2026-03-10T10:27:00Z,60.00,45.00
2026-03-10T10:45:00Z,60.00,45.00
2026-03-10T10:46:00Z,60.00,43.00
2026-03-10T10:50:00Z,60.00,40.00
2026-03-10T10:51:00Z,60.00,43.00
2026-03-10T10:52:00Z,59.00,43.00
2026-03-10T10:56:00Z,59.00,43.00
2026-03-10T10:57:00Z,59.53,43.00
2026-03-10T11:00:00Z,60.00,43.00
2026-03-10T11:09:00Z,60.79,43.00
2026-03-10T11:11:00Z,82.23,43.00
2026-03-10T11:13:00Z,60.00,43.00
2026-03-10T11:14:00Z,60.00,37.00
2026-03-10T11:15:00Z,60.00,39.99
2026-03-10T11:17:00Z,60.00,39.99
2026-03-10T11:18:00Z,61.00,39.99
2026-03-10T11:20:00Z,59.00,39.99
2026-03-10T11:24:00Z,64.92,39.99
2026-03-10T11:25:00Z,66.00,39.99
2026-03-10T11:26:00Z,66.00,33.00
2026-03-10T11:28:00Z,71.00,33.00
2026-03-10T11:29:00Z,71.00,35.00
2026-03-10T11:30:00Z,75.00,35.00
2026-03-10T11:31:00Z,77.00,35.00
2026-03-10T11:32:00Z,77.00,20.00
2026-03-10T11:33:00Z,79.28,20.00
2026-03-10T11:34:00Z,80.11,20.00
2026-03-10T11:35:00Z,81.97,20.00
2026-03-10T11:39:00Z,85.00,20.00
2026-03-10T11:40:00Z,83.00,17.74
2026-03-10T11:41:00Z,83.00,17.00
2026-03-10T11:43:00Z,79.00,17.00
2026-03-10T11:44:00Z,77.00,21.00
2026-03-10T11:46:00Z,77.00,24.00
2026-03-10T11:48:00Z,75.03,24.00
2026-03-10T11:49:00Z,79.00,24.00
2026-03-10T11:50:00Z,83.00,24.00
2026-03-10T11:52:00Z,86.92,24.00
2026-03-10T11:54:00Z,87.00,24.00
2026-03-10T11:55:00Z,87.00,15.04
2026-03-10T11:57:00Z,87.00,15.04
2026-03-10T11:58:00Z,87.00,16.00
2026-03-10T11:59:00Z,88.42,16.00
2026-03-10T12:00:00Z,88.00,13.00
2026-03-10T12:01:00Z,89.00,13.00
2026-03-10T12:02:00Z,89.00,13.00
2026-03-10T12:03:00Z,88.00,16.45
2026-03-10T12:05:00Z,88.00,13.00
2026-03-10T12:06:00Z,91.00,13.00
2026-03-10T12:07:00Z,92.06,8.00
2026-03-10T12:08:00Z,90.72,8.28
2026-03-10T12:09:00Z,87.73,12.00
2026-03-10T12:10:00Z,87.00,14.70
2026-03-10T12:11:00Z,85.03,14.70
2026-03-10T12:12:00Z,87.00,14.70
2026-03-10T12:13:00Z,88.00,14.70
2026-03-10T12:14:00Z,88.00,13.00
