# event_ticker=KXATPMATCH-25JUL18COMBUB
# final_score=6-4 6-3
# match_winner=Alexander Bublik
# fav_player=Alexander Bublik
# dog_player=Francisco Comesana
# kalshi_date=2025-07-18
timestamp,Alexander Bublik,Francisco Comesana
2025-07-18T02:13:00Z,65.00,
2025-07-18T03:18:00Z,62.00,
2025-07-18T03:28:00Z,60.00,
2025-07-18T03:59:00Z,59.00,
2025-07-18T04:05:00Z,59.00,45.00
2025-07-18T04:25:00Z,59.00,45.00
2025-07-18T05:13:00Z,56.00,45.00
2025-07-18T05:14:00Z,59.00,45.00
2025-07-18T05:28:00Z,59.00,45.00
2025-07-18T05:45:00Z,58.00,45.00
2025-07-18T05:51:00Z,58.00,45.00
2025-07-18T05:59:00Z,58.00,45.00
2025-07-18T06:09:00Z,58.00,45.00
2025-07-18T06:20:00Z,58.00,45.00
2025-07-18T06:42:00Z,58.00,45.00
2025-07-18T07:00:00Z,58.00,45.00
2025-07-18T12:05:00Z,61.00,45.00
2025-07-18T12:06:00Z,61.00,41.00
2025-07-18T12:07:00Z,61.00,41.00
2025-07-18T12:10:00Z,61.00,41.00
2025-07-18T12:14:00Z,61.00,41.00
2025-07-18T12:18:00Z,61.00,41.00
2025-07-18T12:19:00Z,61.00,41.00
2025-07-18T12:21:00Z,60.00,41.00
2025-07-18T12:23:00Z,60.98,41.00
2025-07-18T12:24:00Z,61.00,41.00
2025-07-18T12:25:00Z,61.00,41.00
2025-07-18T12:26:00Z,61.00,41.00
2025-07-18T12:30:00Z,61.00,41.00
2025-07-18T12:32:00Z,61.00,41.00
2025-07-18T12:33:00Z,61.64,41.00
2025-07-18T12:36:00Z,61.00,41.00
2025-07-18T12:41:00Z,61.00,41.00
2025-07-18T12:42:00Z,61.00,41.00
2025-07-18T12:43:00Z,61.00,41.00
2025-07-18T12:46:00Z,61.00,41.00
2025-07-18T12:47:00Z,61.50,41.00
2025-07-18T12:50:00Z,61.00,41.00
2025-07-18T12:51:00Z,61.00,41.00
2025-07-18T12:56:00Z,63.23,41.00
2025-07-18T13:01:00Z,63.23,40.00
2025-07-18T13:12:00Z,63.00,37.57
2025-07-18T13:16:00Z,62.00,37.57
2025-07-18T13:21:00Z,62.00,37.57
2025-07-18T13:23:00Z,62.00,37.57
2025-07-18T13:24:00Z,62.00,37.57
2025-07-18T13:25:00Z,63.41,37.57
2025-07-18T13:26:00Z,63.71,37.57
2025-07-18T13:27:00Z,63.06,38.00
2025-07-18T13:29:00Z,63.06,38.00
