# event_ticker=KXATPCHALLENGERMATCH-26MAR24LINCHR
# final_score=6-2 6-4
# match_winner=Christopher Li
# fav_player=Christopher Li
# dog_player=Samuel Alejandro Linde Palacios
# kalshi_date=2026-03-24
timestamp,Christopher Li,Samuel Alejandro Linde Palacios
2026-03-24T11:30:00Z,66.82,
2026-03-24T12:19:00Z,66.82,34.00
2026-03-24T12:34:00Z,66.82,34.00
2026-03-24T12:37:00Z,69.00,33.00
2026-03-24T12:39:00Z,69.00,32.00
2026-03-24T13:40:00Z,71.00,32.00
2026-03-24T14:52:00Z,70.00,32.00
2026-03-24T15:08:00Z,70.00,32.00
2026-03-24T15:25:00Z,70.00,32.00
2026-03-24T15:31:00Z,70.00,30.00
2026-03-24T16:03:00Z,70.00,30.00
2026-03-24T16:24:00Z,70.00,30.00
2026-03-24T16:28:00Z,70.00,30.00
2026-03-24T17:46:00Z,69.00,30.00
2026-03-24T18:38:00Z,70.00,32.95
2026-03-24T18:39:00Z,67.15,32.95
2026-03-24T18:44:00Z,67.15,33.00
2026-03-24T18:48:00Z,67.15,33.00
2026-03-24T18:49:00Z,67.15,33.00
2026-03-24T19:03:00Z,69.00,33.00
2026-03-24T19:04:00Z,69.00,33.00
2026-03-24T19:06:00Z,67.04,35.00
2026-03-24T19:07:00Z,67.04,30.00
2026-03-24T19:08:00Z,71.00,29.13
2026-03-24T19:09:00Z,71.00,33.58
2026-03-24T19:10:00Z,64.00,37.00
2026-03-24T19:11:00Z,57.84,42.17
2026-03-24T19:12:00Z,57.84,41.00
2026-03-24T19:13:00Z,50.18,48.35
2026-03-24T19:14:00Z,53.80,51.00
2026-03-24T19:15:00Z,53.80,43.00
2026-03-24T19:16:00Z,59.00,43.00
2026-03-24T19:17:00Z,59.00,33.00
2026-03-24T19:18:00Z,61.00,39.00
2026-03-24T19:19:00Z,63.00,39.00
2026-03-24T19:20:00Z,68.00,31.00
2026-03-24T19:21:00Z,74.00,29.36
2026-03-24T19:23:00Z,66.00,32.00
2026-03-24T19:24:00Z,65.00,33.64
2026-03-24T19:25:00Z,65.00,24.41
2026-03-24T19:26:00Z,72.00,29.20
2026-03-24T19:27:00Z,68.96,34.94
2026-03-24T19:28:00Z,66.00,34.10
2026-03-24T19:29:00Z,67.13,32.73
2026-03-24T19:30:00Z,67.00,34.30
2026-03-24T19:31:00Z,69.00,32.39
2026-03-24T19:32:00Z,68.00,32.71
2026-03-24T19:33:00Z,68.00,32.63
2026-03-24T19:34:00Z,72.53,28.00
2026-03-24T19:35:00Z,77.00,22.44
2026-03-24T19:36:00Z,77.00,20.00
2026-03-24T19:37:00Z,82.00,18.42
2026-03-24T19:38:00Z,85.86,14.75
2026-03-24T19:39:00Z,83.98,14.75
2026-03-24T19:40:00Z,78.75,23.52
2026-03-24T19:41:00Z,81.58,17.38
2026-03-24T19:42:00Z,84.98,16.75
2026-03-24T19:43:00Z,86.94,13.31
2026-03-24T19:44:00Z,86.50,16.21
2026-03-24T19:45:00Z,85.00,15.23
2026-03-24T19:46:00Z,88.00,12.00
2026-03-24T19:47:00Z,88.00,12.00
2026-03-24T19:48:00Z,87.00,12.32
2026-03-24T19:49:00Z,87.00,12.89
2026-03-24T19:50:00Z,89.91,12.89
2026-03-24T19:51:00Z,89.91,11.01
2026-03-24T19:52:00Z,90.00,11.00
2026-03-24T19:53:00Z,90.00,10.70
2026-03-24T19:54:00Z,90.00,11.00
2026-03-24T19:55:00Z,90.00,10.89
2026-03-24T19:56:00Z,90.00,11.00
2026-03-24T19:57:00Z,90.00,11.00
2026-03-24T19:58:00Z,91.00,11.00
2026-03-24T19:59:00Z,91.00,13.24
2026-03-24T20:00:00Z,85.00,15.84
2026-03-24T20:01:00Z,85.06,14.30
2026-03-24T20:02:00Z,90.27,15.00
2026-03-24T20:03:00Z,84.00,16.04
2026-03-24T20:04:00Z,86.00,14.94
2026-03-24T20:05:00Z,88.66,14.66
2026-03-24T20:06:00Z,88.66,13.00
2026-03-24T20:07:00Z,86.00,14.35
2026-03-24T20:08:00Z,87.00,15.98
2026-03-24T20:09:00Z,84.00,16.97
2026-03-24T20:10:00Z,83.03,17.59
2026-03-24T20:11:00Z,82.08,18.08
2026-03-24T20:12:00Z,86.01,16.05
2026-03-24T20:13:00Z,83.43,15.68
2026-03-24T20:14:00Z,84.79,14.97
2026-03-24T20:15:00Z,84.79,17.55
2026-03-24T20:16:00Z,85.79,15.94
2026-03-24T20:17:00Z,93.15,9.50
2026-03-24T20:18:00Z,89.01,10.03
2026-03-24T20:19:00Z,94.06,6.20
2026-03-24T20:20:00Z,95.00,5.93
2026-03-24T20:21:00Z,93.42,6.69
2026-03-24T20:22:00Z,95.60,5.47
2026-03-24T20:23:00Z,96.40,4.67
2026-03-24T20:24:00Z,92.49,9.08
2026-03-24T20:25:00Z,88.00,13.44
2026-03-24T20:26:00Z,90.23,11.62
2026-03-24T20:27:00Z,92.72,7.40
2026-03-24T20:28:00Z,95.99,4.97
2026-03-24T20:29:00Z,96.01,4.17
2026-03-24T20:30:00Z,96.00,4.34
2026-03-24T20:31:00Z,95.00,5.17
2026-03-24T20:32:00Z,92.23,8.42
2026-03-24T20:33:00Z,88.72,12.72
2026-03-24T20:34:00Z,88.06,12.07
2026-03-24T20:35:00Z,91.27,8.98
2026-03-24T20:36:00Z,90.04,10.72
2026-03-24T20:37:00Z,96.19,3.96
2026-03-24T20:38:00Z,97.00,3.74
2026-03-24T20:39:00Z,96.00,6.37
2026-03-24T20:40:00Z,91.64,7.11
2026-03-24T20:41:00Z,90.22,8.78
2026-03-24T20:42:00Z,95.62,4.19
2026-03-24T20:43:00Z,98.99,1.78
2026-03-24T20:44:00Z,99.00,1.78
2026-03-24T20:48:00Z,99.00,1.78
2026-03-24T20:52:00Z,99.00,1.00
