# event_ticker=KXATPMATCH-26FEB12HUMDEN
# final_score=6-4 6-3
# match_winner=Ugo Humbert
# fav_player=Ugo Humbert
# dog_player=Guy Den Ouden
# kalshi_date=2026-02-12
timestamp,Ugo Humbert,Guy Den Ouden
2026-02-11T22:13:00Z,88.00,
2026-02-11T22:14:00Z,87.38,
2026-02-11T22:15:00Z,87.00,13.00
2026-02-11T22:16:00Z,87.02,12.00
2026-02-11T22:18:00Z,87.02,13.00
2026-02-11T22:31:00Z,87.02,14.00
2026-02-11T22:37:00Z,87.00,14.00
2026-02-11T22:38:00Z,87.00,14.00
2026-02-11T23:08:00Z,87.00,14.00
2026-02-11T23:18:00Z,87.00,14.00
2026-02-11T23:20:00Z,87.00,14.00
2026-02-11T23:21:00Z,87.00,14.00
2026-02-11T23:33:00Z,87.00,14.00
2026-02-12T00:16:00Z,88.00,14.00
2026-02-12T00:25:00Z,88.00,14.00
2026-02-12T00:27:00Z,86.00,14.00
2026-02-12T00:28:00Z,86.00,14.00
2026-02-12T00:34:00Z,86.00,13.00
2026-02-12T00:57:00Z,87.00,13.00
2026-02-12T00:59:00Z,87.00,14.00
2026-02-12T01:02:00Z,87.00,14.00
2026-02-12T01:08:00Z,87.00,14.00
2026-02-12T01:17:00Z,87.00,13.00
2026-02-12T01:41:00Z,87.00,13.00
2026-02-12T01:44:00Z,87.00,13.00
2026-02-12T01:47:00Z,87.00,13.00
2026-02-12T02:01:00Z,87.00,13.00
2026-02-12T02:02:00Z,87.00,13.00
2026-02-12T02:08:00Z,87.00,13.00
2026-02-12T02:25:00Z,87.00,12.00
2026-02-12T02:32:00Z,87.00,12.00
2026-02-12T02:37:00Z,87.00,13.00
2026-02-12T02:44:00Z,87.00,13.00
2026-02-12T02:46:00Z,87.00,13.00
2026-02-12T02:47:00Z,87.00,12.00
2026-02-12T02:48:00Z,88.00,12.00
2026-02-12T02:51:00Z,88.00,13.00
2026-02-12T03:01:00Z,88.00,13.00
2026-02-12T03:02:00Z,88.00,13.00
2026-02-12T03:05:00Z,88.00,13.00
2026-02-12T03:06:00Z,88.00,13.00
2026-02-12T03:09:00Z,88.00,13.00
2026-02-12T03:11:00Z,88.00,13.00
2026-02-12T03:25:00Z,88.00,13.00
2026-02-12T03:29:00Z,88.00,13.00
2026-02-12T04:00:00Z,88.00,13.00
2026-02-12T04:02:00Z,88.00,13.00
2026-02-12T04:06:00Z,88.00,13.00
2026-02-12T04:23:00Z,88.00,13.00
2026-02-12T04:37:00Z,88.00,13.00
2026-02-12T04:40:00Z,88.00,13.00
2026-02-12T04:46:00Z,87.00,13.00
2026-02-12T04:55:00Z,88.00,13.00
2026-02-12T04:56:00Z,88.00,13.00
2026-02-12T04:57:00Z,88.00,13.00
2026-02-12T04:58:00Z,88.00,13.00
2026-02-12T04:59:00Z,88.00,13.00
2026-02-12T05:01:00Z,88.87,13.00
2026-02-12T05:02:00Z,88.87,13.00
2026-02-12T05:03:00Z,89.00,13.00
2026-02-12T05:04:00Z,89.00,13.00
2026-02-12T05:07:00Z,89.00,13.00
2026-02-12T05:11:00Z,89.00,13.00
2026-02-12T05:16:00Z,89.00,13.00
2026-02-12T05:17:00Z,89.00,13.00
2026-02-12T05:20:00Z,89.00,13.00
2026-02-12T05:25:00Z,89.00,13.00
2026-02-12T05:31:00Z,89.00,13.00
2026-02-12T05:32:00Z,89.00,13.00
2026-02-12T05:33:00Z,89.00,13.00
2026-02-12T05:37:00Z,89.00,13.00
2026-02-12T05:40:00Z,89.00,13.00
2026-02-12T05:45:00Z,89.00,13.00
2026-02-12T05:49:00Z,89.00,13.00
2026-02-12T05:51:00Z,89.00,13.00
2026-02-12T05:52:00Z,89.00,12.00
2026-02-12T05:53:00Z,89.00,13.00
2026-02-12T05:55:00Z,89.00,13.00
2026-02-12T05:57:00Z,89.00,13.00
2026-02-12T06:01:00Z,89.00,13.00
2026-02-12T06:02:00Z,89.00,13.00
2026-02-12T06:05:00Z,89.00,13.00
2026-02-12T06:07:00Z,89.00,13.00
2026-02-12T06:08:00Z,89.00,13.00
2026-02-12T06:10:00Z,89.00,13.00
2026-02-12T06:11:00Z,89.00,13.00
2026-02-12T06:12:00Z,88.73,13.00
2026-02-12T06:13:00Z,87.00,13.00
2026-02-12T06:14:00Z,87.00,12.00
2026-02-12T06:16:00Z,88.00,12.00
2026-02-12T06:17:00Z,88.00,12.00
2026-02-12T06:18:00Z,88.00,12.00
2026-02-12T06:20:00Z,88.00,12.00
2026-02-12T06:22:00Z,88.00,13.00
2026-02-12T06:26:00Z,88.00,13.00
2026-02-12T06:27:00Z,88.00,13.00
2026-02-12T06:28:00Z,88.00,13.00
2026-02-12T06:30:00Z,88.00,13.00
2026-02-12T06:33:00Z,88.00,13.00
2026-02-12T06:34:00Z,88.00,13.00
2026-02-12T06:36:00Z,88.00,13.00
2026-02-12T06:37:00Z,87.00,13.00
2026-02-12T06:39:00Z,87.00,13.00
2026-02-12T06:41:00Z,88.00,13.00
2026-02-12T06:44:00Z,88.00,13.00
2026-02-12T06:45:00Z,88.00,13.00
2026-02-12T06:46:00Z,88.00,13.00
2026-02-12T06:49:00Z,88.00,13.00
2026-02-12T06:50:00Z,88.00,13.00
2026-02-12T06:58:00Z,88.00,13.00
2026-02-12T06:59:00Z,88.00,13.14
2026-02-12T07:04:00Z,88.00,14.00
2026-02-12T07:05:00Z,88.00,14.00
2026-02-12T07:06:00Z,88.00,13.00
2026-02-12T07:08:00Z,88.00,13.00
2026-02-12T07:09:00Z,88.00,13.00
2026-02-12T07:10:00Z,88.00,13.00
2026-02-12T07:12:00Z,88.00,13.09
2026-02-12T07:13:00Z,88.00,14.00
2026-02-12T07:14:00Z,88.00,14.00
2026-02-12T07:25:00Z,88.00,14.00
2026-02-12T07:30:00Z,88.00,14.00
2026-02-12T07:31:00Z,88.00,14.00
2026-02-12T07:34:00Z,88.00,13.00
2026-02-12T07:38:00Z,88.00,13.00
2026-02-12T07:57:00Z,88.00,13.29
2026-02-12T07:58:00Z,88.00,13.29
2026-02-12T10:01:00Z,86.66,29.52
2026-02-12T10:02:00Z,89.00,29.52
2026-02-12T10:03:00Z,89.00,13.00
2026-02-12T10:04:00Z,89.00,13.00
2026-02-12T10:05:00Z,89.00,13.00
2026-02-12T10:06:00Z,89.77,13.00
2026-02-12T10:07:00Z,86.00,14.30
2026-02-12T10:08:00Z,86.00,11.92
2026-02-12T10:09:00Z,90.00,11.05
2026-02-12T10:10:00Z,91.00,11.00
2026-02-12T10:11:00Z,90.99,10.80
2026-02-12T10:12:00Z,93.49,9.08
2026-02-12T10:13:00Z,91.71,10.08
2026-02-12T10:14:00Z,89.96,11.89
2026-02-12T10:15:00Z,86.13,16.62
2026-02-12T10:16:00Z,84.83,16.48
2026-02-12T10:17:00Z,84.21,17.18
2026-02-12T10:18:00Z,77.90,20.45
2026-02-12T10:19:00Z,76.00,25.00
2026-02-12T10:20:00Z,74.53,28.12
2026-02-12T10:21:00Z,73.99,28.17
2026-02-12T10:22:00Z,77.20,26.89
2026-02-12T10:23:00Z,71.89,29.02
2026-02-12T10:24:00Z,72.15,29.97
2026-02-12T10:25:00Z,74.69,27.67
2026-02-12T10:26:00Z,75.00,26.53
2026-02-12T10:27:00Z,75.00,26.93
2026-02-12T10:28:00Z,73.92,27.47
2026-02-12T10:29:00Z,78.09,23.17
2026-02-12T10:30:00Z,78.15,22.57
2026-02-12T10:31:00Z,86.30,15.25
2026-02-12T10:32:00Z,86.03,15.98
2026-02-12T10:33:00Z,86.03,12.71
2026-02-12T10:34:00Z,89.00,12.29
2026-02-12T10:35:00Z,88.00,11.67
2026-02-12T10:36:00Z,88.00,12.00
2026-02-12T10:37:00Z,88.00,12.22
2026-02-12T10:38:00Z,87.00,15.52
2026-02-12T10:39:00Z,87.00,15.00
2026-02-12T10:40:00Z,85.61,16.02
2026-02-12T10:41:00Z,84.31,21.21
2026-02-12T10:42:00Z,84.86,20.67
2026-02-12T10:43:00Z,87.00,14.00
2026-02-12T10:44:00Z,88.00,14.00
2026-02-12T10:45:00Z,88.00,11.86
2026-02-12T10:46:00Z,88.53,12.48
2026-02-12T10:47:00Z,93.90,7.84
2026-02-12T10:48:00Z,94.02,4.97
2026-02-12T10:49:00Z,94.55,4.96
2026-02-12T10:50:00Z,94.04,5.19
2026-02-12T10:51:00Z,95.00,6.00
2026-02-12T10:52:00Z,94.90,5.53
2026-02-12T10:53:00Z,95.00,6.32
2026-02-12T10:54:00Z,95.00,5.18
2026-02-12T10:55:00Z,96.00,4.45
2026-02-12T10:56:00Z,96.00,4.02
2026-02-12T10:57:00Z,96.00,5.00
2026-02-12T10:58:00Z,95.04,5.24
2026-02-12T10:59:00Z,96.00,4.74
2026-02-12T11:00:00Z,94.02,6.73
2026-02-12T11:01:00Z,94.00,6.48
2026-02-12T11:02:00Z,94.00,4.12
2026-02-12T11:03:00Z,96.00,4.44
2026-02-12T11:04:00Z,96.00,5.85
2026-02-12T11:05:00Z,96.00,6.97
2026-02-12T11:06:00Z,94.00,6.94
2026-02-12T11:07:00Z,93.96,7.50
2026-02-12T11:08:00Z,94.23,10.30
2026-02-12T11:09:00Z,89.20,12.13
2026-02-12T11:10:00Z,85.00,15.17
2026-02-12T11:11:00Z,83.00,16.00
2026-02-12T11:12:00Z,86.19,14.86
2026-02-12T11:13:00Z,92.92,12.80
2026-02-12T11:14:00Z,92.00,8.00
2026-02-12T11:15:00Z,96.00,5.77
2026-02-12T11:16:00Z,95.92,5.65
2026-02-12T11:17:00Z,95.07,5.28
2026-02-12T11:18:00Z,96.00,5.89
2026-02-12T11:19:00Z,95.47,5.09
2026-02-12T11:20:00Z,97.00,4.35
2026-02-12T11:21:00Z,97.99,4.13
2026-02-12T11:22:00Z,94.00,5.89
2026-02-12T11:23:00Z,98.33,3.32
2026-02-12T11:24:00Z,98.64,1.51
2026-02-12T11:25:00Z,99.00,1.22
2026-02-12T11:26:00Z,99.00,1.22
2026-02-12T11:27:00Z,99.00,1.00
2026-02-12T11:28:00Z,99.00,1.00
2026-02-12T11:29:00Z,99.00,1.00
2026-02-12T11:30:00Z,99.00,1.00
