# event_ticker=KXATPCHALLENGERMATCH-26APR28WALCUI
# final_score=6-3 6-2
# score_resolution=3-6 2-6
# match_winner=Adam Walton
# fav_player=Jie Cui
# dog_player=Adam Walton
# kalshi_date=2026-04-28
timestamp,Adam Walton,Jie Cui
2026-04-29T01:18:00Z,78.00,
2026-04-29T02:31:00Z,78.00,
2026-04-29T02:32:00Z,78.00,
2026-04-29T03:02:00Z,78.00,25.00
2026-04-29T03:25:00Z,78.00,25.00
2026-04-29T03:26:00Z,78.00,25.00
2026-04-29T04:06:00Z,78.00,25.00
2026-04-29T04:57:00Z,78.00,23.00
2026-04-29T04:59:00Z,78.00,23.00
2026-04-29T05:16:00Z,78.00,23.00
2026-04-29T05:48:00Z,78.00,23.00
2026-04-29T06:25:00Z,78.00,23.00
2026-04-29T07:29:00Z,78.00,23.00
2026-04-29T07:58:00Z,78.00,23.00
2026-04-29T08:11:00Z,77.00,23.00
2026-04-29T09:02:00Z,78.00,23.00
2026-04-29T09:29:00Z,77.00,23.00
2026-04-29T10:49:00Z,77.00,24.00
2026-04-29T11:10:00Z,76.00,24.00
2026-04-29T11:38:00Z,78.00,24.00
2026-04-29T12:20:00Z,78.00,24.00
2026-04-29T12:27:00Z,78.00,24.00
2026-04-29T12:39:00Z,78.00,24.00
2026-04-29T12:54:00Z,78.00,24.00
2026-04-29T12:55:00Z,76.00,24.00
2026-04-29T12:57:00Z,78.00,24.00
2026-04-29T12:58:00Z,79.00,23.00
2026-04-29T12:59:00Z,78.00,23.00
2026-04-29T13:00:00Z,83.71,20.41
2026-04-29T13:01:00Z,83.71,17.00
2026-04-29T13:02:00Z,85.00,16.00
2026-04-29T13:03:00Z,88.36,12.00
2026-04-29T13:04:00Z,89.00,12.00
2026-04-29T13:05:00Z,88.16,12.00
2026-04-29T13:07:00Z,90.00,12.00
2026-04-29T13:09:00Z,90.00,11.00
2026-04-29T13:11:00Z,90.00,10.00
2026-04-29T13:12:00Z,91.00,10.00
2026-04-29T13:13:00Z,90.16,11.00
2026-04-29T13:14:00Z,90.46,10.16
2026-04-29T13:16:00Z,92.00,10.16
2026-04-29T13:17:00Z,92.00,10.16
2026-04-29T13:18:00Z,92.00,9.00
2026-04-29T13:20:00Z,91.36,8.00
2026-04-29T13:22:00Z,91.36,10.00
2026-04-29T13:24:00Z,93.00,10.00
2026-04-29T13:25:00Z,92.00,9.00
2026-04-29T13:26:00Z,92.00,9.00
2026-04-29T13:27:00Z,92.00,8.00
2026-04-29T13:30:00Z,94.00,8.00
2026-04-29T13:32:00Z,95.00,8.00
2026-04-29T13:33:00Z,95.00,8.00
2026-04-29T13:34:00Z,94.50,7.00
2026-04-29T13:35:00Z,94.50,5.00
2026-04-29T13:36:00Z,96.00,3.80
2026-04-29T13:39:00Z,96.00,3.80
2026-04-29T13:40:00Z,93.67,8.88
2026-04-29T13:41:00Z,92.00,8.68
2026-04-29T13:42:00Z,90.05,10.00
2026-04-29T13:43:00Z,94.00,10.00
2026-04-29T13:44:00Z,93.50,10.00
2026-04-29T13:45:00Z,93.50,9.79
2026-04-29T13:46:00Z,94.00,9.79
2026-04-29T13:47:00Z,94.00,9.79
2026-04-29T13:48:00Z,94.00,7.00
2026-04-29T13:50:00Z,94.00,4.00
2026-04-29T13:51:00Z,94.00,5.00
2026-04-29T13:52:00Z,96.00,3.00
2026-04-29T13:53:00Z,98.00,2.00
2026-04-29T13:54:00Z,98.00,2.00
2026-04-29T13:55:00Z,99.00,2.00
2026-04-29T13:56:00Z,99.00,2.00
2026-04-29T13:58:00Z,99.00,1.00
2026-04-29T13:59:00Z,99.00,1.00
2026-04-29T14:01:00Z,99.00,1.00
2026-04-29T14:05:00Z,99.00,1.00
