# event_ticker=KXATPMATCH-25OCT29UGOZVE
# final_score=6-7(5) 6-1 7-5
# score_resolution=6-7 6-1 7-5
# match_winner=Alexander Zverev
# fav_player=Alexander Zverev
# dog_player=Camilo Ugo Carabelli
# kalshi_date=2025-10-29
timestamp,Alexander Zverev,Camilo Ugo Carabelli
2025-10-29T01:51:00Z,,5.00
2025-10-29T01:58:00Z,,5.00
2025-10-29T02:02:00Z,,5.00
2025-10-29T02:08:00Z,,5.04
2025-10-29T02:42:00Z,,6.00
2025-10-29T02:43:00Z,,6.00
2025-10-29T03:05:00Z,,6.00
2025-10-29T03:07:00Z,,6.00
2025-10-29T03:12:00Z,,5.00
2025-10-29T03:14:00Z,,5.00
2025-10-29T03:20:00Z,,5.00
2025-10-29T03:32:00Z,,5.00
2025-10-29T03:33:00Z,,5.00
2025-10-29T03:38:00Z,,5.00
2025-10-29T03:40:00Z,,5.00
2025-10-29T03:41:00Z,,5.00
2025-10-29T03:45:00Z,,5.00
2025-10-29T03:55:00Z,,5.00
2025-10-29T03:58:00Z,,5.00
2025-10-29T04:22:00Z,,5.00
2025-10-29T04:23:00Z,,5.00
2025-10-29T04:26:00Z,,5.00
2025-10-29T04:54:00Z,,5.00
2025-10-29T04:58:00Z,,5.00
2025-10-29T05:13:00Z,,5.00
2025-10-29T05:20:00Z,,5.61
2025-10-29T05:27:00Z,,6.00
2025-10-29T05:29:00Z,,6.00
2025-10-29T05:31:00Z,,6.00
2025-10-29T05:44:00Z,,6.00
2025-10-29T05:55:00Z,,6.00
2025-10-29T05:58:00Z,,6.00
2025-10-29T05:59:00Z,,6.00
2025-10-29T06:00:00Z,,6.00
2025-10-29T06:01:00Z,,6.00
2025-10-29T06:05:00Z,95.00,6.00
2025-10-29T06:21:00Z,95.00,6.00
2025-10-29T06:22:00Z,95.00,6.00
2025-10-29T06:31:00Z,95.00,6.00
2025-10-29T06:50:00Z,95.00,6.00
2025-10-29T07:00:00Z,95.00,6.71
2025-10-29T07:08:00Z,95.00,7.00
2025-10-29T07:21:00Z,95.00,7.00
2025-10-29T07:25:00Z,95.00,7.00
2025-10-29T07:27:00Z,95.00,7.00
2025-10-29T07:28:00Z,95.00,7.00
2025-10-29T07:30:00Z,95.00,7.00
2025-10-29T07:32:00Z,95.00,7.00
