# event_ticker=KXATPCHALLENGERMATCH-26APR28SCHCHO
# final_score=6-4 4-6 6-4
# match_winner=Jan Choinski
# fav_player=Jan Choinski
# dog_player=Joel Schwaerzler
# kalshi_date=2026-04-28
timestamp,Joel Schwaerzler,Jan Choinski
2026-04-28T02:09:00Z,,44.00
2026-04-28T04:00:00Z,59.00,44.00
2026-04-28T05:25:00Z,58.00,44.00
2026-04-28T05:33:00Z,59.00,44.00
2026-04-28T05:51:00Z,59.00,44.00
2026-04-28T06:05:00Z,57.00,44.00
2026-04-28T07:05:00Z,58.00,44.00
2026-04-28T07:17:00Z,58.00,43.00
2026-04-28T09:03:00Z,58.00,43.00
2026-04-28T09:05:00Z,58.00,43.00
2026-04-28T09:26:00Z,58.00,43.00
2026-04-28T09:29:00Z,59.00,43.00
2026-04-28T09:35:00Z,52.41,48.80
2026-04-28T09:37:00Z,48.00,53.00
2026-04-28T09:38:00Z,48.00,54.00
2026-04-28T09:40:00Z,39.94,61.00
2026-04-28T09:41:00Z,38.00,65.00
2026-04-28T09:42:00Z,37.84,66.29
2026-04-28T09:43:00Z,37.84,62.31
2026-04-28T09:45:00Z,35.00,62.31
2026-04-28T09:46:00Z,38.00,62.31
2026-04-28T09:47:00Z,38.00,59.00
2026-04-28T09:49:00Z,38.00,60.00
2026-04-28T09:50:00Z,39.53,61.08
2026-04-28T09:51:00Z,39.53,62.40
2026-04-28T09:53:00Z,36.00,62.40
2026-04-28T09:54:00Z,36.00,61.38
2026-04-28T09:55:00Z,36.00,59.71
2026-04-28T09:56:00Z,42.00,56.06
2026-04-28T09:57:00Z,42.00,59.00
2026-04-28T09:58:00Z,40.60,60.98
2026-04-28T10:00:00Z,40.60,62.00
2026-04-28T10:02:00Z,37.00,62.00
2026-04-28T10:03:00Z,37.00,64.00
2026-04-28T10:04:00Z,37.00,67.00
2026-04-28T10:05:00Z,42.21,60.39
2026-04-28T10:06:00Z,45.04,54.35
2026-04-28T10:07:00Z,45.04,67.00
2026-04-28T10:08:00Z,45.04,68.22
2026-04-28T10:09:00Z,45.04,66.00
2026-04-28T10:10:00Z,32.00,66.00
2026-04-28T10:11:00Z,32.00,70.00
2026-04-28T10:14:00Z,32.00,70.00
2026-04-28T10:15:00Z,30.77,67.08
2026-04-28T10:16:00Z,33.57,66.67
2026-04-28T10:17:00Z,30.00,70.00
2026-04-28T10:18:00Z,30.00,71.00
2026-04-28T10:21:00Z,30.00,71.66
2026-04-28T10:22:00Z,25.19,75.76
2026-04-28T10:23:00Z,17.00,81.91
2026-04-28T10:24:00Z,25.16,76.00
2026-04-28T10:25:00Z,29.93,68.73
2026-04-28T10:26:00Z,32.00,68.73
2026-04-28T10:27:00Z,29.00,70.18
2026-04-28T10:28:00Z,29.00,73.00
2026-04-28T10:29:00Z,28.05,72.00
2026-04-28T10:30:00Z,28.00,72.82
2026-04-28T10:31:00Z,28.39,71.02
2026-04-28T10:32:00Z,29.00,71.02
2026-04-28T10:33:00Z,30.00,71.00
2026-04-28T10:34:00Z,31.11,68.84
2026-04-28T10:35:00Z,33.88,65.08
2026-04-28T10:36:00Z,34.00,63.26
2026-04-28T10:37:00Z,30.50,69.22
2026-04-28T10:38:00Z,27.20,72.87
2026-04-28T10:39:00Z,31.81,70.00
2026-04-28T10:40:00Z,29.64,73.15
2026-04-28T10:41:00Z,23.00,77.37
2026-04-28T10:42:00Z,27.08,74.00
2026-04-28T10:43:00Z,25.75,74.00
2026-04-28T10:45:00Z,31.00,69.89
2026-04-28T10:46:00Z,30.00,69.89
2026-04-28T10:47:00Z,30.00,73.59
2026-04-28T10:48:00Z,27.00,74.93
2026-04-28T10:49:00Z,27.00,74.00
2026-04-28T10:50:00Z,28.00,74.00
2026-04-28T10:51:00Z,28.00,73.00
2026-04-28T10:52:00Z,30.00,72.00
2026-04-28T10:53:00Z,30.00,74.00
2026-04-28T10:54:00Z,28.85,70.00
2026-04-28T10:55:00Z,28.85,72.99
2026-04-28T10:56:00Z,28.88,70.84
2026-04-28T10:57:00Z,27.00,73.67
2026-04-28T10:58:00Z,26.51,74.00
2026-04-28T10:59:00Z,30.80,71.67
2026-04-28T11:00:00Z,30.80,69.00
2026-04-28T11:01:00Z,29.65,69.58
2026-04-28T11:02:00Z,36.54,65.35
2026-04-28T11:03:00Z,40.30,62.20
2026-04-28T11:04:00Z,50.52,50.76
2026-04-28T11:05:00Z,54.00,46.00
2026-04-28T11:06:00Z,55.00,47.00
2026-04-28T11:07:00Z,53.69,47.00
2026-04-28T11:08:00Z,54.68,45.20
2026-04-28T11:09:00Z,58.59,41.44
2026-04-28T11:10:00Z,59.86,40.28
2026-04-28T11:11:00Z,57.71,43.57
2026-04-28T11:12:00Z,53.84,46.94
2026-04-28T11:13:00Z,43.45,53.91
2026-04-28T11:14:00Z,32.94,66.44
2026-04-28T11:15:00Z,24.62,75.90
2026-04-28T11:16:00Z,23.69,75.87
2026-04-28T11:17:00Z,18.00,82.11
2026-04-28T11:18:00Z,21.28,79.95
2026-04-28T11:19:00Z,20.00,81.53
2026-04-28T11:20:00Z,19.00,83.77
2026-04-28T11:21:00Z,19.82,81.09
2026-04-28T11:22:00Z,20.28,80.14
2026-04-28T11:23:00Z,20.00,82.62
2026-04-28T11:24:00Z,18.72,81.33
2026-04-28T11:25:00Z,21.00,79.00
2026-04-28T11:26:00Z,21.57,79.15
2026-04-28T11:27:00Z,15.00,85.54
2026-04-28T11:28:00Z,12.45,86.78
2026-04-28T11:29:00Z,11.55,85.70
2026-04-28T11:30:00Z,14.71,87.46
2026-04-28T11:31:00Z,7.58,92.88
2026-04-28T11:32:00Z,9.24,91.26
2026-04-28T11:33:00Z,8.74,90.88
2026-04-28T11:34:00Z,11.82,88.04
2026-04-28T11:35:00Z,13.63,86.30
2026-04-28T11:36:00Z,13.26,85.99
2026-04-28T11:37:00Z,10.51,91.31
2026-04-28T11:38:00Z,6.49,90.77
2026-04-28T11:39:00Z,7.90,93.94
2026-04-28T11:40:00Z,3.94,95.50
2026-04-28T11:41:00Z,5.35,95.15
2026-04-28T11:42:00Z,7.80,93.95
2026-04-28T11:43:00Z,8.29,91.99
2026-04-28T11:44:00Z,11.15,86.66
2026-04-28T11:45:00Z,13.82,88.44
2026-04-28T11:46:00Z,2.93,97.69
2026-04-28T11:47:00Z,1.00,99.00
2026-04-28T11:48:00Z,1.00,99.00
2026-04-28T11:49:00Z,1.00,99.00
2026-04-28T11:50:00Z,1.00,99.00
2026-04-28T11:51:00Z,1.00,99.00
2026-04-28T11:52:00Z,1.00,99.00
